fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,off_rtg,def_rtg,game_id,Location,Opponent,Win,opp_fg,opp_fga,opp_fg_pct,opp_fg3,opp_fg3a,opp_fg3_pct,opp_ft,opp_fta,opp_ft_pct,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,opp_pts,opp_ts_pct,opp_efg_pct,opp_fg3a_per_fga_pct,opp_fta_per_fga_pct,opp_orb_pct,opp_drb_pct,opp_trb_pct,opp_ast_pct,opp_stl_pct,opp_blk_pct,opp_tov_pct,opp_off_rtg,opp_def_rtg,team
37,77,0.481,12,39,0.308,22,26,0.846,7,39,46,18,6,11,13,22,108,0.611,0.558,0.506,0.338,18.9,69.6,49.5,48.6,6.3,19.6,12.8,113.2,109.0,5b97140e-2cca-4ed8-b440-294dcff4222b,Away,NYK,1,36,97,0.371,18,41,0.439,14,26,0.538,17,30,47,24,9,0,11,22,104,0.48,0.464,0.423,0.268,30.4,81.1,50.5,66.7,9.4,0.0,9.2,109.0,113.2,BOS
45,95,0.474,16,39,0.41,13,19,0.684,16,39,55,20,7,6,15,19,119,0.576,0.558,0.411,0.2,32.0,78.0,55.0,44.4,7.0,10.7,12.7,119.8,111.7,ee7587a8-1f7d-488a-90eb-359ca4d0b7b6,Home,MIA,1,38,89,0.427,16,33,0.485,19,23,0.826,11,34,45,24,8,6,12,16,111,0.56,0.517,0.371,0.258,22.0,68.0,45.0,63.2,8.1,10.7,10.8,111.7,119.8,BOS
51,102,0.5,19,53,0.358,5,7,0.714,15,36,51,31,11,6,18,21,126,0.6,0.593,0.52,0.069,34.1,76.6,56.0,60.8,10.8,11.8,14.6,123.2,104.6,82346601-4b7c-40c7-9f8a-8ad446519705,Away,WAS,1,39,87,0.448,11,36,0.306,18,26,0.692,11,29,40,26,12,4,15,13,107,0.543,0.511,0.414,0.299,23.4,65.9,44.0,66.7,11.7,8.2,13.2,104.6,123.2,BOS
54,95,0.568,20,35,0.571,27,28,0.964,11,46,57,27,5,2,13,19,155,0.722,0.674,0.368,0.295,32.4,85.2,64.8,50.0,4.7,3.1,10.8,146.9,98.5,2e8ea5c5-4239-4ae1-a842-416ea028673a,Home,IND,1,46,101,0.455,5,37,0.135,7,12,0.583,8,23,31,26,6,6,9,20,104,0.489,0.48,0.366,0.119,14.8,67.6,35.2,56.5,5.7,10.0,7.8,98.5,146.9,BOS
43,90,0.478,15,45,0.333,23,27,0.852,10,40,50,22,4,6,11,17,124,0.609,0.561,0.5,0.3,23.8,80.0,54.3,51.2,4.0,12.5,9.7,123.7,113.8,27b6ce1a-c1de-4ee7-8f74-6694af8a1740,Away,BRK,1,43,100,0.43,17,52,0.327,11,17,0.647,10,32,42,22,4,5,6,21,114,0.53,0.515,0.52,0.17,20.0,76.2,45.7,51.2,4.0,11.1,5.3,113.8,123.7,BOS
36,92,0.391,11,39,0.282,26,34,0.765,11,34,45,20,13,2,18,26,109,0.51,0.451,0.424,0.37,22.0,85.0,50.0,55.6,11.7,4.2,14.4,97.8,102.3,24bd8351-0a00-4370-8bd9-dbad5949b66b,Away,MIN,0,44,85,0.518,13,37,0.351,13,25,0.52,6,39,45,26,7,5,24,26,114,0.594,0.594,0.435,0.294,15.0,78.0,50.0,59.1,6.3,9.4,20.0,102.3,97.8,BOS
36,91,0.396,15,47,0.319,16,19,0.842,9,34,43,28,8,6,13,13,103,0.518,0.478,0.516,0.209,17.0,73.9,43.4,77.8,7.9,9.8,11.6,102.1,105.0,1b2ba286-0667-47fb-87f8-c59fa1666f3e,Away,PHI,0,42,95,0.442,9,34,0.265,13,15,0.867,12,44,56,20,7,7,14,16,106,0.522,0.489,0.358,0.158,26.1,83.0,56.6,47.6,6.9,15.9,12.1,105.0,102.1,BOS
41,94,0.436,19,52,0.365,20,28,0.714,17,35,52,29,5,3,8,13,121,0.569,0.537,0.553,0.298,31.5,79.5,53.1,70.7,5.3,6.3,7.0,127.9,113.1,5304b9aa-6061-4d99-a4f3-5f0bb3f8d47f,Home,BRK,1,38,85,0.447,15,37,0.405,16,18,0.889,9,37,46,26,0,3,12,25,107,0.576,0.535,0.435,0.212,20.5,68.5,46.9,68.4,0.0,7.1,11.4,113.1,127.9,BOS
47,86,0.547,15,44,0.341,8,13,0.615,5,41,46,30,1,4,13,14,117,0.638,0.634,0.512,0.151,14.3,85.4,55.4,63.8,1.0,7.4,12.4,119.4,96.0,c24b606a-8664-4cb1-a4f9-942ee9dfa9fb,Home,TOR,1,35,91,0.385,10,37,0.27,14,16,0.875,7,30,37,25,8,1,9,14,94,0.479,0.44,0.407,0.176,14.6,85.7,44.6,71.4,8.2,2.4,8.4,96.0,119.4,BOS
40,79,0.506,19,43,0.442,15,16,0.938,8,29,37,27,3,3,11,22,114,0.662,0.627,0.544,0.203,24.2,70.7,50.0,67.5,3.5,6.8,11.3,132.2,113.6,fb5a4bb8-46b2-4936-8edb-43581153a9b9,Home,NYK,1,33,79,0.418,15,35,0.429,17,24,0.708,12,25,37,17,5,2,12,16,98,0.547,0.513,0.443,0.304,29.3,75.8,50.0,51.5,5.8,5.6,11.8,113.6,132.2,BOS
42,88,0.477,18,50,0.36,15,19,0.789,12,33,45,23,7,8,10,15,117,0.607,0.58,0.568,0.216,27.9,76.7,52.3,54.8,7.6,14.5,9.4,127.7,116.8,bde1654a-707c-4be9-9d97-67e96cec3af0,Away,PHI,1,39,85,0.459,11,30,0.367,18,22,0.818,10,31,41,18,5,1,9,14,107,0.565,0.524,0.353,0.259,23.3,72.1,47.7,46.2,5.5,2.6,8.7,116.8,127.7,BOS
42,92,0.457,16,46,0.348,8,9,0.889,8,36,44,29,5,4,11,13,108,0.563,0.543,0.5,0.098,18.2,87.8,51.8,69.0,5.1,7.4,10.3,109.9,106.8,cdb27cdf-a59e-490a-b7e6-6b4ae2948b3f,Away,TOR,1,42,87,0.483,12,33,0.364,9,14,0.643,5,36,41,29,4,1,13,11,105,0.564,0.552,0.379,0.161,12.2,81.8,48.2,69.0,4.1,2.2,12.2,106.8,109.9,BOS
35,77,0.455,12,31,0.387,20,25,0.8,9,36,45,20,6,10,17,19,102,0.58,0.532,0.403,0.325,24.3,72.0,51.7,57.1,6.5,19.6,16.2,109.9,107.7,71c114f2-cb3d-49ad-9e25-16218d32a73d,Away,MEM,1,37,95,0.389,17,44,0.386,9,10,0.9,14,28,42,28,7,5,11,21,100,0.503,0.479,0.463,0.105,28.0,75.7,48.3,75.7,7.5,10.9,10.0,107.7,109.9,BOS
42,97,0.433,16,50,0.32,18,28,0.643,11,37,48,19,6,8,15,15,118,0.54,0.515,0.515,0.289,21.6,68.5,45.7,45.2,5.6,12.3,12.1,109.9,112.7,ed79b82f-a168-4984-9f4c-34b0c31fd50a,Away,CHO,0,46,104,0.442,13,39,0.333,16,17,0.941,17,40,57,29,9,7,13,18,121,0.543,0.505,0.375,0.163,31.5,78.4,54.3,63.0,8.4,14.9,10.4,112.7,109.9,BOS
44,84,0.524,17,42,0.405,14,17,0.824,4,39,43,27,3,5,15,15,119,0.65,0.625,0.5,0.202,10.5,75.0,47.8,61.4,3.0,7.5,14.1,117.2,114.2,eee9ba62-388f-4d9d-b0d2-8e34a9395dd0,Home,MIL,1,45,101,0.446,13,34,0.382,13,17,0.765,13,34,47,23,9,2,9,19,116,0.535,0.51,0.337,0.168,25.0,89.5,52.2,51.1,8.9,4.8,7.7,114.2,117.2,BOS
31,76,0.408,7,29,0.241,27,37,0.73,4,27,31,17,10,4,15,18,96,0.52,0.454,0.382,0.487,10.3,67.5,39.2,54.8,10.1,7.0,14.0,96.9,114.1,98d9c170-d280-45da-976d-b4c96bd3cbab,Away,ORL,0,43,85,0.506,11,28,0.393,16,22,0.727,13,35,48,23,5,3,18,28,113,0.597,0.571,0.329,0.259,32.5,89.7,60.8,53.5,5.0,6.4,16.0,114.1,96.9,BOS
42,95,0.442,13,47,0.277,16,20,0.8,18,40,58,24,9,3,13,19,113,0.544,0.511,0.495,0.211,36.0,78.4,57.4,57.1,9.2,8.6,11.1,115.8,105.5,9c4e3c8b-4a54-4d77-b4d9-e1b9ded56fcd,Home,ATL,1,36,88,0.409,19,53,0.358,12,19,0.632,11,32,43,15,5,4,16,17,103,0.534,0.517,0.602,0.216,21.6,64.0,42.6,41.7,5.1,8.3,14.2,105.5,115.8,BOS
47,90,0.522,21,49,0.429,9,12,0.75,11,41,52,36,6,9,16,18,124,0.651,0.639,0.544,0.133,28.2,82.0,58.4,76.6,6.2,14.5,14.4,128.4,100.4,fb8c9585-2479-49af-a4ec-1cb6d1e49f4a,Home,CHI,1,39,90,0.433,9,28,0.321,10,18,0.556,9,28,37,25,11,7,8,13,97,0.495,0.483,0.311,0.2,18.0,71.8,41.6,64.1,11.4,17.1,7.6,100.4,128.4,BOS
39,77,0.506,16,33,0.485,31,36,0.861,10,36,46,25,10,8,20,18,125,0.673,0.61,0.429,0.468,27.0,70.6,52.3,64.1,9.8,13.6,17.7,122.8,116.9,997c54ec-25a4-43d3-bb40-42372095f791,Home,PHI,1,43,94,0.457,16,35,0.457,17,23,0.739,15,27,42,16,16,5,16,24,119,0.571,0.543,0.372,0.245,29.4,73.0,47.7,37.2,15.7,11.4,13.3,116.9,122.8,BOS
46,97,0.474,12,41,0.293,8,12,0.667,13,43,56,27,5,9,18,19,112,0.548,0.536,0.423,0.124,27.7,86.0,57.7,58.7,4.9,16.7,15.0,109.0,118.8,c7bdca07-97b8-45c3-9ea1-24462147499f,Away,IND,0,43,94,0.457,19,40,0.475,17,21,0.81,7,34,41,28,8,4,6,15,122,0.591,0.559,0.426,0.223,14.0,72.3,42.3,65.1,7.8,7.1,5.5,118.8,109.0,BOS
48,91,0.527,19,47,0.404,18,21,0.857,8,26,34,24,8,5,8,19,133,0.663,0.632,0.516,0.231,20.0,68.4,43.6,50.0,8.2,9.8,7.4,135.6,125.4,be3575ae-36bb-40a7-9dd7-e65f631ed394,Home,NYK,1,44,88,0.5,15,37,0.405,20,27,0.741,12,32,44,28,4,3,14,20,123,0.616,0.585,0.42,0.307,31.6,80.0,56.4,63.6,4.1,6.8,12.3,125.4,135.6,BOS
