fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,off_rtg,def_rtg,Location,Opponent,opp_fg,opp_fga,opp_fg_pct,opp_fg3,opp_fg3a,opp_fg3_pct,opp_ft,opp_fta,opp_ft_pct,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,opp_pts,opp_ts_pct,opp_efg_pct,opp_fg3a_per_fga_pct,opp_fta_per_fga_pct,opp_orb_pct,opp_drb_pct,opp_trb_pct,opp_ast_pct,opp_stl_pct,opp_blk_pct,opp_tov_pct,opp_off_rtg,opp_def_rtg,opp_Opponent
42,84,0.5,9,27,0.333,20,26,0.769,13,37,50,30,6,6,18,16,113,0.592,0.554,0.321,0.31,31.0,80.4,56.8,71.4,6.1,11.8,15.9,115.3,116.3,Home,CLE,44,94,0.468,17,43,0.395,9,10,0.9,9,29,38,25,10,6,10,23,114,0.579,0.559,0.457,0.106,19.6,69.0,43.2,56.8,10.2,10.5,9.2,116.3,115.3,BRK
45,92,0.489,21,43,0.488,9,10,0.9,10,37,47,30,5,4,16,28,120,0.622,0.603,0.467,0.109,23.8,82.2,54.0,66.7,4.9,7.3,14.2,118.6,123.6,Away,DAL,44,91,0.484,15,36,0.417,22,28,0.786,8,32,40,20,5,2,9,15,125,0.605,0.566,0.396,0.308,17.8,76.2,46.0,45.5,4.9,4.1,8.0,123.6,118.6,BRK
49,87,0.563,12,33,0.364,23,32,0.719,10,36,46,25,4,8,14,19,133,0.658,0.632,0.379,0.368,24.4,81.8,54.1,51.0,3.8,12.3,12.2,127.7,116.2,Away,CHO,47,96,0.49,8,31,0.258,19,20,0.95,8,31,39,33,8,5,10,23,121,0.577,0.531,0.323,0.208,18.2,75.6,45.9,70.2,7.7,9.3,8.7,116.2,127.7,BRK
37,82,0.451,16,36,0.444,19,26,0.731,7,40,47,27,11,4,18,18,109,0.583,0.549,0.439,0.317,16.7,78.4,50.5,73.0,10.6,7.5,16.2,105.5,101.7,Away,MIA,39,91,0.429,13,38,0.342,14,18,0.778,11,35,46,22,10,5,18,20,105,0.531,0.5,0.418,0.198,21.6,83.3,49.5,56.4,9.7,10.9,15.4,101.7,105.5,BRK
44,96,0.458,18,45,0.4,3,5,0.6,8,31,39,32,4,4,11,12,109,0.555,0.552,0.469,0.052,19.5,77.5,48.1,72.7,4.2,6.6,10.1,113.7,111.7,Away,CHI,43,89,0.483,11,28,0.393,10,14,0.714,9,33,42,21,4,4,10,13,107,0.562,0.545,0.315,0.157,22.5,80.5,51.9,48.8,4.2,7.8,9.5,111.7,113.7,BRK
43,100,0.43,17,52,0.327,11,17,0.647,10,32,42,22,4,5,6,21,114,0.53,0.515,0.52,0.17,20.0,76.2,45.7,51.2,4.0,11.1,5.3,113.8,123.7,Home,BOS,43,90,0.478,15,45,0.333,23,27,0.852,10,40,50,22,4,6,11,17,124,0.609,0.561,0.5,0.3,23.8,80.0,54.3,51.2,4.0,12.5,9.7,123.7,113.8,BRK
49,101,0.485,16,45,0.356,11,13,0.846,11,35,46,22,2,4,8,16,125,0.586,0.564,0.446,0.129,23.4,74.5,48.9,44.9,2.0,8.3,7.0,123.1,127.0,Home,MIL,46,96,0.479,16,48,0.333,21,24,0.875,12,36,48,26,6,2,10,13,129,0.605,0.563,0.5,0.25,25.5,76.6,51.1,56.5,5.9,3.6,8.6,127.0,123.1,BRK
37,92,0.402,15,41,0.366,11,13,0.846,14,35,49,22,10,10,14,14,100,0.512,0.484,0.446,0.141,25.9,76.1,49.0,59.5,10.3,18.2,12.5,103.1,95.8,Home,LAC,36,91,0.396,8,36,0.222,13,13,1.0,11,40,51,22,10,8,16,15,93,0.481,0.44,0.396,0.143,23.9,74.1,51.0,61.1,10.3,15.7,14.2,95.8,103.1,BRK
38,85,0.447,15,37,0.405,16,18,0.889,9,37,46,26,0,3,12,25,107,0.576,0.535,0.435,0.212,20.5,68.5,46.9,68.4,0.0,7.1,11.4,113.1,127.9,Away,BOS,41,94,0.436,19,52,0.365,20,28,0.714,17,35,52,29,5,3,8,13,121,0.569,0.537,0.553,0.298,31.5,79.5,53.1,70.7,5.3,6.3,7.0,127.9,113.1,BRK
37,98,0.378,12,49,0.245,16,20,0.8,20,46,66,22,6,6,19,18,102,0.478,0.439,0.5,0.204,36.4,86.8,61.1,59.5,5.9,12.8,15.1,100.2,92.4,Home,WAS,33,88,0.375,10,41,0.244,18,25,0.72,7,35,42,20,14,3,12,15,94,0.475,0.432,0.466,0.284,13.2,63.6,38.9,60.6,13.8,6.1,10.8,92.4,100.2,BRK
46,85,0.541,19,39,0.487,13,20,0.65,13,31,44,22,13,3,16,24,124,0.661,0.653,0.459,0.235,31.7,77.5,54.3,47.8,13.6,8.3,14.6,129.8,108.8,Home,ORL,36,82,0.439,16,46,0.348,16,21,0.762,9,28,37,23,9,4,16,16,104,0.57,0.537,0.561,0.256,22.5,68.3,45.7,63.9,9.4,8.7,14.9,108.8,129.8,BRK
40,85,0.471,14,36,0.389,21,27,0.778,10,30,40,29,5,3,15,20,115,0.594,0.553,0.424,0.318,28.6,81.1,55.6,72.5,5.3,6.5,13.4,121.9,129.3,Away,MIA,42,81,0.519,15,35,0.429,23,24,0.958,7,25,32,26,8,3,9,20,122,0.666,0.611,0.432,0.296,18.9,71.4,44.4,61.9,8.5,6.1,8.9,129.3,121.9,BRK
38,81,0.469,11,28,0.393,12,16,0.75,9,36,45,24,2,8,15,14,99,0.562,0.537,0.346,0.198,20.9,78.3,50.6,63.2,2.1,13.6,14.6,105.7,129.2,Home,PHI,44,94,0.468,16,35,0.457,17,18,0.944,10,34,44,32,8,4,5,18,121,0.594,0.553,0.372,0.191,21.7,79.1,49.4,72.7,8.5,7.5,4.7,129.2,105.7,BRK
55,113,0.487,15,35,0.429,20,24,0.833,22,37,59,28,8,6,16,24,145,0.587,0.553,0.31,0.212,37.9,62.7,50.4,50.9,6.9,9.0,11.5,125.7,127.4,Away,ATL,51,116,0.44,18,49,0.367,27,29,0.931,22,36,58,24,10,8,14,18,147,0.571,0.517,0.422,0.25,37.3,62.1,49.6,47.1,8.7,10.3,9.8,127.4,125.7,BRK
39,78,0.5,14,36,0.389,20,23,0.87,8,34,42,27,11,9,13,18,112,0.635,0.59,0.462,0.295,20.5,72.3,48.8,69.2,11.7,17.0,12.9,119.6,103.6,Home,MIA,38,87,0.437,11,34,0.324,10,13,0.769,13,31,44,24,6,3,18,18,97,0.523,0.5,0.391,0.149,27.7,79.5,51.2,63.2,6.4,7.1,16.3,103.6,119.6,BRK
41,83,0.494,25,53,0.472,11,15,0.733,8,31,39,29,7,2,11,19,118,0.658,0.645,0.639,0.181,21.1,75.6,49.4,70.7,7.7,3.9,10.9,129.6,119.7,Home,CHI,40,83,0.482,12,32,0.375,17,22,0.773,10,30,40,21,3,2,11,18,109,0.588,0.554,0.386,0.265,24.4,78.9,50.6,52.5,3.3,6.7,10.6,119.7,129.6,BRK
40,89,0.449,13,38,0.342,22,26,0.846,13,46,59,26,7,8,15,17,115,0.572,0.522,0.427,0.292,29.5,75.4,56.2,65.0,7.1,12.3,13.0,116.0,103.9,Home,TOR,39,101,0.386,13,36,0.361,12,19,0.632,15,31,46,27,11,3,7,21,103,0.471,0.45,0.356,0.188,24.6,70.5,43.8,69.2,11.1,5.9,6.0,103.9,116.0,BRK
52,105,0.495,14,36,0.389,10,15,0.667,22,30,52,21,6,4,9,11,128,0.573,0.562,0.343,0.143,44.0,69.8,55.9,40.4,6.4,7.3,7.5,137.0,138.0,Home,CHO,46,91,0.505,21,36,0.583,16,16,1.0,13,28,41,30,6,7,9,16,129,0.658,0.621,0.396,0.176,30.2,56.0,44.1,65.2,6.4,10.1,8.4,138.0,137.0,BRK
46,91,0.505,14,34,0.412,23,31,0.742,14,43,57,31,4,8,11,21,129,0.616,0.582,0.374,0.341,32.6,84.3,60.6,67.4,4.0,13.6,9.5,129.2,101.2,Home,ORL,35,88,0.398,9,29,0.31,22,27,0.815,8,29,37,24,3,5,11,27,101,0.506,0.449,0.33,0.307,15.7,67.4,39.4,68.6,3.0,8.8,9.9,101.2,129.2,BRK
43,94,0.457,11,27,0.407,17,24,0.708,12,33,45,24,7,6,12,19,114,0.545,0.516,0.287,0.255,24.0,75.0,47.9,55.8,6.9,10.2,10.3,112.4,111.4,Away,ATL,42,94,0.447,12,35,0.343,17,18,0.944,11,38,49,25,5,4,13,23,113,0.554,0.511,0.372,0.191,25.0,76.0,52.1,59.5,4.9,6.0,11.3,111.4,112.4,BRK
