mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,opp_mp,opp_fg,opp_fga,opp_fg_pct,opp_fg3,opp_fg3a,opp_fg3_pct,opp_ft,opp_fta,opp_ft_pct,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,opp_pts,opp_game_score,opp_plus_minus,opp_ts_pct,opp_efg_pct,opp_fg3a_per_fga_pct,opp_fta_per_fga_pct,opp_orb_pct,opp_drb_pct,opp_trb_pct,opp_ast_pct,opp_stl_pct,opp_blk_pct,opp_tov_pct,opp_usg_pct,opp_off_rtg,opp_def_rtg,opp_bpm
240,37,77,.481,12,39,.308,22,26,.846,7,39,46,18,6,11,13,22,108,,,.611,.558,.506,.338,18.9,69.6,49.5,48.6,6.3,19.6,12.8,100.0,113.2,109.0,,240,36,97,.371,18,41,.439,14,26,.538,17,30,47,24,9,0,11,22,104,,,.480,.464,.423,.268,30.4,81.1,50.5,66.7,9.4,0.0,9.2,100.0,109.0,113.2,
240,45,95,.474,16,39,.410,13,19,.684,16,39,55,20,7,6,15,19,119,,,.576,.558,.411,.200,32.0,78.0,55.0,44.4,7.0,10.7,12.7,100.0,119.8,111.7,,240,38,89,.427,16,33,.485,19,23,.826,11,34,45,24,8,6,12,16,111,,,.560,.517,.371,.258,22.0,68.0,45.0,63.2,8.1,10.7,10.8,100.0,111.7,119.8,
240,51,102,.500,19,53,.358,5,7,.714,15,36,51,31,11,6,18,21,126,,,.600,.593,.520,.069,34.1,76.6,56.0,60.8,10.8,11.8,14.6,100.0,123.2,104.6,,240,39,87,.448,11,36,.306,18,26,.692,11,29,40,26,12,4,15,13,107,,,.543,.511,.414,.299,23.4,65.9,44.0,66.7,11.7,8.2,13.2,100.0,104.6,123.2,
240,54,95,.568,20,35,.571,27,28,.964,11,46,57,27,5,2,13,19,155,,,.722,.674,.368,.295,32.4,85.2,64.8,50.0,4.7,3.1,10.8,100.0,146.9,98.5,,240,46,101,.455,5,37,.135,7,12,.583,8,23,31,26,6,6,9,20,104,,,.489,.480,.366,.119,14.8,67.6,35.2,56.5,5.7,10.0,7.8,100.0,98.5,146.9,
240,43,90,.478,15,45,.333,23,27,.852,10,40,50,22,4,6,11,17,124,,,.609,.561,.500,.300,23.8,80.0,54.3,51.2,4.0,12.5,9.7,100.0,123.7,113.8,,240,43,100,.430,17,52,.327,11,17,.647,10,32,42,22,4,5,6,21,114,,,.530,.515,.520,.170,20.0,76.2,45.7,51.2,4.0,11.1,5.3,100.0,113.8,123.7,
265,36,92,.391,11,39,.282,26,34,.765,11,34,45,20,13,2,18,26,109,,,.510,.451,.424,.370,22.0,85.0,50.0,55.6,11.7,4.2,14.4,100.0,97.8,102.3,,265,44,85,.518,13,37,.351,13,25,.520,6,39,45,26,7,5,24,26,114,,,.594,.594,.435,.294,15.0,78.0,50.0,59.1,6.3,9.4,20.0,100.0,102.3,97.8,
240,36,91,.396,15,47,.319,16,19,.842,9,34,43,28,8,6,13,13,103,,,.518,.478,.516,.209,17.0,73.9,43.4,77.8,7.9,9.8,11.6,100.0,102.1,105.0,,240,42,95,.442,9,34,.265,13,15,.867,12,44,56,20,7,7,14,16,106,,,.522,.489,.358,.158,26.1,83.0,56.6,47.6,6.9,15.9,12.1,100.0,105.0,102.1,
240,41,94,.436,19,52,.365,20,28,.714,17,35,52,29,5,3,8,13,121,,,.569,.537,.553,.298,31.5,79.5,53.1,70.7,5.3,6.3,7.0,100.0,127.9,113.1,,240,38,85,.447,15,37,.405,16,18,.889,9,37,46,26,0,3,12,25,107,,,.576,.535,.435,.212,20.5,68.5,46.9,68.4,0.0,7.1,11.4,100.0,113.1,127.9,
240,47,86,.547,15,44,.341,8,13,.615,5,41,46,30,1,4,13,14,117,,,.638,.634,.512,.151,14.3,85.4,55.4,63.8,1.0,7.4,12.4,100.0,119.4,96.0,,240,35,91,.385,10,37,.270,14,16,.875,7,30,37,25,8,1,9,14,94,,,.479,.440,.407,.176,14.6,85.7,44.6,71.4,8.2,2.4,8.4,100.0,96.0,119.4,
240,40,79,.506,19,43,.442,15,16,.938,8,29,37,27,3,3,11,22,114,,,.662,.627,.544,.203,24.2,70.7,50.0,67.5,3.5,6.8,11.3,100.0,132.2,113.6,,240,33,79,.418,15,35,.429,17,24,.708,12,25,37,17,5,2,12,16,98,,,.547,.513,.443,.304,29.3,75.8,50.0,51.5,5.8,5.6,11.8,100.0,113.6,132.2,
240,42,88,.477,18,50,.360,15,19,.789,12,33,45,23,7,8,10,15,117,,,.607,.580,.568,.216,27.9,76.7,52.3,54.8,7.6,14.5,9.4,100.0,127.7,116.8,,240,39,85,.459,11,30,.367,18,22,.818,10,31,41,18,5,1,9,14,107,,,.565,.524,.353,.259,23.3,72.1,47.7,46.2,5.5,2.6,8.7,100.0,116.8,127.7,
240,42,92,.457,16,46,.348,8,9,.889,8,36,44,29,5,4,11,13,108,,,.563,.543,.500,.098,18.2,87.8,51.8,69.0,5.1,7.4,10.3,100.0,109.9,106.8,,240,42,87,.483,12,33,.364,9,14,.643,5,36,41,29,4,1,13,11,105,,,.564,.552,.379,.161,12.2,81.8,48.2,69.0,4.1,2.2,12.2,100.0,106.8,109.9,
240,35,77,.455,12,31,.387,20,25,.800,9,36,45,20,6,10,17,19,102,,,.580,.532,.403,.325,24.3,72.0,51.7,57.1,6.5,19.6,16.2,100.0,109.9,107.7,,240,37,95,.389,17,44,.386,9,10,.900,14,28,42,28,7,5,11,21,100,,,.503,.479,.463,.105,28.0,75.7,48.3,75.7,7.5,10.9,10.0,100.0,107.7,109.9,
265,42,97,.433,16,50,.320,18,28,.643,11,37,48,19,6,8,15,15,118,,,.540,.515,.515,.289,21.6,68.5,45.7,45.2,5.6,12.3,12.1,100.0,109.9,112.7,,265,46,104,.442,13,39,.333,16,17,.941,17,40,57,29,9,7,13,18,121,,,.543,.505,.375,.163,31.5,78.4,54.3,63.0,8.4,14.9,10.4,100.0,112.7,109.9,
240,44,84,.524,17,42,.405,14,17,.824,4,39,43,27,3,5,15,15,119,,,.650,.625,.500,.202,10.5,75.0,47.8,61.4,3.0,7.5,14.1,100.0,117.2,114.2,,240,45,101,.446,13,34,.382,13,17,.765,13,34,47,23,9,2,9,19,116,,,.535,.510,.337,.168,25.0,89.5,52.2,51.1,8.9,4.8,7.7,100.0,114.2,117.2,
240,31,76,.408,7,29,.241,27,37,.730,4,27,31,17,10,4,15,18,96,,,.520,.454,.382,.487,10.3,67.5,39.2,54.8,10.1,7.0,14.0,100.0,96.9,114.1,,240,43,85,.506,11,28,.393,16,22,.727,13,35,48,23,5,3,18,28,113,,,.597,.571,.329,.259,32.5,89.7,60.8,53.5,5.0,6.4,16.0,100.0,114.1,96.9,
240,42,95,.442,13,47,.277,16,20,.800,18,40,58,24,9,3,13,19,113,,,.544,.511,.495,.211,36.0,78.4,57.4,57.1,9.2,8.6,11.1,100.0,115.8,105.5,,240,36,88,.409,19,53,.358,12,19,.632,11,32,43,15,5,4,16,17,103,,,.534,.517,.602,.216,21.6,64.0,42.6,41.7,5.1,8.3,14.2,100.0,105.5,115.8,
240,47,90,.522,21,49,.429,9,12,.750,11,41,52,36,6,9,16,18,124,,,.651,.639,.544,.133,28.2,82.0,58.4,76.6,6.2,14.5,14.4,100.0,128.4,100.4,,240,39,90,.433,9,28,.321,10,18,.556,9,28,37,25,11,7,8,13,97,,,.495,.483,.311,.200,18.0,71.8,41.6,64.1,11.4,17.1,7.6,100.0,100.4,128.4,
240,39,77,.506,16,33,.485,31,36,.861,10,36,46,25,10,8,20,18,125,,,.673,.610,.429,.468,27.0,70.6,52.3,64.1,9.8,13.6,17.7,100.0,122.8,116.9,,240,43,94,.457,16,35,.457,17,23,.739,15,27,42,16,16,5,16,24,119,,,.571,.543,.372,.245,29.4,73.0,47.7,37.2,15.7,11.4,13.3,100.0,116.9,122.8,
