mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,opp_mp,opp_fg,opp_fga,opp_fg_pct,opp_fg3,opp_fg3a,opp_fg3_pct,opp_ft,opp_fta,opp_ft_pct,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,opp_pts,opp_game_score,opp_plus_minus,opp_ts_pct,opp_efg_pct,opp_fg3a_per_fga_pct,opp_fta_per_fga_pct,opp_orb_pct,opp_drb_pct,opp_trb_pct,opp_ast_pct,opp_stl_pct,opp_blk_pct,opp_tov_pct,opp_usg_pct,opp_off_rtg,opp_def_rtg,opp_bpm
240,42,84,.500,9,27,.333,20,26,.769,13,37,50,30,6,6,18,16,113,,,.592,.554,.321,.310,31.0,80.4,56.8,71.4,6.1,11.8,15.9,100.0,115.3,116.3,,240,44,94,.468,17,43,.395,9,10,.900,9,29,38,25,10,6,10,23,114,,,.579,.559,.457,.106,19.6,69.0,43.2,56.8,10.2,10.5,9.2,100.0,116.3,115.3,
240,45,92,.489,21,43,.488,9,10,.900,10,37,47,30,5,4,16,28,120,,,.622,.603,.467,.109,23.8,82.2,54.0,66.7,4.9,7.3,14.2,100.0,118.6,123.6,,240,44,91,.484,15,36,.417,22,28,.786,8,32,40,20,5,2,9,15,125,,,.605,.566,.396,.308,17.8,76.2,46.0,45.5,4.9,4.1,8.0,100.0,123.6,118.6,
240,49,87,.563,12,33,.364,23,32,.719,10,36,46,25,4,8,14,19,133,,,.658,.632,.379,.368,24.4,81.8,54.1,51.0,3.8,12.3,12.2,100.0,127.7,116.2,,240,47,96,.490,8,31,.258,19,20,.950,8,31,39,33,8,5,10,23,121,,,.577,.531,.323,.208,18.2,75.6,45.9,70.2,7.7,9.3,8.7,100.0,116.2,127.7,
240,37,82,.451,16,36,.444,19,26,.731,7,40,47,27,11,4,18,18,109,,,.583,.549,.439,.317,16.7,78.4,50.5,73.0,10.6,7.5,16.2,100.0,105.5,101.7,,240,39,91,.429,13,38,.342,14,18,.778,11,35,46,22,10,5,18,20,105,,,.531,.500,.418,.198,21.6,83.3,49.5,56.4,9.7,10.9,15.4,100.0,101.7,105.5,
240,44,96,.458,18,45,.400,3,5,.600,8,31,39,32,4,4,11,12,109,,,.555,.552,.469,.052,19.5,77.5,48.1,72.7,4.2,6.6,10.1,100.0,113.7,111.7,,240,43,89,.483,11,28,.393,10,14,.714,9,33,42,21,4,4,10,13,107,,,.562,.545,.315,.157,22.5,80.5,51.9,48.8,4.2,7.8,9.5,100.0,111.7,113.7,
240,43,100,.430,17,52,.327,11,17,.647,10,32,42,22,4,5,6,21,114,,,.530,.515,.520,.170,20.0,76.2,45.7,51.2,4.0,11.1,5.3,100.0,113.8,123.7,,240,43,90,.478,15,45,.333,23,27,.852,10,40,50,22,4,6,11,17,124,,,.609,.561,.500,.300,23.8,80.0,54.3,51.2,4.0,12.5,9.7,100.0,123.7,113.8,
240,49,101,.485,16,45,.356,11,13,.846,11,35,46,22,2,4,8,16,125,,,.586,.564,.446,.129,23.4,74.5,48.9,44.9,2.0,8.3,7.0,100.0,123.1,127.0,,240,46,96,.479,16,48,.333,21,24,.875,12,36,48,26,6,2,10,13,129,,,.605,.563,.500,.250,25.5,76.6,51.1,56.5,5.9,3.6,8.6,100.0,127.0,123.1,
240,37,92,.402,15,41,.366,11,13,.846,14,35,49,22,10,10,14,14,100,,,.512,.484,.446,.141,25.9,76.1,49.0,59.5,10.3,18.2,12.5,100.0,103.1,95.8,,240,36,91,.396,8,36,.222,13,13,1.000,11,40,51,22,10,8,16,15,93,,,.481,.440,.396,.143,23.9,74.1,51.0,61.1,10.3,15.7,14.2,100.0,95.8,103.1,
240,38,85,.447,15,37,.405,16,18,.889,9,37,46,26,0,3,12,25,107,,,.576,.535,.435,.212,20.5,68.5,46.9,68.4,0.0,7.1,11.4,100.0,113.1,127.9,,240,41,94,.436,19,52,.365,20,28,.714,17,35,52,29,5,3,8,13,121,,,.569,.537,.553,.298,31.5,79.5,53.1,70.7,5.3,6.3,7.0,100.0,127.9,113.1,
240,37,98,.378,12,49,.245,16,20,.800,20,46,66,22,6,6,19,18,102,,,.478,.439,.500,.204,36.4,86.8,61.1,59.5,5.9,12.8,15.1,100.0,100.2,92.4,,240,33,88,.375,10,41,.244,18,25,.720,7,35,42,20,14,3,12,15,94,,,.475,.432,.466,.284,13.2,63.6,38.9,60.6,13.8,6.1,10.8,100.0,92.4,100.2,
