fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,off_rtg,def_rtg,game_id,Location,Win,opp_fg,opp_fga,opp_fg_pct,opp_fg3,opp_fg3a,opp_fg3_pct,opp_ft,opp_fta,opp_ft_pct,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,opp_pts,opp_ts_pct,opp_efg_pct,opp_fg3a_per_fga_pct,opp_fta_per_fga_pct,opp_orb_pct,opp_drb_pct,opp_trb_pct,opp_ast_pct,opp_stl_pct,opp_blk_pct,opp_tov_pct,opp_off_rtg,opp_def_rtg
39,94,0.415,12,42,0.286,14,18,0.778,13,29,42,26,10,3,13,16,104,0.51,0.479,0.447,0.191,25.5,85.3,49.4,66.7,10.1,7.0,11.3,104.7,124.9,5e8282c4-5960-455e-b59f-f79bf6e8b416,Home,0,45,82,0.549,19,39,0.487,15,18,0.833,5,38,43,30,6,4,16,19,124,0.69,0.665,0.476,0.22,14.7,74.5,50.6,66.7,6.0,7.7,15.1,124.9,104.7
37,99,0.374,8,39,0.205,22,28,0.786,15,37,52,18,10,5,17,22,104,0.467,0.414,0.394,0.283,25.0,82.2,49.5,48.6,9.1,10.4,13.2,95.0,94.0,88a781a8-2f29-456c-88a7-968bca82a35d,Home,1,39,84,0.464,9,36,0.25,16,25,0.64,8,45,53,25,5,2,23,29,103,0.542,0.518,0.429,0.298,17.8,75.0,50.5,64.1,4.6,3.3,19.5,94.0,95.0
39,93,0.419,11,28,0.393,13,16,0.813,13,20,33,16,10,5,8,20,102,0.51,0.478,0.301,0.172,25.5,57.1,38.4,41.0,10.8,8.6,7.4,110.3,127.7,430bb884-c2c5-4fe9-b243-e4c416a73400,Away,0,45,86,0.523,12,28,0.429,16,20,0.8,15,38,53,29,4,4,17,18,118,0.622,0.593,0.326,0.233,42.9,74.5,61.6,64.4,4.3,6.2,15.2,127.7,110.3
40,87,0.46,6,17,0.353,26,31,0.839,10,34,44,19,8,6,13,17,112,0.556,0.494,0.195,0.356,21.7,75.6,48.4,47.5,7.9,14.3,11.4,110.4,103.5,b60ea9d7-1058-4d37-9a9a-fc3e9e527298,Away,1,36,88,0.409,12,46,0.261,21,25,0.84,11,36,47,26,7,5,17,24,105,0.53,0.477,0.523,0.284,24.4,78.3,51.6,72.2,6.9,7.1,14.7,103.5,110.4
42,89,0.472,11,33,0.333,10,11,0.909,12,31,43,19,10,3,13,23,105,0.559,0.534,0.371,0.124,27.3,70.5,48.9,45.2,10.8,9.1,12.2,112.9,122.6,0d54afca-0ced-44cb-9712-8ec5b5edb482,Away,0,37,81,0.457,20,48,0.417,20,28,0.714,13,32,45,23,7,2,15,11,114,0.611,0.58,0.593,0.346,29.5,72.7,51.1,62.2,7.5,3.6,13.8,122.6,112.9
43,89,0.483,11,28,0.393,10,14,0.714,9,33,42,21,4,4,10,13,107,0.562,0.545,0.315,0.157,22.5,80.5,51.9,48.8,4.2,7.8,9.5,111.7,113.7,8ae7a490-14c4-4f66-b497-f4199b211942,Home,0,44,96,0.458,18,45,0.4,3,5,0.6,8,31,39,32,4,4,11,12,109,0.555,0.552,0.469,0.052,19.5,77.5,48.1,72.7,4.2,6.6,10.1,113.7,111.7
39,86,0.453,7,26,0.269,16,23,0.696,9,28,37,28,7,3,11,19,101,0.525,0.494,0.302,0.267,18.8,73.7,43.0,71.8,7.3,6.7,10.3,105.9,128.9,b68045c8-68bb-48d8-a897-73ecf0bf7938,Away,0,42,81,0.519,16,36,0.444,23,30,0.767,10,39,49,31,10,4,12,18,123,0.653,0.617,0.444,0.37,26.3,81.3,57.0,73.8,10.5,6.7,11.3,128.9,105.9
48,93,0.516,18,34,0.529,16,19,0.842,10,26,36,26,12,3,8,18,130,0.641,0.613,0.366,0.204,22.2,60.5,40.9,54.2,12.3,7.0,7.3,133.6,116.1,e74e7edd-5581-4ab8-a91f-8553fb985958,Home,1,41,86,0.477,16,43,0.372,15,17,0.882,17,35,52,32,1,7,23,20,113,0.604,0.57,0.5,0.198,39.5,77.8,59.1,78.0,1.0,11.9,19.7,116.1,133.6
42,96,0.438,14,33,0.424,17,23,0.739,9,30,39,30,12,7,14,22,115,0.542,0.51,0.344,0.24,18.0,69.8,41.9,71.4,11.2,16.7,11.7,107.5,108.4,b1b7365b-f2b9-4a6d-bcbe-4de2083112e4,Home,0,38,90,0.422,19,48,0.396,21,25,0.84,13,41,54,32,7,10,22,20,116,0.574,0.528,0.533,0.278,30.2,82.0,58.1,84.2,6.5,15.9,17.9,108.4,107.5
44,91,0.484,11,30,0.367,20,25,0.8,11,29,40,22,12,6,7,21,119,0.583,0.544,0.33,0.275,25.0,64.4,44.9,50.0,12.6,10.7,6.4,124.7,113.2,d4612bb5-3a5c-40bf-b5ee-537d910724c8,Home,1,38,88,0.432,11,32,0.344,21,26,0.808,16,33,49,26,4,6,16,19,108,0.543,0.494,0.364,0.295,35.6,75.0,55.1,68.4,4.2,9.8,13.9,113.2,124.7
38,100,0.38,14,42,0.333,19,21,0.905,18,29,47,24,9,7,8,25,109,0.499,0.45,0.42,0.21,31.0,69.0,47.0,63.2,9.1,16.7,6.8,110.6,119.8,0e91fec9-5e7e-4c1f-b64d-c8826ce3894f,Away,0,42,89,0.472,15,47,0.319,19,27,0.704,13,40,53,23,3,5,17,23,118,0.585,0.556,0.528,0.303,31.0,69.0,53.0,54.8,3.0,8.6,14.4,119.8,110.6
33,83,0.398,9,33,0.273,19,22,0.864,14,39,53,16,7,4,19,25,94,0.507,0.452,0.398,0.265,29.2,76.5,53.5,48.5,7.3,7.4,17.0,98.1,100.2,0d4fc98f-4b52-4542-97b6-264ffdf729c0,Home,0,32,82,0.39,8,28,0.286,24,30,0.8,12,34,46,20,12,3,15,21,96,0.504,0.439,0.341,0.366,23.5,70.8,46.5,62.5,12.5,6.0,13.6,100.2,98.1
35,79,0.443,10,29,0.345,17,22,0.773,5,29,34,19,10,3,16,21,97,0.547,0.506,0.367,0.278,12.2,74.4,42.5,54.3,10.3,6.7,15.3,100.0,106.2,3209e508-8565-4a6d-9d1a-4b2bc06ed40e,Home,0,38,79,0.481,11,34,0.324,16,23,0.696,10,36,46,24,7,7,19,22,103,0.578,0.551,0.43,0.291,25.6,87.8,57.5,63.2,7.2,14.0,17.6,106.2,100.0
36,81,0.444,16,45,0.356,14,19,0.737,10,34,44,24,9,6,13,22,102,0.571,0.543,0.556,0.235,25.6,87.2,56.4,66.7,9.8,14.6,12.7,110.6,105.2,f62baeaa-7a70-4f09-bce3-62a99ed97787,Home,1,33,77,0.429,12,36,0.333,19,23,0.826,5,29,34,23,9,0,15,18,97,0.557,0.506,0.468,0.299,12.8,74.4,43.6,69.7,9.8,0.0,14.7,105.2,110.6
37,81,0.457,11,37,0.297,15,16,0.938,7,29,36,21,2,7,11,16,100,0.568,0.525,0.457,0.198,17.1,76.3,45.6,56.8,2.2,14.3,11.1,110.1,129.9,5272eda0-8344-4419-a536-90e1387ca70e,Home,0,42,84,0.5,17,35,0.486,17,20,0.85,9,34,43,31,7,1,10,19,118,0.636,0.601,0.417,0.238,23.7,82.9,54.4,73.8,7.7,2.3,9.7,129.9,110.1
34,88,0.386,17,44,0.386,17,17,1.0,11,27,38,22,7,2,12,26,102,0.534,0.483,0.5,0.193,24.4,71.1,45.8,64.7,7.6,4.3,11.2,110.2,125.3,9ba4d85e-ab08-4b89-8eb7-7c2fe5ec9ede,Away,0,37,75,0.493,11,29,0.379,31,38,0.816,11,34,45,24,4,12,14,17,116,0.632,0.567,0.387,0.507,28.9,75.6,54.2,64.9,4.3,27.3,13.2,125.3,110.2
42,82,0.512,12,27,0.444,12,19,0.632,9,28,37,20,5,2,13,20,108,0.598,0.585,0.329,0.232,25.0,68.3,48.1,47.6,5.4,4.5,12.6,115.8,129.8,50bef532-306f-4d70-bac8-75790abf98ae,Away,0,44,83,0.53,13,39,0.333,20,27,0.741,13,27,40,32,8,6,14,14,121,0.638,0.608,0.47,0.325,31.7,75.0,51.9,72.7,8.6,10.9,12.9,129.8,115.8
40,83,0.482,12,32,0.375,17,22,0.773,10,30,40,21,3,2,11,18,109,0.588,0.554,0.386,0.265,24.4,78.9,50.6,52.5,3.3,6.7,10.6,119.7,129.6,3e6f187e-df0c-4eb6-8d21-518d283f0d94,Away,0,41,83,0.494,25,53,0.472,11,15,0.733,8,31,39,29,7,2,11,19,118,0.658,0.645,0.639,0.181,21.1,75.6,49.4,70.7,7.7,3.9,10.9,129.6,119.7
39,90,0.433,9,28,0.321,10,18,0.556,9,28,37,25,11,7,8,13,97,0.495,0.483,0.311,0.2,18.0,71.8,41.6,64.1,11.4,17.1,7.6,100.4,128.4,a60ebbd3-58f4-4010-8a75-d9b23e230496,Away,0,47,90,0.522,21,49,0.429,9,12,0.75,11,41,52,36,6,9,16,18,124,0.651,0.639,0.544,0.133,28.2,82.0,58.4,76.6,6.2,14.5,14.4,128.4,100.4
45,98,0.459,13,37,0.351,17,22,0.773,14,37,51,32,14,4,21,18,120,0.557,0.526,0.378,0.224,29.2,80.4,54.3,71.1,12.5,8.0,16.3,107.1,100.8,fc23e254-2e3c-403c-a727-b124cd2ae2c3,Home,1,44,98,0.449,16,48,0.333,9,13,0.692,9,34,43,28,12,6,21,21,113,0.545,0.531,0.49,0.133,19.6,70.8,45.7,63.6,10.7,9.8,16.8,100.8,107.1
