mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,Location,Opponent,opp_mp,opp_fg,opp_fga,opp_fg_pct,opp_fg3,opp_fg3a,opp_fg3_pct,opp_ft,opp_fta,opp_ft_pct,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,opp_pts,opp_game_score,opp_plus_minus,opp_ts_pct,opp_efg_pct,opp_fg3a_per_fga_pct,opp_fta_per_fga_pct,opp_orb_pct,opp_drb_pct,opp_trb_pct,opp_ast_pct,opp_stl_pct,opp_blk_pct,opp_tov_pct,opp_usg_pct,opp_off_rtg,opp_def_rtg,opp_bpm,opp_Location,opp_Opponent
240,43,86,.500,11,37,.297,19,26,.731,12,39,51,34,5,3,19,21,116,,,.595,.564,.430,.302,28.6,76.5,54.8,79.1,4.8,4.7,16.3,100.0,112.2,106.4,,Home,ATL,240,39,93,.419,5,29,.172,27,33,.818,12,30,42,24,12,1,12,19,110,,,.512,.446,.312,.355,23.5,71.4,45.2,61.5,11.6,2.0,10.0,100.0,106.4,112.2,,Away,CHO
240,33,88,.375,7,28,.250,26,34,.765,11,30,41,20,13,7,18,23,99,,,.481,.415,.318,.386,21.2,71.4,43.6,60.6,12.1,12.1,14.9,100.0,92.3,103.5,,Home,DET,240,40,88,.455,10,30,.333,21,25,.840,12,41,53,28,7,6,24,29,111,,,.561,.511,.341,.284,28.6,78.8,56.4,70.0,6.5,10.0,19.5,100.0,103.5,92.3,,Away,CHO
240,47,96,.490,8,31,.258,19,20,.950,8,31,39,33,8,5,10,23,121,,,.577,.531,.323,.208,18.2,75.6,45.9,70.2,7.7,9.3,8.7,100.0,116.2,127.7,,Home,BRK,240,49,87,.563,12,33,.364,23,32,.719,10,36,46,25,4,8,14,19,133,,,.658,.632,.379,.368,24.4,81.8,54.1,51.0,3.8,12.3,12.2,100.0,127.7,116.2,,Away,CHO
240,45,90,.500,11,27,.407,18,25,.720,15,29,44,21,9,8,16,19,119,,,.589,.561,.300,.278,32.6,80.6,53.7,46.7,8.9,17.0,13.7,100.0,117.7,126.6,,Away,HOU,240,44,84,.524,21,37,.568,19,23,.826,7,31,38,35,10,2,17,22,128,,,.680,.649,.440,.274,19.4,67.4,46.3,79.5,9.9,3.2,15.3,100.0,126.6,117.7,,Home,CHO
240,47,88,.534,8,20,.400,23,23,1.000,12,29,41,23,5,10,13,20,125,,,.637,.580,.227,.261,32.4,72.5,53.2,48.9,5.1,20.8,11.7,100.0,127.4,126.4,,Away,IND,240,45,93,.484,22,45,.489,12,16,.750,11,25,36,31,7,5,15,18,124,,,.620,.602,.484,.172,27.5,67.6,46.8,68.9,7.1,7.4,13.0,100.0,126.4,127.4,,Home,CHO
240,49,99,.495,8,30,.267,12,21,.571,10,33,43,30,5,2,9,25,118,,,.545,.535,.303,.212,20.8,78.6,47.8,61.2,4.8,4.1,7.7,100.0,112.9,118.6,,Away,DAL,240,43,91,.473,14,42,.333,24,32,.750,9,38,47,31,3,6,11,19,124,,,.590,.549,.462,.352,21.4,79.2,52.2,72.1,2.9,8.7,9.5,100.0,118.6,112.9,,Home,CHO
240,41,79,.519,8,25,.320,26,35,.743,11,36,47,17,8,5,22,22,116,,,.614,.570,.316,.443,28.9,73.5,54.0,41.5,7.7,9.3,18.9,100.0,112.1,127.5,,Home,WAS,240,47,97,.485,18,43,.419,20,25,.800,13,27,40,26,10,6,11,26,132,,,.611,.577,.443,.258,26.5,71.1,46.0,55.3,9.7,11.1,9.2,100.0,127.5,112.1,,Away,CHO
240,50,110,.455,6,28,.214,18,28,.643,28,39,67,31,10,4,10,19,124,,,.507,.482,.255,.255,49.1,84.8,65.0,62.0,9.8,8.0,7.6,100.0,122.0,115.1,,Away,WAS,240,43,88,.489,14,38,.368,17,20,.850,7,29,36,28,4,6,15,23,117,,,.604,.568,.432,.227,15.2,50.9,35.0,65.1,3.9,7.3,13.4,100.0,115.1,122.0,,Home,CHO
240,44,94,.468,12,35,.343,7,11,.636,15,21,36,21,5,4,12,25,107,,,.541,.532,.372,.117,33.3,67.7,47.4,47.7,5.4,7.8,10.8,100.0,114.6,138.1,,Away,NYK,240,47,87,.540,15,36,.417,20,30,.667,10,30,40,25,8,4,9,18,129,,,.644,.626,.414,.345,32.3,66.7,52.6,53.2,8.6,6.8,8.2,100.0,138.1,114.6,,Home,CHO
240,36,81,.444,15,32,.469,18,22,.818,13,32,45,21,6,0,18,21,105,,,.579,.537,.395,.272,28.9,76.2,51.7,58.3,6.5,0.0,16.6,100.0,113.4,119.9,,Home,MIA,240,40,83,.482,8,31,.258,23,28,.821,10,32,42,26,12,5,8,19,111,,,.582,.530,.373,.337,23.8,71.1,48.3,65.0,13.0,10.2,7.7,100.0,119.9,113.4,,Away,CHO
