mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,Location,Opponent,opp_mp,opp_fg,opp_fga,opp_fg_pct,opp_fg3,opp_fg3a,opp_fg3_pct,opp_ft,opp_fta,opp_ft_pct,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,opp_pts,opp_game_score,opp_plus_minus,opp_ts_pct,opp_efg_pct,opp_fg3a_per_fga_pct,opp_fta_per_fga_pct,opp_orb_pct,opp_drb_pct,opp_trb_pct,opp_ast_pct,opp_stl_pct,opp_blk_pct,opp_tov_pct,opp_usg_pct,opp_off_rtg,opp_def_rtg,opp_bpm,opp_Location,opp_Opponent
240,44,94,.468,17,43,.395,9,10,.900,9,29,38,25,10,6,10,23,114,,,.579,.559,.457,.106,19.6,69.0,43.2,56.8,10.2,10.5,9.2,100.0,116.3,115.3,,Away,BRK,240,42,84,.500,9,27,.333,20,26,.769,13,37,50,30,6,6,18,16,113,,,.592,.554,.321,.310,31.0,80.4,56.8,71.4,6.1,11.8,15.9,100.0,115.3,116.3,,Home,CLE
240,38,92,.413,12,45,.267,17,23,.739,8,40,48,20,10,8,14,16,105,,,.514,.478,.489,.250,16.3,87.0,50.5,52.6,9.4,13.1,12.1,100.0,99.1,102.0,,Home,OKC,240,40,87,.460,13,26,.500,15,19,.789,6,41,47,22,8,10,18,17,108,,,.566,.534,.299,.218,13.0,83.7,49.5,55.0,7.6,21.3,15.9,100.0,102.0,99.1,,Away,CLE
240,43,99,.434,12,31,.387,15,24,.625,18,33,51,29,2,6,7,16,113,,,.516,.495,.313,.242,32.7,75.0,51.5,67.4,2.0,10.0,6.0,100.0,115.7,127.9,,Home,IND,240,48,98,.490,15,38,.395,14,17,.824,11,37,48,36,3,4,8,20,125,,,.593,.566,.388,.173,25.0,67.3,48.5,75.0,3.1,5.9,7.0,100.0,127.9,115.7,,Away,CLE
240,36,92,.391,10,38,.263,9,12,.750,14,32,46,19,6,6,15,19,91,,,.468,.446,.413,.130,28.0,72.7,48.9,52.8,6.3,11.5,13.4,100.0,95.3,114.1,,Home,NYK,240,38,86,.442,13,34,.382,20,25,.800,12,36,48,18,9,1,14,17,109,,,.562,.517,.395,.291,27.3,72.0,51.1,47.4,9.4,1.9,12.6,100.0,114.1,95.3,,Away,CLE
240,32,74,.432,12,32,.375,19,20,.950,6,40,46,22,7,5,18,27,95,,,.574,.514,.432,.270,15.0,71.4,47.9,68.8,7.3,8.1,17.9,100.0,98.5,92.3,,Away,NYK,240,32,92,.348,5,30,.167,20,30,.667,16,34,50,18,10,3,14,16,89,,,.423,.375,.326,.326,28.6,85.0,52.1,56.3,10.4,7.1,11.7,100.0,92.3,98.5,,Home,CLE
240,44,84,.524,8,28,.286,20,25,.800,5,30,35,27,10,9,13,20,116,,,.611,.571,.333,.298,13.2,81.1,46.7,61.4,9.6,16.4,12.0,100.0,111.7,116.5,,Away,IND,240,45,86,.523,15,31,.484,16,24,.667,7,33,40,28,7,5,19,18,121,,,.627,.610,.360,.279,18.9,86.8,53.3,62.2,6.7,8.9,16.4,100.0,116.5,111.7,,Home,CLE
240,41,83,.494,11,37,.297,22,28,.786,13,41,54,26,8,2,18,21,115,,,.603,.560,.446,.337,32.5,70.7,55.1,63.4,8.1,3.8,15.9,100.0,116.3,105.2,,Home,GSW,240,34,94,.362,16,41,.390,20,30,.667,17,27,44,26,10,4,13,18,104,,,.485,.447,.436,.319,29.3,67.5,44.9,76.5,10.1,8.7,10.8,100.0,105.2,116.3,,Away,CLE
240,42,83,.506,9,29,.310,27,37,.730,11,30,41,26,9,5,20,24,120,,,.604,.560,.349,.446,27.5,71.4,50.0,61.9,8.8,8.6,16.8,100.0,117.1,124.9,,Away,OKC,240,44,86,.512,12,28,.429,28,30,.933,12,29,41,23,10,8,14,27,128,,,.645,.581,.326,.349,28.6,72.5,50.0,52.3,9.8,14.8,12.4,100.0,124.9,117.1,,Home,CLE
240,37,86,.430,11,30,.367,33,43,.767,11,34,45,23,13,3,11,24,118,,,.562,.494,.349,.500,21.6,69.4,45.0,62.2,12.5,5.8,9.5,100.0,113.7,106.0,,Away,GSW,240,37,90,.411,13,38,.342,23,30,.767,15,40,55,26,5,3,20,29,110,,,.533,.483,.422,.333,30.6,78.4,55.0,70.3,4.8,5.4,16.2,100.0,106.0,113.7,,Home,CLE
240,45,91,.495,16,35,.457,14,17,.824,14,25,39,24,3,1,11,18,120,,,.609,.582,.385,.187,32.6,75.8,51.3,53.3,3.2,2.4,10.0,100.0,129.2,142.1,,Away,SAC,240,49,83,.590,20,42,.476,14,22,.636,8,29,37,32,3,4,10,19,132,,,.712,.711,.506,.265,24.2,67.4,48.7,65.3,3.2,7.1,9.7,100.0,142.1,129.2,,Home,CLE
