mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,opp_mp,opp_fg,opp_fga,opp_fg_pct,opp_fg3,opp_fg3a,opp_fg3_pct,opp_ft,opp_fta,opp_ft_pct,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,opp_pts,opp_game_score,opp_plus_minus,opp_ts_pct,opp_efg_pct,opp_fg3a_per_fga_pct,opp_fta_per_fga_pct,opp_orb_pct,opp_drb_pct,opp_trb_pct,opp_ast_pct,opp_stl_pct,opp_blk_pct,opp_tov_pct,opp_usg_pct,opp_off_rtg,opp_def_rtg,opp_bpm
240,39,94,.415,12,42,.286,14,18,.778,13,29,42,26,10,3,13,16,104,,,.510,.479,.447,.191,25.5,85.3,49.4,66.7,10.1,7.0,11.3,100.0,104.7,124.9,,240,45,82,.549,19,39,.487,15,18,.833,5,38,43,30,6,4,16,19,124,,,.690,.665,.476,.220,14.7,74.5,50.6,66.7,6.0,7.7,15.1,100.0,124.9,104.7,
265,37,99,.374,8,39,.205,22,28,.786,15,37,52,18,10,5,17,22,104,,,.467,.414,.394,.283,25.0,82.2,49.5,48.6,9.1,10.4,13.2,100.0,95.0,94.0,,265,39,84,.464,9,36,.250,16,25,.640,8,45,53,25,5,2,23,29,103,,,.542,.518,.429,.298,17.8,75.0,50.5,64.1,4.6,3.3,19.5,100.0,94.0,95.0,
240,39,93,.419,11,28,.393,13,16,.813,13,20,33,16,10,5,8,20,102,,,.510,.478,.301,.172,25.5,57.1,38.4,41.0,10.8,8.6,7.4,100.0,110.3,127.7,,240,45,86,.523,12,28,.429,16,20,.800,15,38,53,29,4,4,17,18,118,,,.622,.593,.326,.233,42.9,74.5,61.6,64.4,4.3,6.2,15.2,100.0,127.7,110.3,
240,40,87,.460,6,17,.353,26,31,.839,10,34,44,19,8,6,13,17,112,,,.556,.494,.195,.356,21.7,75.6,48.4,47.5,7.9,14.3,11.4,100.0,110.4,103.5,,240,36,88,.409,12,46,.261,21,25,.840,11,36,47,26,7,5,17,24,105,,,.530,.477,.523,.284,24.4,78.3,51.6,72.2,6.9,7.1,14.7,100.0,103.5,110.4,
240,42,89,.472,11,33,.333,10,11,.909,12,31,43,19,10,3,13,23,105,,,.559,.534,.371,.124,27.3,70.5,48.9,45.2,10.8,9.1,12.2,100.0,112.9,122.6,,240,37,81,.457,20,48,.417,20,28,.714,13,32,45,23,7,2,15,11,114,,,.611,.580,.593,.346,29.5,72.7,51.1,62.2,7.5,3.6,13.8,100.0,122.6,112.9,
240,43,89,.483,11,28,.393,10,14,.714,9,33,42,21,4,4,10,13,107,,,.562,.545,.315,.157,22.5,80.5,51.9,48.8,4.2,7.8,9.5,100.0,111.7,113.7,,240,44,96,.458,18,45,.400,3,5,.600,8,31,39,32,4,4,11,12,109,,,.555,.552,.469,.052,19.5,77.5,48.1,72.7,4.2,6.6,10.1,100.0,113.7,111.7,
240,39,86,.453,7,26,.269,16,23,.696,9,28,37,28,7,3,11,19,101,,,.525,.494,.302,.267,18.8,73.7,43.0,71.8,7.3,6.7,10.3,100.0,105.9,128.9,,240,42,81,.519,16,36,.444,23,30,.767,10,39,49,31,10,4,12,18,123,,,.653,.617,.444,.370,26.3,81.3,57.0,73.8,10.5,6.7,11.3,100.0,128.9,105.9,
240,48,93,.516,18,34,.529,16,19,.842,10,26,36,26,12,3,8,18,130,,,.641,.613,.366,.204,22.2,60.5,40.9,54.2,12.3,7.0,7.3,100.0,133.6,116.1,,240,41,86,.477,16,43,.372,15,17,.882,17,35,52,32,1,7,23,20,113,,,.604,.570,.500,.198,39.5,77.8,59.1,78.0,1.0,11.9,19.7,100.0,116.1,133.6,
265,42,96,.438,14,33,.424,17,23,.739,9,30,39,30,12,7,14,22,115,,,.542,.510,.344,.240,18.0,69.8,41.9,71.4,11.2,16.7,11.7,100.0,107.5,108.4,,265,38,90,.422,19,48,.396,21,25,.840,13,41,54,32,7,10,22,20,116,,,.574,.528,.533,.278,30.2,82.0,58.1,84.2,6.5,15.9,17.9,100.0,108.4,107.5,
240,44,91,.484,11,30,.367,20,25,.800,11,29,40,22,12,6,7,21,119,,,.583,.544,.330,.275,25.0,64.4,44.9,50.0,12.6,10.7,6.4,100.0,124.7,113.2,,240,38,88,.432,11,32,.344,21,26,.808,16,33,49,26,4,6,16,19,108,,,.543,.494,.364,.295,35.6,75.0,55.1,68.4,4.2,9.8,13.9,100.0,113.2,124.7,
