fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,off_rtg,def_rtg,Location,Opponent,opp_fg,opp_fga,opp_fg_pct,opp_fg3,opp_fg3a,opp_fg3_pct,opp_ft,opp_fta,opp_ft_pct,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,opp_pts,opp_ts_pct,opp_efg_pct,opp_fg3a_per_fga_pct,opp_fta_per_fga_pct,opp_orb_pct,opp_drb_pct,opp_trb_pct,opp_ast_pct,opp_stl_pct,opp_blk_pct,opp_tov_pct,opp_off_rtg,opp_def_rtg,opp_Opponent
48,91,0.527,14,34,0.412,9,12,0.75,9,33,42,29,9,6,12,15,119,0.618,0.604,0.374,0.132,22.5,71.7,48.8,60.4,9.3,9.8,11.1,123.6,111.1,Home,LAL,41,90,0.456,10,29,0.345,15,20,0.75,13,31,44,23,5,4,12,18,107,0.541,0.511,0.322,0.222,28.3,77.5,51.2,56.1,5.2,7.0,10.8,111.1,123.6,DEN
41,88,0.466,14,37,0.378,12,18,0.667,6,34,40,27,11,10,19,18,108,0.563,0.545,0.42,0.205,14.6,72.3,45.5,65.9,10.6,19.2,16.5,103.7,99.9,Away,MEM,37,85,0.435,10,33,0.303,20,24,0.833,13,35,48,22,13,7,21,23,104,0.544,0.494,0.388,0.282,27.7,85.4,54.5,59.5,12.5,13.7,18.0,99.9,103.7,DEN
53,88,0.602,11,27,0.407,11,13,0.846,10,38,48,34,8,5,13,21,128,0.683,0.665,0.307,0.148,31.3,84.4,62.3,64.2,8.3,8.6,12.2,132.7,98.5,Away,OKC,37,90,0.411,6,32,0.188,15,18,0.833,7,22,29,22,8,4,10,14,95,0.485,0.444,0.356,0.2,15.6,68.8,37.7,59.5,8.3,6.6,9.3,98.5,132.7,DEN
47,84,0.56,9,28,0.321,7,17,0.412,7,36,43,32,4,8,13,14,110,0.601,0.613,0.333,0.202,17.1,67.9,45.7,68.1,4.1,13.1,12.4,112.9,104.7,Home,UTA,42,98,0.429,11,37,0.297,7,15,0.467,17,34,51,30,6,2,13,21,102,0.488,0.485,0.378,0.153,32.1,82.9,54.3,71.4,6.2,3.6,11.1,104.7,112.9,DEN
38,96,0.396,6,33,0.182,7,10,0.7,12,31,43,23,6,10,16,22,89,0.443,0.427,0.344,0.104,23.5,79.5,47.8,60.5,6.0,16.1,13.7,89.3,110.4,Away,MIN,38,83,0.458,8,21,0.381,26,27,0.963,8,39,47,20,9,5,14,15,110,0.58,0.506,0.253,0.325,20.5,76.5,52.2,52.6,9.0,7.9,12.9,110.4,89.3,DEN
49,93,0.527,13,30,0.433,14,19,0.737,19,32,51,33,11,6,20,17,125,0.617,0.597,0.323,0.204,44.2,76.2,60.0,67.3,11.2,13.6,16.5,127.5,116.2,Home,DAL,41,86,0.477,17,42,0.405,15,17,0.882,10,24,34,27,12,6,15,19,114,0.61,0.576,0.488,0.198,23.8,55.8,40.0,65.9,12.2,9.5,13.8,116.2,127.5,DEN
42,81,0.519,16,36,0.444,23,30,0.767,10,39,49,31,10,4,12,18,123,0.653,0.617,0.444,0.37,26.3,81.3,57.0,73.8,10.5,6.7,11.3,128.9,105.9,Home,CHI,39,86,0.453,7,26,0.269,16,23,0.696,9,28,37,28,7,3,11,19,101,0.525,0.494,0.302,0.267,18.8,73.7,43.0,71.8,7.3,6.7,10.3,105.9,128.9,DEN
51,95,0.537,15,39,0.385,17,23,0.739,11,34,45,37,6,5,10,16,134,0.637,0.616,0.411,0.242,26.8,81.0,54.2,72.5,6.0,8.3,8.7,133.1,115.2,Home,NOP,45,90,0.5,13,30,0.433,13,15,0.867,8,30,38,24,6,2,13,18,116,0.6,0.572,0.333,0.167,19.0,73.2,45.8,53.3,6.0,3.6,11.9,115.2,133.1,DEN
41,92,0.446,11,35,0.314,15,22,0.682,10,35,45,24,7,4,6,20,108,0.531,0.505,0.38,0.239,20.8,76.1,47.9,58.5,7.4,7.8,5.6,114.7,111.5,Home,GSW,37,86,0.43,11,35,0.314,20,26,0.769,11,38,49,21,5,0,9,20,105,0.539,0.494,0.407,0.302,23.9,79.2,52.1,56.8,5.3,0.0,8.5,111.5,114.7,DEN
42,91,0.462,9,32,0.281,11,14,0.786,12,37,49,24,3,5,11,20,104,0.535,0.511,0.352,0.154,26.7,75.5,52.1,57.1,3.2,9.1,10.2,110.6,113.8,Away,HOU,37,87,0.425,10,32,0.313,23,29,0.793,12,33,45,20,7,4,9,16,107,0.536,0.483,0.368,0.333,24.5,73.3,47.9,54.1,7.4,6.8,8.3,113.8,110.6,DEN
