fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,off_rtg,def_rtg,game_id,Location,Opponent,Win,opp_fg,opp_fga,opp_fg_pct,opp_fg3,opp_fg3a,opp_fg3_pct,opp_ft,opp_fta,opp_ft_pct,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,opp_pts,opp_ts_pct,opp_efg_pct,opp_fg3a_per_fga_pct,opp_fta_per_fga_pct,opp_orb_pct,opp_drb_pct,opp_trb_pct,opp_ast_pct,opp_stl_pct,opp_blk_pct,opp_tov_pct,opp_off_rtg,opp_def_rtg,team
41,92,0.446,11,32,0.344,9,15,0.6,17,39,56,28,3,13,17,23,102,0.517,0.505,0.348,0.163,34.7,70.9,53.8,68.3,3.2,18.6,14.7,108.3,109.4,6f65a496-2662-4908-82cc-99f277116b92,Away,MIA,0,37,92,0.402,8,22,0.364,21,26,0.808,16,32,48,22,11,3,7,18,103,0.498,0.446,0.239,0.283,29.1,65.3,46.2,59.5,11.7,5.0,6.3,109.4,108.3,DET
40,88,0.455,10,30,0.333,21,25,0.84,12,41,53,28,7,6,24,29,111,0.561,0.511,0.341,0.284,28.6,78.8,56.4,70.0,6.5,10.0,19.5,103.5,92.3,0d0f74b5-42d9-46e6-86fe-6e4a4f50f846,Away,CHO,1,33,88,0.375,7,28,0.25,26,34,0.765,11,30,41,20,13,7,18,23,99,0.481,0.415,0.318,0.386,21.2,71.4,43.6,60.6,12.1,12.1,14.9,92.3,103.5,DET
45,86,0.523,12,28,0.429,16,20,0.8,15,38,53,29,4,4,17,18,118,0.622,0.593,0.326,0.233,42.9,74.5,61.6,64.4,4.3,6.2,15.2,127.7,110.3,f9f7ff7b-bf6b-4e3a-80b6-d7186f47d8b2,Home,CHI,1,39,93,0.419,11,28,0.393,13,16,0.813,13,20,33,16,10,5,8,20,102,0.51,0.478,0.301,0.172,25.5,57.1,38.4,41.0,10.8,8.6,7.4,110.3,127.7,DET
39,91,0.429,15,28,0.536,19,24,0.792,13,28,41,31,6,5,17,25,112,0.551,0.511,0.308,0.264,25.5,82.4,48.2,79.5,5.8,9.3,14.3,109.1,120.8,40427e26-8185-46a6-b9ef-21e77e403f48,Away,OKC,0,44,83,0.53,13,29,0.448,23,28,0.821,6,38,44,21,9,10,15,19,124,0.65,0.608,0.349,0.337,17.6,74.5,51.8,47.7,8.8,15.9,13.6,120.8,109.1,DET
40,90,0.444,11,29,0.379,10,11,0.909,6,32,38,24,12,4,18,31,101,0.532,0.506,0.322,0.122,14.0,82.1,46.3,60.0,11.5,6.6,16.0,97.2,105.8,3eac0fa5-c685-4390-b61e-eb6963bcf60e,Home,POR,0,38,81,0.469,7,20,0.35,27,33,0.818,7,37,44,23,10,7,17,15,110,0.576,0.512,0.247,0.407,17.9,86.0,53.7,60.5,9.6,11.5,15.1,105.8,97.2,DET
41,94,0.436,13,38,0.342,21,26,0.808,19,29,48,30,4,5,16,31,116,0.55,0.505,0.404,0.277,39.6,80.6,57.1,73.2,4.1,10.4,13.2,118.7,127.9,76153afd-2733-4694-a967-fa5b519b5c38,Away,NOP,0,39,80,0.488,14,32,0.438,33,35,0.943,7,29,36,27,5,7,12,18,125,0.655,0.575,0.4,0.438,19.4,60.4,42.9,69.2,5.1,12.5,11.2,127.9,118.7,DET
43,87,0.494,8,23,0.348,12,14,0.857,10,23,33,25,7,6,16,23,106,0.569,0.54,0.264,0.161,25.6,62.2,43.4,58.1,7.2,9.2,14.7,108.9,123.3,3e0ba100-8242-47f8-a5f8-20c3432a2147,Home,PHO,0,43,86,0.5,8,21,0.381,26,29,0.897,14,29,43,29,8,10,18,13,120,0.608,0.547,0.244,0.337,37.8,74.4,56.6,67.4,8.2,15.6,15.4,123.3,108.9,DET
38,80,0.475,13,30,0.433,20,21,0.952,7,32,39,23,8,2,16,20,109,0.611,0.556,0.375,0.263,20.6,65.3,47.0,60.5,8.3,3.6,15.2,113.2,124.6,01570b01-679e-48a6-8f7c-65cea2f86a7e,Home,GSW,0,46,97,0.474,12,41,0.293,16,21,0.762,17,27,44,26,8,4,11,14,120,0.565,0.536,0.423,0.216,34.7,79.4,53.0,56.5,8.3,8.0,9.4,124.6,113.2,DET
48,98,0.49,7,29,0.241,15,16,0.938,11,42,53,28,2,5,19,24,118,0.562,0.526,0.296,0.163,26.2,89.4,59.6,58.3,1.8,9.4,15.3,109.0,110.8,c4a61045-2584-45b2-8cd3-a40cb990e7b9,Away,MIL,0,41,90,0.456,11,37,0.297,27,32,0.844,5,31,36,19,8,7,10,18,120,0.576,0.517,0.411,0.356,10.6,73.8,40.4,46.3,7.4,10.1,8.8,110.8,109.0,DET
40,86,0.465,8,28,0.286,18,22,0.818,11,37,48,28,3,5,17,26,106,0.554,0.512,0.326,0.256,23.9,77.1,51.1,70.0,3.1,9.1,15.1,107.8,115.9,42c761ae-0a88-409e-b6b0-a456aa5cf6d7,Home,PHI,0,35,83,0.422,9,28,0.321,35,41,0.854,11,35,46,23,13,5,9,23,114,0.564,0.476,0.337,0.494,22.9,76.1,48.9,65.7,13.2,8.6,8.2,115.9,107.8,DET
