mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,opp_mp,opp_fg,opp_fga,opp_fg_pct,opp_fg3,opp_fg3a,opp_fg3_pct,opp_ft,opp_fta,opp_ft_pct,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,opp_pts,opp_game_score,opp_plus_minus,opp_ts_pct,opp_efg_pct,opp_fg3a_per_fga_pct,opp_fta_per_fga_pct,opp_orb_pct,opp_drb_pct,opp_trb_pct,opp_ast_pct,opp_stl_pct,opp_blk_pct,opp_tov_pct,opp_usg_pct,opp_off_rtg,opp_def_rtg,opp_bpm
240,47,99,.475,15,47,.319,17,23,.739,13,35,48,24,6,3,12,20,126,,,.577,.551,.475,.232,26.5,79.5,51.6,51.1,5.6,5.6,9.9,100.0,118.4,111.8,,240,46,89,.517,11,35,.314,16,22,.727,9,36,45,33,8,5,19,23,119,,,.603,.579,.393,.247,20.5,73.5,48.4,71.7,7.5,9.6,16.1,100.0,111.8,118.4,
240,44,91,.484,15,36,.417,22,28,.786,8,32,40,20,5,2,9,15,125,,,.605,.566,.396,.308,17.8,76.2,46.0,45.5,4.9,4.1,8.0,100.0,123.6,118.6,,240,45,92,.489,21,43,.488,9,10,.900,10,37,47,30,5,4,16,28,120,,,.622,.603,.467,.109,23.8,82.2,54.0,66.7,4.9,7.3,14.2,100.0,118.6,123.6,
240,42,84,.500,23,47,.489,18,24,.750,6,42,48,24,4,7,15,17,125,,,.661,.637,.560,.286,15.0,80.8,52.2,57.1,3.9,12.7,13.7,100.0,122.8,108.1,,240,42,92,.457,14,37,.378,12,20,.600,10,34,44,22,9,4,12,22,110,,,.546,.533,.402,.217,19.2,85.0,47.8,52.4,8.8,10.8,10.6,100.0,108.1,122.8,
240,37,81,.457,20,48,.417,20,28,.714,13,32,45,23,7,2,15,11,114,,,.611,.580,.593,.346,29.5,72.7,51.1,62.2,7.5,3.6,13.8,100.0,122.6,112.9,,240,42,89,.472,11,33,.333,10,11,.909,12,31,43,19,10,3,13,23,105,,,.559,.534,.371,.124,27.3,70.5,48.9,45.2,10.8,9.1,12.2,100.0,112.9,122.6,
240,41,86,.477,17,42,.405,15,17,.882,10,24,34,27,12,6,15,19,114,,,.610,.576,.488,.198,23.8,55.8,40.0,65.9,12.2,9.5,13.8,100.0,116.2,127.5,,240,49,93,.527,13,30,.433,14,19,.737,19,32,51,33,11,6,20,17,125,,,.617,.597,.323,.204,44.2,76.2,60.0,67.3,11.2,13.6,16.5,100.0,127.5,116.2,
240,43,91,.473,14,42,.333,24,32,.750,9,38,47,31,3,6,11,19,124,,,.590,.549,.462,.352,21.4,79.2,52.2,72.1,2.9,8.7,9.5,100.0,118.6,112.9,,240,49,99,.495,8,30,.267,12,21,.571,10,33,43,30,5,2,9,25,118,,,.545,.535,.303,.212,20.8,78.6,47.8,61.2,4.8,4.1,7.7,100.0,112.9,118.6,
240,41,82,.500,15,40,.375,20,28,.714,5,26,31,21,9,6,15,20,117,,,.620,.591,.488,.341,13.5,81.3,44.9,51.2,8.7,10.3,13.7,100.0,113.3,98.8,,240,40,85,.471,8,27,.296,14,18,.778,6,32,38,27,6,4,21,24,102,,,.549,.518,.318,.212,18.8,86.5,55.1,67.5,5.8,9.5,18.4,100.0,98.8,113.3,
240,40,84,.476,17,41,.415,19,31,.613,6,32,38,25,4,6,16,21,116,,,.594,.577,.488,.369,14.6,68.1,43.2,62.5,3.8,9.5,14.1,100.0,110.4,120.8,,240,49,99,.495,11,36,.306,18,27,.667,15,35,50,27,10,4,12,25,127,,,.573,.551,.364,.273,31.9,85.4,56.8,55.1,9.5,9.3,9.8,100.0,120.8,110.4,
240,51,98,.520,19,42,.452,23,26,.885,15,26,41,30,7,1,9,23,144,,,.658,.617,.429,.265,34.9,57.8,46.6,58.8,7.1,1.6,7.6,100.0,147.0,128.6,,240,43,88,.489,8,27,.296,32,36,.889,19,28,47,21,7,2,14,27,126,,,.607,.534,.307,.409,42.2,65.1,53.4,48.8,7.1,3.6,11.9,100.0,128.6,147.0,
240,50,102,.490,20,53,.377,16,21,.762,8,34,42,29,7,6,6,19,136,,,.611,.588,.520,.206,16.3,72.3,43.8,58.0,6.6,10.7,5.1,100.0,127.8,116.5,,240,47,92,.511,17,36,.472,13,22,.591,13,41,54,31,2,3,18,20,124,,,.610,.603,.391,.239,27.7,83.7,56.3,66.0,1.9,6.1,15.0,100.0,116.5,127.8,
