mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,opp_mp,opp_fg,opp_fga,opp_fg_pct,opp_fg3,opp_fg3a,opp_fg3_pct,opp_ft,opp_fta,opp_ft_pct,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,opp_pts,opp_game_score,opp_plus_minus,opp_ts_pct,opp_efg_pct,opp_fg3a_per_fga_pct,opp_fta_per_fga_pct,opp_orb_pct,opp_drb_pct,opp_trb_pct,opp_ast_pct,opp_stl_pct,opp_blk_pct,opp_tov_pct,opp_usg_pct,opp_off_rtg,opp_def_rtg,opp_bpm
240,41,92,.446,11,32,.344,9,15,.600,17,39,56,28,3,13,17,23,102,,,.517,.505,.348,.163,34.7,70.9,53.8,68.3,3.2,18.6,14.7,100.0,108.3,109.4,,240,37,92,.402,8,22,.364,21,26,.808,16,32,48,22,11,3,7,18,103,,,.498,.446,.239,.283,29.1,65.3,46.2,59.5,11.7,5.0,6.3,100.0,109.4,108.3,
240,40,88,.455,10,30,.333,21,25,.840,12,41,53,28,7,6,24,29,111,,,.561,.511,.341,.284,28.6,78.8,56.4,70.0,6.5,10.0,19.5,100.0,103.5,92.3,,240,33,88,.375,7,28,.250,26,34,.765,11,30,41,20,13,7,18,23,99,,,.481,.415,.318,.386,21.2,71.4,43.6,60.6,12.1,12.1,14.9,100.0,92.3,103.5,
240,45,86,.523,12,28,.429,16,20,.800,15,38,53,29,4,4,17,18,118,,,.622,.593,.326,.233,42.9,74.5,61.6,64.4,4.3,6.2,15.2,100.0,127.7,110.3,,240,39,93,.419,11,28,.393,13,16,.813,13,20,33,16,10,5,8,20,102,,,.510,.478,.301,.172,25.5,57.1,38.4,41.0,10.8,8.6,7.4,100.0,110.3,127.7,
240,39,91,.429,15,28,.536,19,24,.792,13,28,41,31,6,5,17,25,112,,,.551,.511,.308,.264,25.5,82.4,48.2,79.5,5.8,9.3,14.3,100.0,109.1,120.8,,240,44,83,.530,13,29,.448,23,28,.821,6,38,44,21,9,10,15,19,124,,,.650,.608,.349,.337,17.6,74.5,51.8,47.7,8.8,15.9,13.6,100.0,120.8,109.1,
240,40,90,.444,11,29,.379,10,11,.909,6,32,38,24,12,4,18,31,101,,,.532,.506,.322,.122,14.0,82.1,46.3,60.0,11.5,6.6,16.0,100.0,97.2,105.8,,240,38,81,.469,7,20,.350,27,33,.818,7,37,44,23,10,7,17,15,110,,,.576,.512,.247,.407,17.9,86.0,53.7,60.5,9.6,11.5,15.1,100.0,105.8,97.2,
240,41,94,.436,13,38,.342,21,26,.808,19,29,48,30,4,5,16,31,116,,,.550,.505,.404,.277,39.6,80.6,57.1,73.2,4.1,10.4,13.2,100.0,118.7,127.9,,240,39,80,.488,14,32,.438,33,35,.943,7,29,36,27,5,7,12,18,125,,,.655,.575,.400,.438,19.4,60.4,42.9,69.2,5.1,12.5,11.2,100.0,127.9,118.7,
240,43,87,.494,8,23,.348,12,14,.857,10,23,33,25,7,6,16,23,106,,,.569,.540,.264,.161,25.6,62.2,43.4,58.1,7.2,9.2,14.7,100.0,108.9,123.3,,240,43,86,.500,8,21,.381,26,29,.897,14,29,43,29,8,10,18,13,120,,,.608,.547,.244,.337,37.8,74.4,56.6,67.4,8.2,15.6,15.4,100.0,123.3,108.9,
240,38,80,.475,13,30,.433,20,21,.952,7,32,39,23,8,2,16,20,109,,,.611,.556,.375,.263,20.6,65.3,47.0,60.5,8.3,3.6,15.2,100.0,113.2,124.6,,240,46,97,.474,12,41,.293,16,21,.762,17,27,44,26,8,4,11,14,120,,,.565,.536,.423,.216,34.7,79.4,53.0,56.5,8.3,8.0,9.4,100.0,124.6,113.2,
240,48,98,.490,7,29,.241,15,16,.938,11,42,53,28,2,5,19,24,118,,,.562,.526,.296,.163,26.2,89.4,59.6,58.3,1.8,9.4,15.3,100.0,109.0,110.8,,240,41,90,.456,11,37,.297,27,32,.844,5,31,36,19,8,7,10,18,120,,,.576,.517,.411,.356,10.6,73.8,40.4,46.3,7.4,10.1,8.8,100.0,110.8,109.0,
240,40,86,.465,8,28,.286,18,22,.818,11,37,48,28,3,5,17,26,106,,,.554,.512,.326,.256,23.9,77.1,51.1,70.0,3.1,9.1,15.1,100.0,107.8,115.9,,240,35,83,.422,9,28,.321,35,41,.854,11,35,46,23,13,5,9,23,114,,,.564,.476,.337,.494,22.9,76.1,48.9,65.7,13.2,8.6,8.2,100.0,115.9,107.8,
