fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,off_rtg,def_rtg,game_id,Location,Win,opp_fg,opp_fga,opp_fg_pct,opp_fg3,opp_fg3a,opp_fg3_pct,opp_ft,opp_fta,opp_ft_pct,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,opp_pts,opp_ts_pct,opp_efg_pct,opp_fg3a_per_fga_pct,opp_fta_per_fga_pct,opp_orb_pct,opp_drb_pct,opp_trb_pct,opp_ast_pct,opp_stl_pct,opp_blk_pct,opp_tov_pct,opp_off_rtg,opp_def_rtg
36,101,0.356,10,43,0.233,22,28,0.786,18,31,49,19,11,6,11,23,104,0.459,0.406,0.426,0.277,29.5,64.6,45.0,52.8,10.8,9.7,8.8,102.3,106.2,2389064f-fa7d-4b49-a57a-a57efdb9e75b,Home,0,42,95,0.442,11,33,0.333,13,17,0.765,17,43,60,23,5,7,19,22,108,0.527,0.5,0.347,0.179,35.4,70.5,55.0,54.8,4.9,12.1,15.6,106.2,102.3
48,87,0.552,14,32,0.438,12,14,0.857,7,32,39,32,14,3,19,24,122,0.655,0.632,0.368,0.161,18.4,76.2,48.8,66.7,13.3,5.6,16.9,116.2,108.6,0c6d4a41-5d3a-4593-8994-8239b36adfb0,Away,1,41,94,0.436,12,40,0.3,20,29,0.69,10,31,41,24,10,3,14,16,114,0.534,0.5,0.426,0.309,23.8,81.6,51.3,58.5,9.5,5.5,11.6,108.6,116.2
35,81,0.432,18,45,0.4,18,23,0.783,8,41,49,27,6,6,14,18,106,0.582,0.543,0.556,0.284,20.0,80.4,53.8,77.1,6.4,10.5,13.3,113.2,101.5,788b3e98-5e88-4184-97aa-8a8ef3fb8837,Away,1,34,90,0.378,9,33,0.273,18,19,0.947,10,32,42,22,7,4,7,20,95,0.483,0.428,0.367,0.211,19.6,80.0,46.2,64.7,7.5,11.1,6.6,101.5,113.2
51,98,0.52,15,41,0.366,13,20,0.65,21,43,64,28,6,7,15,21,130,0.609,0.597,0.418,0.204,45.7,75.4,62.1,54.9,6.1,13.0,12.3,131.3,103.0,996273bf-5f07-401c-ad9e-73623f349cad,Away,1,38,93,0.409,10,39,0.256,16,26,0.615,14,25,39,23,8,3,11,18,102,0.488,0.462,0.419,0.28,24.6,54.3,37.9,60.5,8.1,5.3,9.5,103.0,131.3
39,81,0.481,11,31,0.355,13,15,0.867,7,29,36,32,5,6,18,17,102,0.582,0.549,0.383,0.185,17.1,67.4,42.9,82.1,5.2,11.3,17.0,106.6,105.5,05c85cff-769d-4601-8188-e8303561a368,Home,1,36,88,0.409,11,35,0.314,18,23,0.783,14,34,48,24,8,4,15,17,101,0.515,0.472,0.398,0.261,32.6,82.9,57.1,66.7,8.4,8.0,13.3,105.5,106.6
49,92,0.533,18,40,0.45,25,30,0.833,13,25,38,36,9,2,15,25,141,0.67,0.63,0.435,0.326,34.2,78.1,54.3,73.5,8.6,3.7,12.5,134.6,132.7,5a672d1a-6173-42da-a0ed-79701a51c3d3,Away,1,50,83,0.602,15,29,0.517,24,30,0.8,7,25,32,26,3,1,19,20,139,0.722,0.693,0.349,0.361,21.9,65.8,45.7,52.0,2.9,1.9,16.5,132.7,134.6
34,94,0.362,16,41,0.39,20,30,0.667,17,27,44,26,10,4,13,18,104,0.485,0.447,0.436,0.319,29.3,67.5,44.9,76.5,10.1,8.7,10.8,105.2,116.3,46d7c295-0ff9-409b-92ca-b7f9aa28553a,Away,0,41,83,0.494,11,37,0.297,22,28,0.786,13,41,54,26,8,2,18,21,115,0.603,0.56,0.446,0.337,32.5,70.7,55.1,63.4,8.1,3.8,15.9,116.3,105.2
46,97,0.474,12,41,0.293,16,21,0.762,17,27,44,26,8,4,11,14,120,0.565,0.536,0.423,0.216,34.7,79.4,53.0,56.5,8.3,8.0,9.4,124.6,113.2,49bef9f3-6062-4017-9830-174085fd6f80,Away,1,38,80,0.475,13,30,0.433,20,21,0.952,7,32,39,23,8,2,16,20,109,0.611,0.556,0.375,0.263,20.6,65.3,47.0,60.5,8.3,3.6,15.2,113.2,124.6
37,86,0.43,11,35,0.314,20,26,0.769,11,38,49,21,5,0,9,20,105,0.539,0.494,0.407,0.302,23.9,79.2,52.1,56.8,5.3,0.0,8.5,111.5,114.7,10bbf762-4b29-4da1-8d65-d3f7d1dcccd6,Away,0,41,92,0.446,11,35,0.314,15,22,0.682,10,35,45,24,7,4,6,20,108,0.531,0.505,0.38,0.239,20.8,76.1,47.9,58.5,7.4,7.8,5.6,114.7,111.5
37,90,0.411,13,38,0.342,23,30,0.767,15,40,55,26,5,3,20,29,110,0.533,0.483,0.422,0.333,30.6,78.4,55.0,70.3,4.8,5.4,16.2,106.0,113.7,40cec5f2-c2fe-45e2-b795-6f569ee03741,Home,0,37,86,0.43,11,30,0.367,33,43,0.767,11,34,45,23,13,3,11,24,118,0.562,0.494,0.349,0.5,21.6,69.4,45.0,62.2,12.5,5.8,9.5,113.7,106.0
