mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,opp_mp,opp_fg,opp_fga,opp_fg_pct,opp_fg3,opp_fg3a,opp_fg3_pct,opp_ft,opp_fta,opp_ft_pct,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,opp_pts,opp_game_score,opp_plus_minus,opp_ts_pct,opp_efg_pct,opp_fg3a_per_fga_pct,opp_fta_per_fga_pct,opp_orb_pct,opp_drb_pct,opp_trb_pct,opp_ast_pct,opp_stl_pct,opp_blk_pct,opp_tov_pct,opp_usg_pct,opp_off_rtg,opp_def_rtg,opp_bpm
240,36,101,.356,10,43,.233,22,28,.786,18,31,49,19,11,6,11,23,104,,,.459,.406,.426,.277,29.5,64.6,45.0,52.8,10.8,9.7,8.8,100.0,102.3,106.2,,240,42,95,.442,11,33,.333,13,17,.765,17,43,60,23,5,7,19,22,108,,,.527,.500,.347,.179,35.4,70.5,55.0,54.8,4.9,12.1,15.6,100.0,106.2,102.3,
240,48,87,.552,14,32,.438,12,14,.857,7,32,39,32,14,3,19,24,122,,,.655,.632,.368,.161,18.4,76.2,48.8,66.7,13.3,5.6,16.9,100.0,116.2,108.6,,240,41,94,.436,12,40,.300,20,29,.690,10,31,41,24,10,3,14,16,114,,,.534,.500,.426,.309,23.8,81.6,51.3,58.5,9.5,5.5,11.6,100.0,108.6,116.2,
240,35,81,.432,18,45,.400,18,23,.783,8,41,49,27,6,6,14,18,106,,,.582,.543,.556,.284,20.0,80.4,53.8,77.1,6.4,10.5,13.3,100.0,113.2,101.5,,240,34,90,.378,9,33,.273,18,19,.947,10,32,42,22,7,4,7,20,95,,,.483,.428,.367,.211,19.6,80.0,46.2,64.7,7.5,11.1,6.6,100.0,101.5,113.2,
240,51,98,.520,15,41,.366,13,20,.650,21,43,64,28,6,7,15,21,130,,,.609,.597,.418,.204,45.7,75.4,62.1,54.9,6.1,13.0,12.3,100.0,131.3,103.0,,240,38,93,.409,10,39,.256,16,26,.615,14,25,39,23,8,3,11,18,102,,,.488,.462,.419,.280,24.6,54.3,37.9,60.5,8.1,5.3,9.5,100.0,103.0,131.3,
240,39,81,.481,11,31,.355,13,15,.867,7,29,36,32,5,6,18,17,102,,,.582,.549,.383,.185,17.1,67.4,42.9,82.1,5.2,11.3,17.0,100.0,106.6,105.5,,240,36,88,.409,11,35,.314,18,23,.783,14,34,48,24,8,4,15,17,101,,,.515,.472,.398,.261,32.6,82.9,57.1,66.7,8.4,8.0,13.3,100.0,105.5,106.6,
240,49,92,.533,18,40,.450,25,30,.833,13,25,38,36,9,2,15,25,141,,,.670,.630,.435,.326,34.2,78.1,54.3,73.5,8.6,3.7,12.5,100.0,134.6,132.7,,240,50,83,.602,15,29,.517,24,30,.800,7,25,32,26,3,1,19,20,139,,,.722,.693,.349,.361,21.9,65.8,45.7,52.0,2.9,1.9,16.5,100.0,132.7,134.6,
240,34,94,.362,16,41,.390,20,30,.667,17,27,44,26,10,4,13,18,104,,,.485,.447,.436,.319,29.3,67.5,44.9,76.5,10.1,8.7,10.8,100.0,105.2,116.3,,240,41,83,.494,11,37,.297,22,28,.786,13,41,54,26,8,2,18,21,115,,,.603,.560,.446,.337,32.5,70.7,55.1,63.4,8.1,3.8,15.9,100.0,116.3,105.2,
240,46,97,.474,12,41,.293,16,21,.762,17,27,44,26,8,4,11,14,120,,,.565,.536,.423,.216,34.7,79.4,53.0,56.5,8.3,8.0,9.4,100.0,124.6,113.2,,240,38,80,.475,13,30,.433,20,21,.952,7,32,39,23,8,2,16,20,109,,,.611,.556,.375,.263,20.6,65.3,47.0,60.5,8.3,3.6,15.2,100.0,113.2,124.6,
240,37,86,.430,11,35,.314,20,26,.769,11,38,49,21,5,0,9,20,105,,,.539,.494,.407,.302,23.9,79.2,52.1,56.8,5.3,0.0,8.5,100.0,111.5,114.7,,240,41,92,.446,11,35,.314,15,22,.682,10,35,45,24,7,4,6,20,108,,,.531,.505,.380,.239,20.8,76.1,47.9,58.5,7.4,7.8,5.6,100.0,114.7,111.5,
240,37,90,.411,13,38,.342,23,30,.767,15,40,55,26,5,3,20,29,110,,,.533,.483,.422,.333,30.6,78.4,55.0,70.3,4.8,5.4,16.2,100.0,106.0,113.7,,240,37,86,.430,11,30,.367,33,43,.767,11,34,45,23,13,3,11,24,118,,,.562,.494,.349,.500,21.6,69.4,45.0,62.2,12.5,5.8,9.5,100.0,113.7,106.0,
