fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,off_rtg,def_rtg,game_id,Location,Win,opp_fg,opp_fga,opp_fg_pct,opp_fg3,opp_fg3a,opp_fg3_pct,opp_ft,opp_fta,opp_ft_pct,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,opp_pts,opp_ts_pct,opp_efg_pct,opp_fg3a_per_fga_pct,opp_fta_per_fga_pct,opp_orb_pct,opp_drb_pct,opp_trb_pct,opp_ast_pct,opp_stl_pct,opp_blk_pct,opp_tov_pct,opp_off_rtg,opp_def_rtg
32,79,0.405,12,34,0.353,10,16,0.625,7,24,31,19,6,3,19,24,86,0.5,0.481,0.43,0.203,14.9,58.5,35.2,59.4,6.3,5.7,18.1,90.4,121.9,18b3adbf-f677-4e93-aed2-5cfed2dec69e,Away,0,42,87,0.483,9,34,0.265,23,26,0.885,17,40,57,19,8,6,16,20,116,0.589,0.534,0.391,0.299,41.5,85.1,64.8,45.2,8.4,13.3,14.0,121.9,90.4
52,100,0.52,8,32,0.25,10,20,0.5,11,32,43,30,7,2,18,26,122,0.561,0.56,0.32,0.2,26.2,72.7,50.0,57.7,6.3,3.8,14.2,110.0,113.6,9582113f-7d0e-4181-ac37-b2d1a8430395,Away,0,46,94,0.489,13,42,0.31,21,28,0.75,12,31,43,32,11,4,18,17,126,0.593,0.559,0.447,0.298,27.3,73.8,50.0,69.6,9.9,5.9,14.5,113.6,110.0
34,90,0.378,9,33,0.273,18,19,0.947,10,32,42,22,7,4,7,20,95,0.483,0.428,0.367,0.211,19.6,80.0,46.2,64.7,7.5,11.1,6.6,101.5,113.2,788b3e98-5e88-4184-97aa-8a8ef3fb8837,Home,0,35,81,0.432,18,45,0.4,18,23,0.783,8,41,49,27,6,6,14,18,106,0.582,0.543,0.556,0.284,20.0,80.4,53.8,77.1,6.4,10.5,13.3,113.2,101.5
44,84,0.524,21,37,0.568,19,23,0.826,7,31,38,35,10,2,17,22,128,0.68,0.649,0.44,0.274,19.4,67.4,46.3,79.5,9.9,3.2,15.3,126.6,117.7,d54e5a84-dc99-4829-9eb7-40c9d2a6f055,Home,1,45,90,0.5,11,27,0.407,18,25,0.72,15,29,44,21,9,8,16,19,119,0.589,0.561,0.3,0.278,32.6,80.6,53.7,46.7,8.9,17.0,13.7,117.7,126.6
40,87,0.46,13,36,0.361,14,20,0.7,10,43,53,28,4,3,11,18,107,0.558,0.534,0.414,0.23,22.2,84.3,55.2,70.0,4.2,7.0,10.3,113.4,94.3,2a775268-1a59-467b-8b4b-164f9c9b74de,Home,1,32,84,0.381,11,41,0.268,14,19,0.737,8,35,43,20,5,6,11,19,89,0.482,0.446,0.488,0.226,15.7,77.8,44.8,62.5,5.3,11.8,10.6,94.3,113.4
43,75,0.573,15,31,0.484,21,27,0.778,5,34,39,28,8,4,11,19,122,0.702,0.673,0.413,0.36,18.5,73.9,53.4,65.1,8.8,9.8,11.2,134.1,106.7,b126ab50-3c15-44e6-a6eb-8f9fcebd6bb0,Home,1,36,81,0.444,14,40,0.35,11,20,0.55,12,22,34,22,5,2,15,22,97,0.54,0.531,0.494,0.247,26.1,81.5,46.6,61.1,5.5,4.5,14.3,106.7,134.1
51,93,0.548,14,33,0.424,12,19,0.632,14,43,57,26,4,4,13,23,128,0.631,0.624,0.355,0.204,32.6,89.6,62.6,51.0,4.1,6.7,11.4,129.9,95.4,61f9ff96-ad85-4599-be7d-7aa2b4db4f39,Home,1,36,85,0.424,7,25,0.28,15,24,0.625,5,29,34,20,7,6,9,18,94,0.492,0.465,0.294,0.282,10.4,67.4,37.4,55.6,7.1,10.0,8.6,95.4,129.9
36,88,0.409,10,35,0.286,22,28,0.786,9,33,42,20,9,5,9,22,104,0.518,0.466,0.398,0.318,18.0,80.5,46.2,55.6,9.2,10.0,8.2,106.0,102.9,f065d227-f9b9-4509-80ff-548df6e038f5,Home,1,34,75,0.453,8,25,0.32,25,34,0.735,8,41,49,12,6,6,18,26,101,0.561,0.507,0.333,0.453,19.5,82.0,53.8,35.3,6.1,11.3,16.7,102.9,106.0
37,87,0.425,10,32,0.313,23,29,0.793,12,33,45,20,7,4,9,16,107,0.536,0.483,0.368,0.333,24.5,73.3,47.9,54.1,7.4,6.8,8.3,113.8,110.6,0d11a809-8b3b-4a5e-a55a-d71190dd87d3,Home,1,42,91,0.462,9,32,0.281,11,14,0.786,12,37,49,24,3,5,11,20,104,0.535,0.511,0.352,0.154,26.7,75.5,52.1,57.1,3.2,9.1,10.2,110.6,113.8
38,88,0.432,10,31,0.323,14,20,0.7,12,35,47,24,6,5,17,28,100,0.517,0.489,0.352,0.227,23.5,81.4,50.0,63.2,6.0,10.2,14.9,100.0,106.0,46db4f7f-9590-4b19-84cf-ad12454c76b0,Away,0,36,83,0.434,13,34,0.382,21,30,0.7,8,39,47,22,10,7,14,19,106,0.551,0.512,0.41,0.361,18.6,76.5,50.0,61.1,10.0,12.3,12.7,106.0,100.0
