mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,opp_mp,opp_fg,opp_fga,opp_fg_pct,opp_fg3,opp_fg3a,opp_fg3_pct,opp_ft,opp_fta,opp_ft_pct,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,opp_pts,opp_game_score,opp_plus_minus,opp_ts_pct,opp_efg_pct,opp_fg3a_per_fga_pct,opp_fta_per_fga_pct,opp_orb_pct,opp_drb_pct,opp_trb_pct,opp_ast_pct,opp_stl_pct,opp_blk_pct,opp_tov_pct,opp_usg_pct,opp_off_rtg,opp_def_rtg,opp_bpm
240,56,107,.523,20,43,.465,11,12,.917,10,41,51,38,10,8,12,23,143,,,.637,.617,.402,.112,22.7,78.8,53.1,67.9,9.0,11.1,9.7,100.0,129.3,108.5,,240,44,96,.458,9,24,.375,23,29,.793,11,34,45,28,6,9,14,11,120,,,.552,.505,.250,.302,21.2,77.3,46.9,63.6,5.4,14.1,11.4,100.0,108.5,129.3,
240,48,98,.490,15,38,.395,14,17,.824,11,37,48,36,3,4,8,20,125,,,.593,.566,.388,.173,25.0,67.3,48.5,75.0,3.1,5.9,7.0,100.0,127.9,115.7,,240,43,99,.434,12,31,.387,15,24,.625,18,33,51,29,2,6,7,16,113,,,.516,.495,.313,.242,32.7,75.0,51.5,67.4,2.0,10.0,6.0,100.0,115.7,127.9,
240,36,88,.409,12,46,.261,21,25,.840,11,36,47,26,7,5,17,24,105,,,.530,.477,.523,.284,24.4,78.3,51.6,72.2,6.9,7.1,14.7,100.0,103.5,110.4,,240,40,87,.460,6,17,.353,26,31,.839,10,34,44,19,8,6,13,17,112,,,.556,.494,.195,.356,21.7,75.6,48.4,47.5,7.9,14.3,11.4,100.0,110.4,103.5,
240,46,101,.455,5,37,.135,7,12,.583,8,23,31,26,6,6,9,20,104,,,.489,.480,.366,.119,14.8,67.6,35.2,56.5,5.7,10.0,7.8,100.0,98.5,146.9,,240,54,95,.568,20,35,.571,27,28,.964,11,46,57,27,5,2,13,19,155,,,.722,.674,.368,.295,32.4,85.2,64.8,50.0,4.7,3.1,10.8,100.0,146.9,98.5,
240,45,86,.523,15,31,.484,16,24,.667,7,33,40,28,7,5,19,18,121,,,.627,.610,.360,.279,18.9,86.8,53.3,62.2,6.7,8.9,16.4,100.0,116.5,111.7,,240,44,84,.524,8,28,.286,20,25,.800,5,30,35,27,10,9,13,20,116,,,.611,.571,.333,.298,13.2,81.1,46.7,61.4,9.6,16.4,12.0,100.0,111.7,116.5,
240,45,93,.484,22,45,.489,12,16,.750,11,25,36,31,7,5,15,18,124,,,.620,.602,.484,.172,27.5,67.6,46.8,68.9,7.1,7.4,13.0,100.0,126.4,127.4,,240,47,88,.534,8,20,.400,23,23,1.000,12,29,41,23,5,10,13,20,125,,,.637,.580,.227,.261,32.4,72.5,53.2,48.9,5.1,20.8,11.7,100.0,127.4,126.4,
240,55,95,.579,20,38,.526,22,23,.957,9,40,49,38,7,4,15,24,152,,,.723,.684,.400,.242,27.3,76.9,57.6,69.1,6.6,5.9,12.5,100.0,143.9,105.1,,240,40,94,.426,8,26,.308,23,30,.767,12,24,36,26,7,5,11,15,111,,,.518,.468,.277,.319,23.1,72.7,42.4,65.0,6.6,8.8,9.3,100.0,105.1,143.9,
240,52,101,.515,13,41,.317,17,20,.850,14,32,46,26,14,7,12,15,134,,,.610,.579,.406,.198,31.1,66.7,49.5,50.0,13.2,10.1,9.9,100.0,126.6,111.5,,240,45,96,.469,11,27,.407,17,18,.944,16,31,47,26,3,5,22,17,118,,,.568,.526,.281,.188,33.3,68.9,50.5,57.8,2.8,8.3,17.5,100.0,111.5,126.6,
240,44,92,.478,20,48,.417,18,20,.900,9,31,40,27,6,6,13,25,126,,,.625,.587,.522,.217,20.0,86.1,49.4,61.4,5.8,10.0,11.4,100.0,121.1,119.2,,240,46,87,.529,9,27,.333,23,26,.885,5,36,41,23,6,5,14,19,124,,,.630,.580,.310,.299,13.9,80.0,50.6,50.0,5.8,11.4,12.5,100.0,119.2,121.1,
240,47,90,.522,16,39,.410,16,19,.842,8,24,32,31,8,9,10,14,126,,,.641,.611,.433,.211,20.5,51.1,37.2,66.0,8.2,12.5,9.2,100.0,128.6,139.8,,240,53,105,.505,14,33,.424,17,20,.850,23,31,54,28,5,7,12,15,137,,,.602,.571,.314,.190,48.9,79.5,62.8,52.8,5.1,13.7,9.5,100.0,139.8,128.6,
240,48,93,.516,13,37,.351,23,33,.697,10,31,41,32,7,5,11,28,132,,,.614,.586,.398,.355,23.3,86.1,51.9,66.7,6.5,7.8,9.3,100.0,122.4,116.9,,240,43,86,.500,6,22,.273,34,35,.971,5,33,38,22,5,3,16,26,126,,,.621,.535,.256,.407,13.9,76.7,48.1,51.2,4.6,5.4,13.6,100.0,116.9,122.4,
240,42,95,.442,8,31,.258,24,31,.774,11,29,40,24,10,7,16,32,116,,,.534,.484,.326,.326,24.4,78.4,48.8,57.1,9.2,10.4,12.8,100.0,106.3,117.3,,240,43,87,.494,7,20,.350,35,42,.833,8,34,42,21,10,10,15,23,128,,,.607,.534,.230,.483,21.6,75.6,51.2,48.8,9.2,15.6,12.5,100.0,117.3,106.3,
240,57,94,.606,22,45,.489,21,28,.750,7,22,29,35,7,11,14,25,157,,,.738,.723,.479,.298,20.6,64.7,42.6,61.4,6.4,17.2,11.6,100.0,144.1,139.5,,240,57,95,.600,15,31,.484,23,28,.821,12,27,39,28,8,4,15,23,152,,,.708,.679,.326,.295,35.3,79.4,57.4,49.1,7.3,8.2,12.3,100.0,139.5,144.1,
240,50,91,.549,18,39,.462,13,16,.813,5,26,31,33,10,6,15,24,131,,,.668,.648,.429,.176,13.2,66.7,40.3,66.0,9.4,9.5,13.3,100.0,123.2,124.1,,240,48,90,.533,11,27,.407,25,30,.833,13,33,46,26,7,3,19,15,132,,,.640,.594,.300,.333,33.3,86.8,59.7,54.2,6.6,5.8,15.5,100.0,124.1,123.2,
240,49,102,.480,16,38,.421,22,24,.917,15,25,40,24,7,8,9,21,136,,,.604,.559,.373,.235,34.1,64.1,48.2,49.0,7.1,11.1,7.4,100.0,138.2,114.8,,240,43,90,.478,7,18,.389,20,24,.833,14,29,43,22,6,11,14,18,113,,,.562,.517,.200,.267,35.9,65.9,51.8,51.2,6.1,17.2,12.2,100.0,114.8,138.2,
240,42,88,.477,8,33,.242,18,24,.750,10,32,42,26,10,6,20,24,110,,,.558,.523,.375,.273,25.6,78.0,52.5,61.9,9.6,9.0,16.9,100.0,105.9,109.7,,240,40,85,.471,9,18,.500,25,31,.806,9,29,38,20,6,4,16,21,114,,,.578,.524,.212,.365,22.0,74.4,47.5,50.0,5.8,7.3,14.0,100.0,109.7,105.9,
