fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,off_rtg,def_rtg,game_id,Location,Win,opp_fg,opp_fga,opp_fg_pct,opp_fg3,opp_fg3a,opp_fg3_pct,opp_ft,opp_fta,opp_ft_pct,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,opp_pts,opp_ts_pct,opp_efg_pct,opp_fg3a_per_fga_pct,opp_fta_per_fga_pct,opp_orb_pct,opp_drb_pct,opp_trb_pct,opp_ast_pct,opp_stl_pct,opp_blk_pct,opp_tov_pct,opp_off_rtg,opp_def_rtg
47,90,0.522,16,34,0.471,13,16,0.813,14,31,45,36,11,7,18,20,123,0.634,0.611,0.378,0.178,35.9,67.4,52.9,76.6,11.1,11.5,15.6,123.9,111.8,6d6bca29-ce0b-41b9-b26c-dd4ba35356a6,Home,1,44,93,0.473,10,32,0.313,13,17,0.765,15,25,40,20,10,4,18,20,111,0.552,0.527,0.344,0.183,32.6,64.1,47.1,45.5,10.1,7.1,15.2,111.8,123.9
41,77,0.532,14,35,0.4,22,28,0.786,6,30,36,17,8,6,16,22,118,0.661,0.623,0.455,0.364,17.6,63.8,44.4,41.5,8.2,10.9,15.2,120.8,122.9,488a4f84-501f-48a4-8c70-35efa101318e,Away,0,42,96,0.438,16,41,0.39,20,22,0.909,17,28,45,27,7,4,14,24,120,0.568,0.521,0.427,0.229,36.2,82.4,55.6,64.3,7.2,9.5,11.7,122.9,120.8
47,91,0.516,16,42,0.381,13,21,0.619,9,39,48,23,15,5,16,16,123,0.614,0.604,0.462,0.231,22.5,86.7,56.5,48.9,14.3,10.6,13.8,117.7,79.4,de48083a-8dd2-4c19-aac4-3a155f0eccc4,Home,1,30,80,0.375,11,33,0.333,12,16,0.75,6,31,37,21,9,6,25,23,83,0.477,0.444,0.413,0.2,13.3,77.5,43.5,70.0,8.6,12.2,22.3,79.4,117.7
44,89,0.494,14,31,0.452,16,23,0.696,9,35,44,29,10,4,16,26,118,0.595,0.573,0.348,0.258,21.4,83.3,52.4,65.9,9.7,7.8,13.9,114.3,98.8,6b450d44-6877-4362-b7c9-6a7ae9c5a0c8,Home,1,38,81,0.469,7,30,0.233,19,33,0.576,7,33,40,23,9,3,16,24,102,0.534,0.512,0.37,0.407,16.7,78.6,47.6,60.5,8.7,5.2,14.3,98.8,114.3
47,99,0.475,14,34,0.412,17,27,0.63,12,34,46,22,12,1,13,31,125,0.564,0.545,0.343,0.273,22.2,79.1,47.4,46.8,11.0,1.7,10.5,114.2,118.7,c3d28db3-68e0-4259-8215-572e8fb6c490,Away,0,46,90,0.511,11,32,0.344,27,36,0.75,9,42,51,28,10,9,14,24,130,0.614,0.572,0.356,0.4,20.9,77.8,52.6,60.9,9.1,13.8,11.7,118.7,114.2
36,73,0.493,11,32,0.344,14,16,0.875,7,24,31,21,8,3,22,15,97,0.606,0.568,0.438,0.219,18.9,57.1,39.2,58.3,8.5,5.3,21.6,103.4,118.4,9fd36cc4-c101-4b47-881a-a209c7cdc76e,Away,0,41,88,0.466,12,31,0.387,17,18,0.944,18,30,48,28,13,1,20,13,111,0.579,0.534,0.352,0.205,42.9,81.1,60.8,68.3,13.9,2.4,17.3,118.4,103.4
36,91,0.396,8,36,0.222,13,13,1.0,11,40,51,22,10,8,16,15,93,0.481,0.44,0.396,0.143,23.9,74.1,51.0,61.1,10.3,15.7,14.2,95.8,103.1,5be00f2a-24ba-4b11-a760-5a119e768281,Away,0,37,92,0.402,15,41,0.366,11,13,0.846,14,35,49,22,10,10,14,14,100,0.512,0.484,0.446,0.141,25.9,76.1,49.0,59.5,10.3,18.2,12.5,103.1,95.8
43,88,0.489,8,27,0.296,32,36,0.889,19,28,47,21,7,2,14,27,126,0.607,0.534,0.307,0.409,42.2,65.1,53.4,48.8,7.1,3.6,11.9,128.6,147.0,a47fd462-fc3e-4199-a149-19b42ea66c9a,Away,0,51,98,0.52,19,42,0.452,23,26,0.885,15,26,41,30,7,1,9,23,144,0.658,0.617,0.429,0.265,34.9,57.8,46.6,58.8,7.1,1.6,7.6,147.0,128.6
37,85,0.435,12,34,0.353,15,23,0.652,8,33,41,26,9,3,16,23,101,0.531,0.506,0.4,0.271,21.1,75.0,50.0,70.3,9.0,6.4,14.4,101.3,105.3,d15831a9-967e-4ce1-ae6b-087b06037f09,Home,0,37,88,0.42,13,41,0.317,18,24,0.75,11,30,41,25,7,6,16,23,105,0.533,0.494,0.466,0.273,25.0,78.9,50.0,67.6,7.0,11.8,14.0,105.3,101.3
37,86,0.43,13,29,0.448,21,24,0.875,14,28,42,21,10,1,11,24,108,0.559,0.506,0.337,0.279,31.8,82.4,53.8,56.8,10.9,2.0,10.2,117.8,121.1,1dcb2c43-376d-48f4-8e86-7ad0f65dc594,Away,0,39,73,0.534,8,23,0.348,25,32,0.781,6,30,36,26,4,2,14,19,111,0.637,0.589,0.315,0.438,17.6,68.2,46.2,66.7,4.4,3.5,13.9,121.1,117.8
