mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,opp_mp,opp_fg,opp_fga,opp_fg_pct,opp_fg3,opp_fg3a,opp_fg3_pct,opp_ft,opp_fta,opp_ft_pct,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,opp_pts,opp_game_score,opp_plus_minus,opp_ts_pct,opp_efg_pct,opp_fg3a_per_fga_pct,opp_fta_per_fga_pct,opp_orb_pct,opp_drb_pct,opp_trb_pct,opp_ast_pct,opp_stl_pct,opp_blk_pct,opp_tov_pct,opp_usg_pct,opp_off_rtg,opp_def_rtg,opp_bpm
240,47,90,.522,16,34,.471,13,16,.813,14,31,45,36,11,7,18,20,123,,,.634,.611,.378,.178,35.9,67.4,52.9,76.6,11.1,11.5,15.6,100.0,123.9,111.8,,240,44,93,.473,10,32,.313,13,17,.765,15,25,40,20,10,4,18,20,111,,,.552,.527,.344,.183,32.6,64.1,47.1,45.5,10.1,7.1,15.2,100.0,111.8,123.9,
240,41,77,.532,14,35,.400,22,28,.786,6,30,36,17,8,6,16,22,118,,,.661,.623,.455,.364,17.6,63.8,44.4,41.5,8.2,10.9,15.2,100.0,120.8,122.9,,240,42,96,.438,16,41,.390,20,22,.909,17,28,45,27,7,4,14,24,120,,,.568,.521,.427,.229,36.2,82.4,55.6,64.3,7.2,9.5,11.7,100.0,122.9,120.8,
240,47,91,.516,16,42,.381,13,21,.619,9,39,48,23,15,5,16,16,123,,,.614,.604,.462,.231,22.5,86.7,56.5,48.9,14.3,10.6,13.8,100.0,117.7,79.4,,240,30,80,.375,11,33,.333,12,16,.750,6,31,37,21,9,6,25,23,83,,,.477,.444,.413,.200,13.3,77.5,43.5,70.0,8.6,12.2,22.3,100.0,79.4,117.7,
240,44,89,.494,14,31,.452,16,23,.696,9,35,44,29,10,4,16,26,118,,,.595,.573,.348,.258,21.4,83.3,52.4,65.9,9.7,7.8,13.9,100.0,114.3,98.8,,240,38,81,.469,7,30,.233,19,33,.576,7,33,40,23,9,3,16,24,102,,,.534,.512,.370,.407,16.7,78.6,47.6,60.5,8.7,5.2,14.3,100.0,98.8,114.3,
265,47,99,.475,14,34,.412,17,27,.630,12,34,46,22,12,1,13,31,125,,,.564,.545,.343,.273,22.2,79.1,47.4,46.8,11.0,1.7,10.5,100.0,114.2,118.7,,265,46,90,.511,11,32,.344,27,36,.750,9,42,51,28,10,9,14,24,130,,,.614,.572,.356,.400,20.9,77.8,52.6,60.9,9.1,13.8,11.7,100.0,118.7,114.2,
240,36,73,.493,11,32,.344,14,16,.875,7,24,31,21,8,3,22,15,97,,,.606,.568,.438,.219,18.9,57.1,39.2,58.3,8.5,5.3,21.6,100.0,103.4,118.4,,240,41,88,.466,12,31,.387,17,18,.944,18,30,48,28,13,1,20,13,111,,,.579,.534,.352,.205,42.9,81.1,60.8,68.3,13.9,2.4,17.3,100.0,118.4,103.4,
240,36,91,.396,8,36,.222,13,13,1.000,11,40,51,22,10,8,16,15,93,,,.481,.440,.396,.143,23.9,74.1,51.0,61.1,10.3,15.7,14.2,100.0,95.8,103.1,,240,37,92,.402,15,41,.366,11,13,.846,14,35,49,22,10,10,14,14,100,,,.512,.484,.446,.141,25.9,76.1,49.0,59.5,10.3,18.2,12.5,100.0,103.1,95.8,
240,43,88,.489,8,27,.296,32,36,.889,19,28,47,21,7,2,14,27,126,,,.607,.534,.307,.409,42.2,65.1,53.4,48.8,7.1,3.6,11.9,100.0,128.6,147.0,,240,51,98,.520,19,42,.452,23,26,.885,15,26,41,30,7,1,9,23,144,,,.658,.617,.429,.265,34.9,57.8,46.6,58.8,7.1,1.6,7.6,100.0,147.0,128.6,
240,37,85,.435,12,34,.353,15,23,.652,8,33,41,26,9,3,16,23,101,,,.531,.506,.400,.271,21.1,75.0,50.0,70.3,9.0,6.4,14.4,100.0,101.3,105.3,,240,37,88,.420,13,41,.317,18,24,.750,11,30,41,25,7,6,16,23,105,,,.533,.494,.466,.273,25.0,78.9,50.0,67.6,7.0,11.8,14.0,100.0,105.3,101.3,
240,37,86,.430,13,29,.448,21,24,.875,14,28,42,21,10,1,11,24,108,,,.559,.506,.337,.279,31.8,82.4,53.8,56.8,10.9,2.0,10.2,100.0,117.8,121.1,,240,39,73,.534,8,23,.348,25,32,.781,6,30,36,26,4,2,14,19,111,,,.637,.589,.315,.438,17.6,68.2,46.2,66.7,4.4,3.5,13.9,100.0,121.1,117.8,
240,36,83,.434,13,34,.382,21,30,.700,8,39,47,22,10,7,14,19,106,,,.551,.512,.410,.361,18.6,76.5,50.0,61.1,10.0,12.3,12.7,100.0,106.0,100.0,,240,38,88,.432,10,31,.323,14,20,.700,12,35,47,24,6,5,17,28,100,,,.517,.489,.352,.227,23.5,81.4,50.0,63.2,6.0,10.2,14.9,100.0,100.0,106.0,
240,45,95,.474,12,36,.333,22,25,.880,10,41,51,30,15,3,7,10,124,,,.585,.537,.379,.263,21.7,75.9,51.0,66.7,15.1,5.8,6.2,100.0,124.7,99.6,,240,39,90,.433,10,38,.263,11,14,.786,13,36,49,23,4,7,16,17,99,,,.515,.489,.422,.156,24.1,78.3,49.0,59.0,4.0,11.9,14.3,100.0,99.6,124.7,
240,39,85,.459,9,28,.321,22,29,.759,11,39,50,29,10,3,16,23,109,,,.557,.512,.329,.341,24.4,79.6,53.2,74.4,9.9,5.7,14.1,100.0,107.6,100.7,,240,35,91,.385,11,38,.289,21,23,.913,10,34,44,26,8,6,14,24,102,,,.504,.445,.418,.253,20.4,75.6,46.8,74.3,7.9,10.5,12.2,100.0,100.7,107.6,
240,42,92,.457,11,37,.297,11,17,.647,8,31,39,27,11,8,11,24,106,,,.533,.516,.402,.185,17.4,72.1,43.8,64.3,11.0,12.5,10.0,100.0,105.5,115.5,,240,43,88,.489,10,24,.417,20,27,.741,12,38,50,26,6,5,15,19,116,,,.581,.545,.273,.307,27.9,82.6,56.2,60.5,6.0,9.1,13.1,100.0,115.5,105.5,
240,38,88,.432,8,29,.276,23,31,.742,17,40,57,25,2,6,13,16,107,,,.526,.477,.330,.352,38.6,80.0,60.6,65.8,2.1,11.3,11.3,100.0,115.0,94.6,,240,34,91,.374,9,38,.237,11,14,.786,10,27,37,17,6,5,9,24,88,,,.453,.423,.418,.154,20.0,61.4,39.4,50.0,6.4,8.5,8.5,100.0,94.6,115.0,
240,35,85,.412,6,20,.300,28,34,.824,16,33,49,18,6,9,13,23,104,,,.520,.447,.235,.400,32.0,64.7,48.5,51.4,6.3,12.9,11.5,100.0,109.2,118.6,,240,44,92,.478,10,22,.455,15,28,.536,18,34,52,28,8,6,11,22,113,,,.542,.533,.239,.304,35.3,68.0,51.5,63.6,8.4,9.2,9.5,100.0,118.6,109.2,
240,50,93,.538,14,28,.500,17,22,.773,8,29,37,28,8,5,7,20,131,,,.638,.613,.301,.237,19.0,69.0,44.0,56.0,8.2,11.1,6.4,100.0,133.7,119.4,,240,40,86,.465,13,41,.317,24,28,.857,13,34,47,22,1,1,14,20,117,,,.595,.541,.477,.326,31.0,81.0,56.0,55.0,1.0,1.5,12.5,100.0,119.4,133.7,
240,42,95,.442,12,32,.375,18,24,.750,15,28,43,26,5,1,6,21,114,,,.540,.505,.337,.253,28.8,73.7,47.8,61.9,5.4,2.3,5.4,100.0,122.5,129.0,,240,41,82,.500,15,39,.385,23,31,.742,10,37,47,30,3,4,9,18,120,,,.627,.591,.476,.378,26.3,71.2,52.2,73.2,3.2,6.3,8.6,100.0,129.0,122.5,
240,44,90,.489,13,39,.333,12,14,.857,5,35,40,31,5,6,11,21,113,,,.588,.561,.433,.156,12.2,85.4,48.8,70.5,4.9,14.0,10.3,100.0,111.0,110.0,,240,38,86,.442,17,43,.395,19,24,.792,6,36,42,31,5,4,15,15,112,,,.580,.541,.500,.279,14.6,87.8,51.2,81.6,4.9,7.8,13.4,100.0,110.0,111.0,
240,40,87,.460,12,27,.444,19,25,.760,13,38,51,21,7,9,11,14,111,,,.566,.529,.310,.287,28.9,73.1,52.6,52.5,7.4,13.4,10.1,100.0,117.1,107.6,,240,41,98,.418,12,31,.387,8,9,.889,14,32,46,29,7,5,11,20,102,,,.500,.480,.316,.092,26.9,71.1,47.4,70.7,7.4,8.3,9.7,100.0,107.6,117.1,
