fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,off_rtg,def_rtg,Location,Opponent,opp_fg,opp_fga,opp_fg_pct,opp_fg3,opp_fg3a,opp_fg3_pct,opp_ft,opp_fta,opp_ft_pct,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,opp_pts,opp_ts_pct,opp_efg_pct,opp_fg3a_per_fga_pct,opp_fta_per_fga_pct,opp_orb_pct,opp_drb_pct,opp_trb_pct,opp_ast_pct,opp_stl_pct,opp_blk_pct,opp_tov_pct,opp_off_rtg,opp_def_rtg,opp_Opponent
38,91,0.418,12,43,0.279,16,20,0.8,8,29,37,23,8,7,13,19,104,0.521,0.484,0.473,0.22,16.3,72.5,41.6,60.5,7.8,13.2,11.5,101.8,108.7,Home,NOP,40,85,0.471,14,32,0.438,17,22,0.773,11,41,52,22,8,5,21,21,111,0.586,0.553,0.376,0.259,27.5,83.7,58.4,55.0,7.8,10.4,18.2,108.7,101.8,MEM
37,85,0.435,10,33,0.303,20,24,0.833,13,35,48,22,13,7,21,23,104,0.544,0.494,0.388,0.282,27.7,85.4,54.5,59.5,12.5,13.7,18.0,99.9,103.7,Home,DEN,41,88,0.466,14,37,0.378,12,18,0.667,6,34,40,27,11,10,19,18,108,0.563,0.545,0.42,0.205,14.6,72.3,45.5,65.9,10.6,19.2,16.5,103.7,99.9,MEM
39,91,0.429,19,47,0.404,9,9,1.0,6,39,45,27,7,8,18,21,106,0.558,0.533,0.516,0.099,15.0,78.0,50.0,69.2,6.8,17.0,15.9,103.1,109.9,Away,WAS,40,93,0.43,16,46,0.348,17,22,0.773,11,34,45,24,9,5,12,15,113,0.55,0.516,0.495,0.237,22.0,85.0,50.0,60.0,8.8,11.4,10.5,109.9,103.1,MEM
42,92,0.457,14,37,0.378,12,20,0.6,10,34,44,22,9,4,12,22,110,0.546,0.533,0.402,0.217,19.2,85.0,47.8,52.4,8.8,10.8,10.6,108.1,122.8,Home,DAL,42,84,0.5,23,47,0.489,18,24,0.75,6,42,48,24,4,7,15,17,125,0.661,0.637,0.56,0.286,15.0,80.8,52.2,57.1,3.9,12.7,13.7,122.8,108.1,MEM
35,96,0.365,14,54,0.259,25,32,0.781,14,28,42,25,12,7,16,22,109,0.495,0.438,0.563,0.333,25.9,73.7,45.7,71.4,11.2,15.9,12.7,101.8,124.2,Away,UTA,47,87,0.54,22,43,0.512,17,24,0.708,10,40,50,35,7,3,21,22,133,0.682,0.667,0.494,0.276,26.3,74.1,54.3,74.5,6.5,7.1,17.7,124.2,101.8,MEM
47,96,0.49,10,35,0.286,9,13,0.692,7,41,48,29,8,10,17,25,113,0.555,0.542,0.365,0.135,16.7,73.2,49.0,61.7,7.4,15.6,14.3,103.9,105.7,Away,POR,39,96,0.406,9,32,0.281,28,36,0.778,15,35,50,19,12,7,14,15,115,0.514,0.453,0.333,0.375,26.8,83.3,51.0,48.7,11.0,11.5,11.1,105.7,103.9,MEM
45,89,0.506,13,32,0.406,9,13,0.692,10,39,49,27,6,7,17,18,112,0.591,0.579,0.36,0.146,24.4,70.9,51.0,60.0,6.1,14.0,15.2,113.9,101.7,Away,POR,37,95,0.389,14,45,0.311,12,15,0.8,16,31,47,23,11,5,14,21,100,0.492,0.463,0.474,0.158,29.1,75.6,49.0,62.2,11.2,8.8,12.1,101.7,113.9,MEM
35,90,0.389,11,37,0.297,21,28,0.75,13,25,38,20,10,4,14,27,102,0.498,0.45,0.411,0.311,27.1,73.5,46.3,57.1,10.2,8.2,12.0,104.0,110.1,Home,MIA,35,77,0.455,11,28,0.393,27,32,0.844,9,35,44,22,9,8,19,24,108,0.593,0.526,0.364,0.416,26.5,72.9,53.7,62.9,9.2,15.1,17.3,110.1,104.0,MEM
46,101,0.455,19,48,0.396,10,13,0.769,14,23,37,23,5,5,11,23,121,0.567,0.55,0.475,0.129,31.8,74.2,49.3,50.0,5.1,12.8,9.3,122.6,128.7,Home,UTA,41,76,0.539,18,37,0.486,27,29,0.931,8,30,38,28,10,12,21,17,127,0.715,0.658,0.487,0.382,25.8,68.2,50.7,68.3,10.1,22.6,19.1,128.7,122.6,MEM
37,88,0.42,13,41,0.317,18,24,0.75,11,30,41,25,7,6,16,23,105,0.533,0.494,0.466,0.273,25.0,78.9,50.0,67.6,7.0,11.8,14.0,105.3,101.3,Away,LAC,37,85,0.435,12,34,0.353,15,23,0.652,8,33,41,26,9,3,16,23,101,0.531,0.506,0.4,0.271,21.1,75.0,50.0,70.3,9.0,6.4,14.4,101.3,105.3,MEM
