fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,off_rtg,def_rtg,game_id,Location,Win,opp_fg,opp_fga,opp_fg_pct,opp_fg3,opp_fg3a,opp_fg3_pct,opp_ft,opp_fta,opp_ft_pct,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,opp_pts,opp_ts_pct,opp_efg_pct,opp_fg3a_per_fga_pct,opp_fta_per_fga_pct,opp_orb_pct,opp_drb_pct,opp_trb_pct,opp_ast_pct,opp_stl_pct,opp_blk_pct,opp_tov_pct,opp_off_rtg,opp_def_rtg
41,81,0.506,11,30,0.367,25,36,0.694,8,35,43,20,9,4,14,23,118,0.609,0.574,0.37,0.444,18.6,89.7,52.4,48.8,8.9,8.9,12.6,116.1,115.1,113df98a-698a-419b-8587-797fd4dd208e,Home,1,41,80,0.513,16,35,0.457,19,28,0.679,4,35,39,25,8,4,15,28,117,0.634,0.613,0.438,0.35,10.3,81.4,47.6,61.0,7.9,7.8,14.0,115.1,116.1
39,86,0.453,16,44,0.364,16,20,0.8,12,27,39,22,10,3,23,22,110,0.58,0.547,0.512,0.233,26.7,67.5,45.9,56.4,9.7,5.4,19.5,106.6,123.1,2c77f85c-6ab1-48f2-9c52-d17c035f444a,Home,0,47,93,0.505,15,37,0.405,18,22,0.818,13,33,46,32,15,2,17,17,127,0.618,0.586,0.398,0.237,32.5,73.3,54.1,68.1,14.5,4.8,14.2,123.1,106.6
44,87,0.506,12,37,0.324,22,30,0.733,9,34,43,24,8,5,15,23,122,0.609,0.575,0.425,0.345,21.4,82.9,51.8,54.5,7.8,9.6,13.0,119.1,111.3,7b007e45-decc-4f5e-8484-3d0dd66058d2,Home,1,41,86,0.477,13,34,0.382,19,20,0.95,7,33,40,27,7,2,15,20,114,0.601,0.552,0.395,0.233,17.1,78.6,48.2,65.9,6.8,4.0,13.7,111.3,119.1
35,76,0.461,13,34,0.382,28,38,0.737,7,22,29,19,9,2,12,17,111,0.599,0.546,0.447,0.5,16.7,59.5,36.7,54.3,9.3,3.8,11.5,114.9,134.6,6285a50f-ba78-4202-a52e-6d2b8b0df0fd,Away,0,51,91,0.56,15,38,0.395,13,14,0.929,15,35,50,35,7,6,18,25,130,0.669,0.643,0.418,0.154,40.5,83.3,63.3,68.6,7.2,14.3,15.6,134.6,114.9
35,82,0.427,20,39,0.513,20,28,0.714,7,34,41,24,6,11,14,16,110,0.583,0.549,0.476,0.341,14.9,68.0,42.3,68.6,6.1,19.3,12.9,111.8,106.7,f3b8bdd1-bcc5-40ed-8b9c-0e5afb141ef4,Home,1,38,96,0.396,10,39,0.256,19,25,0.76,16,40,56,18,6,1,11,22,105,0.491,0.448,0.406,0.26,32.0,85.1,57.7,47.4,6.1,2.3,9.3,106.7,111.8
46,96,0.479,16,48,0.333,21,24,0.875,12,36,48,26,6,2,10,13,129,0.605,0.563,0.5,0.25,25.5,76.6,51.1,56.5,5.9,3.6,8.6,127.0,123.1,85d9dc52-a000-43ce-a407-b021b04380e7,Away,1,49,101,0.485,16,45,0.356,11,13,0.846,11,35,46,22,2,4,8,16,125,0.586,0.564,0.446,0.129,23.4,74.5,48.9,44.9,2.0,8.3,7.0,123.1,127.0
41,90,0.456,11,37,0.297,27,32,0.844,5,31,36,19,8,7,10,18,120,0.576,0.517,0.411,0.356,10.6,73.8,40.4,46.3,7.4,10.1,8.8,110.8,109.0,bb8285c9-3a8a-4f96-961f-9ce06cd7ab09,Home,1,48,98,0.49,7,29,0.241,15,16,0.938,11,42,53,28,2,5,19,24,118,0.562,0.526,0.296,0.163,26.2,89.4,59.6,58.3,1.8,9.4,15.3,109.0,110.8
46,87,0.529,9,27,0.333,23,26,0.885,5,36,41,23,6,5,14,19,124,0.63,0.58,0.31,0.299,13.9,80.0,50.6,50.0,5.8,11.4,12.5,119.2,121.1,58527077-9e62-49e8-99f7-5f118336753f,Away,0,44,92,0.478,20,48,0.417,18,20,0.9,9,31,40,27,6,6,13,25,126,0.625,0.587,0.522,0.217,20.0,86.1,49.4,61.4,5.8,10.0,11.4,121.1,119.2
38,77,0.494,9,29,0.31,12,25,0.48,5,31,36,25,9,6,19,24,97,0.551,0.552,0.377,0.325,15.2,67.4,45.6,65.8,9.1,10.3,17.8,98.5,113.7,a876516c-6709-48f2-9f7e-4167cd50cd69,Away,0,36,84,0.429,10,26,0.385,30,35,0.857,15,28,43,24,9,2,16,17,112,0.563,0.488,0.31,0.417,32.6,84.8,54.4,66.7,9.1,4.2,13.9,113.7,98.5
42,89,0.472,15,47,0.319,19,27,0.704,13,40,53,23,3,5,17,23,118,0.585,0.556,0.528,0.303,31.0,69.0,53.0,54.8,3.0,8.6,14.4,119.8,110.6,0e91fec9-5e7e-4c1f-b64d-c8826ce3894f,Home,1,38,100,0.38,14,42,0.333,19,21,0.905,18,29,47,24,9,7,8,25,109,0.499,0.45,0.42,0.21,31.0,69.0,47.0,63.2,9.1,16.7,6.8,110.6,119.8
