fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,off_rtg,def_rtg,Location,Opponent,opp_fg,opp_fga,opp_fg_pct,opp_fg3,opp_fg3a,opp_fg3_pct,opp_ft,opp_fta,opp_ft_pct,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,opp_pts,opp_ts_pct,opp_efg_pct,opp_fg3a_per_fga_pct,opp_fta_per_fga_pct,opp_orb_pct,opp_drb_pct,opp_trb_pct,opp_ast_pct,opp_stl_pct,opp_blk_pct,opp_tov_pct,opp_off_rtg,opp_def_rtg,opp_Opponent
34,100,0.34,8,31,0.258,18,22,0.818,16,46,62,20,8,9,14,14,94,0.429,0.38,0.31,0.22,29.1,85.2,56.9,58.8,7.8,16.4,11.3,92.1,95.1,Away,TOR,36,90,0.4,14,35,0.4,11,16,0.688,8,39,47,27,9,11,14,18,97,0.5,0.478,0.389,0.178,14.8,70.9,43.1,75.0,8.8,15.9,12.6,95.1,92.1,MIN
44,86,0.512,12,34,0.353,6,8,0.75,7,40,47,30,9,3,16,17,106,0.592,0.581,0.395,0.093,17.5,81.6,52.8,68.2,9.2,6.1,15.2,108.9,92.4,Home,MIA,35,87,0.402,12,38,0.316,8,14,0.571,9,33,42,24,6,1,15,12,90,0.483,0.471,0.437,0.161,18.4,82.5,47.2,68.6,6.2,1.9,13.9,92.4,108.9,MIN
44,90,0.489,16,33,0.485,9,15,0.6,10,28,38,24,5,5,14,17,113,0.585,0.578,0.367,0.167,23.8,87.5,51.4,54.5,5.1,8.9,12.7,114.5,128.7,Away,ATL,48,86,0.558,14,30,0.467,17,18,0.944,4,32,36,28,6,7,11,12,127,0.676,0.64,0.349,0.209,12.5,76.2,48.6,58.3,6.1,12.3,10.5,128.7,114.5,MIN
38,83,0.458,8,21,0.381,26,27,0.963,8,39,47,20,9,5,14,15,110,0.58,0.506,0.253,0.325,20.5,76.5,52.2,52.6,9.0,7.9,12.9,110.4,89.3,Home,DEN,38,96,0.396,6,33,0.182,7,10,0.7,12,31,43,23,6,10,16,22,89,0.443,0.427,0.344,0.104,23.5,79.5,47.8,60.5,6.0,16.1,13.7,89.3,110.4,MIN
45,81,0.556,9,24,0.375,24,31,0.774,9,34,43,25,10,11,11,23,123,0.65,0.611,0.296,0.383,29.0,66.7,52.4,55.6,10.6,22.9,10.4,130.1,100.5,Home,UTA,35,91,0.385,12,43,0.279,13,17,0.765,17,22,39,20,3,7,18,20,95,0.482,0.451,0.473,0.187,33.3,71.0,47.6,57.1,3.2,12.3,15.5,100.5,130.1,MIN
44,85,0.518,13,37,0.351,13,25,0.52,6,39,45,26,7,5,24,26,114,0.594,0.594,0.435,0.294,15.0,78.0,50.0,59.1,6.3,9.4,20.0,102.3,97.8,Home,BOS,36,92,0.391,11,39,0.282,26,34,0.765,11,34,45,20,13,2,18,26,109,0.51,0.451,0.424,0.37,22.0,85.0,50.0,55.6,11.7,4.2,14.4,97.8,102.3,MIN
45,82,0.549,15,37,0.405,17,24,0.708,8,40,48,30,9,7,18,23,122,0.659,0.64,0.451,0.293,21.6,78.4,54.5,66.7,8.7,10.8,16.3,118.1,97.7,Home,NOP,36,93,0.387,8,28,0.286,21,22,0.955,11,29,40,23,6,1,17,23,101,0.492,0.43,0.301,0.237,21.6,78.4,45.5,63.9,5.8,2.2,14.2,97.7,118.1,MIN
43,87,0.494,10,27,0.37,21,27,0.778,13,38,51,23,6,4,18,19,117,0.592,0.552,0.31,0.31,29.5,84.4,57.3,53.5,5.8,6.9,15.4,112.9,106.1,Away,SAS,43,92,0.467,12,34,0.353,12,19,0.632,7,31,38,29,9,8,14,21,110,0.548,0.533,0.37,0.207,15.6,70.5,42.7,67.4,8.7,13.3,12.2,106.1,112.9,MIN
43,82,0.524,9,27,0.333,21,30,0.7,9,38,47,27,8,6,14,19,116,0.609,0.579,0.329,0.366,22.0,66.7,48.0,62.8,8.0,11.3,12.8,116.6,110.6,Away,GSW,37,96,0.385,12,43,0.279,24,28,0.857,19,32,51,24,9,0,14,28,110,0.508,0.448,0.448,0.292,33.3,78.0,52.0,64.9,9.0,0.0,11.4,110.6,116.6,MIN
36,81,0.444,14,34,0.412,18,21,0.857,9,33,42,24,9,5,20,19,104,0.576,0.531,0.42,0.259,21.4,71.7,47.7,66.7,9.1,10.2,18.1,105.0,102.0,Away,GSW,37,88,0.42,13,39,0.333,14,16,0.875,13,33,46,28,11,2,20,22,101,0.531,0.494,0.443,0.182,28.3,78.6,52.3,75.7,11.1,4.3,17.4,102.0,105.0,MIN
