mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,opp_mp,opp_fg,opp_fga,opp_fg_pct,opp_fg3,opp_fg3a,opp_fg3_pct,opp_ft,opp_fta,opp_ft_pct,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,opp_pts,opp_game_score,opp_plus_minus,opp_ts_pct,opp_efg_pct,opp_fg3a_per_fga_pct,opp_fta_per_fga_pct,opp_orb_pct,opp_drb_pct,opp_trb_pct,opp_ast_pct,opp_stl_pct,opp_blk_pct,opp_tov_pct,opp_usg_pct,opp_off_rtg,opp_def_rtg,opp_bpm
240,34,100,.340,8,31,.258,18,22,.818,16,46,62,20,8,9,14,14,94,,,.429,.380,.310,.220,29.1,85.2,56.9,58.8,7.8,16.4,11.3,100.0,92.1,95.1,,240,36,90,.400,14,35,.400,11,16,.688,8,39,47,27,9,11,14,18,97,,,.500,.478,.389,.178,14.8,70.9,43.1,75.0,8.8,15.9,12.6,100.0,95.1,92.1,
240,44,86,.512,12,34,.353,6,8,.750,7,40,47,30,9,3,16,17,106,,,.592,.581,.395,.093,17.5,81.6,52.8,68.2,9.2,6.1,15.2,100.0,108.9,92.4,,240,35,87,.402,12,38,.316,8,14,.571,9,33,42,24,6,1,15,12,90,,,.483,.471,.437,.161,18.4,82.5,47.2,68.6,6.2,1.9,13.9,100.0,92.4,108.9,
240,44,90,.489,16,33,.485,9,15,.600,10,28,38,24,5,5,14,17,113,,,.585,.578,.367,.167,23.8,87.5,51.4,54.5,5.1,8.9,12.7,100.0,114.5,128.7,,240,48,86,.558,14,30,.467,17,18,.944,4,32,36,28,6,7,11,12,127,,,.676,.640,.349,.209,12.5,76.2,48.6,58.3,6.1,12.3,10.5,100.0,128.7,114.5,
240,38,83,.458,8,21,.381,26,27,.963,8,39,47,20,9,5,14,15,110,,,.580,.506,.253,.325,20.5,76.5,52.2,52.6,9.0,7.9,12.9,100.0,110.4,89.3,,240,38,96,.396,6,33,.182,7,10,.700,12,31,43,23,6,10,16,22,89,,,.443,.427,.344,.104,23.5,79.5,47.8,60.5,6.0,16.1,13.7,100.0,89.3,110.4,
240,45,81,.556,9,24,.375,24,31,.774,9,34,43,25,10,11,11,23,123,,,.650,.611,.296,.383,29.0,66.7,52.4,55.6,10.6,22.9,10.4,100.0,130.1,100.5,,240,35,91,.385,12,43,.279,13,17,.765,17,22,39,20,3,7,18,20,95,,,.482,.451,.473,.187,33.3,71.0,47.6,57.1,3.2,12.3,15.5,100.0,100.5,130.1,
265,44,85,.518,13,37,.351,13,25,.520,6,39,45,26,7,5,24,26,114,,,.594,.594,.435,.294,15.0,78.0,50.0,59.1,6.3,9.4,20.0,100.0,102.3,97.8,,265,36,92,.391,11,39,.282,26,34,.765,11,34,45,20,13,2,18,26,109,,,.510,.451,.424,.370,22.0,85.0,50.0,55.6,11.7,4.2,14.4,100.0,97.8,102.3,
240,45,82,.549,15,37,.405,17,24,.708,8,40,48,30,9,7,18,23,122,,,.659,.640,.451,.293,21.6,78.4,54.5,66.7,8.7,10.8,16.3,100.0,118.1,97.7,,240,36,93,.387,8,28,.286,21,22,.955,11,29,40,23,6,1,17,23,101,,,.492,.430,.301,.237,21.6,78.4,45.5,63.9,5.8,2.2,14.2,100.0,97.7,118.1,
240,43,87,.494,10,27,.370,21,27,.778,13,38,51,23,6,4,18,19,117,,,.592,.552,.310,.310,29.5,84.4,57.3,53.5,5.8,6.9,15.4,100.0,112.9,106.1,,240,43,92,.467,12,34,.353,12,19,.632,7,31,38,29,9,8,14,21,110,,,.548,.533,.370,.207,15.6,70.5,42.7,67.4,8.7,13.3,12.2,100.0,106.1,112.9,
240,43,82,.524,9,27,.333,21,30,.700,9,38,47,27,8,6,14,19,116,,,.609,.579,.329,.366,22.0,66.7,48.0,62.8,8.0,11.3,12.8,100.0,116.6,110.6,,240,37,96,.385,12,43,.279,24,28,.857,19,32,51,24,9,0,14,28,110,,,.508,.448,.448,.292,33.3,78.0,52.0,64.9,9.0,0.0,11.4,100.0,110.6,116.6,
240,36,81,.444,14,34,.412,18,21,.857,9,33,42,24,9,5,20,19,104,,,.576,.531,.420,.259,21.4,71.7,47.7,66.7,9.1,10.2,18.1,100.0,105.0,102.0,,240,37,88,.420,13,39,.333,14,16,.875,13,33,46,28,11,2,20,22,101,,,.531,.494,.443,.182,28.3,78.6,52.3,75.7,11.1,4.3,17.4,100.0,102.0,105.0,
