fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,off_rtg,def_rtg,Location,Opponent,opp_fg,opp_fga,opp_fg_pct,opp_fg3,opp_fg3a,opp_fg3_pct,opp_ft,opp_fta,opp_ft_pct,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,opp_pts,opp_ts_pct,opp_efg_pct,opp_fg3a_per_fga_pct,opp_fta_per_fga_pct,opp_orb_pct,opp_drb_pct,opp_trb_pct,opp_ast_pct,opp_stl_pct,opp_blk_pct,opp_tov_pct,opp_off_rtg,opp_def_rtg,opp_Opponent
40,85,0.471,14,32,0.438,17,22,0.773,11,41,52,22,8,5,21,21,111,0.586,0.553,0.376,0.259,27.5,83.7,58.4,55.0,7.8,10.4,18.2,108.7,101.8,Away,MEM,38,91,0.418,12,43,0.279,16,20,0.8,8,29,37,23,8,7,13,19,104,0.521,0.484,0.473,0.22,16.3,72.5,41.6,60.5,7.8,13.2,11.5,101.8,108.7,NOP
40,87,0.46,9,33,0.273,7,16,0.438,4,39,43,20,8,5,13,22,96,0.51,0.511,0.379,0.184,8.5,70.9,42.2,50.0,8.0,9.4,12.1,95.7,86.7,Home,NYK,33,90,0.367,7,37,0.189,14,18,0.778,16,43,59,19,7,3,19,17,87,0.444,0.406,0.411,0.2,29.1,91.5,57.8,57.6,7.0,5.6,16.3,86.7,95.7,NOP
38,93,0.409,10,39,0.256,16,26,0.615,14,25,39,23,8,3,11,18,102,0.488,0.462,0.419,0.28,24.6,54.3,37.9,60.5,8.1,5.3,9.5,103.0,131.3,Home,GSW,51,98,0.52,15,41,0.366,13,20,0.65,21,43,64,28,6,7,15,21,130,0.609,0.597,0.418,0.204,45.7,75.4,62.1,54.9,6.1,13.0,12.3,131.3,103.0,NOP
40,102,0.392,13,42,0.31,17,29,0.586,22,36,58,23,8,5,11,20,110,0.479,0.456,0.412,0.284,33.8,85.7,54.2,57.5,7.7,9.3,8.7,106.0,102.2,Away,OKC,38,88,0.432,7,34,0.206,23,25,0.92,6,43,49,23,6,5,15,24,106,0.535,0.472,0.386,0.284,14.3,66.2,45.8,60.5,5.8,8.3,13.2,102.2,106.0,NOP
39,80,0.488,14,32,0.438,33,35,0.943,7,29,36,27,5,7,12,18,125,0.655,0.575,0.4,0.438,19.4,60.4,42.9,69.2,5.1,12.5,11.2,127.9,118.7,Home,DET,41,94,0.436,13,38,0.342,21,26,0.808,19,29,48,30,4,5,16,31,116,0.55,0.505,0.404,0.277,39.6,80.6,57.1,73.2,4.1,10.4,13.2,118.7,127.9,NOP
40,84,0.476,8,31,0.258,17,21,0.81,9,26,35,24,9,7,11,15,105,0.563,0.524,0.369,0.25,21.4,57.8,40.2,60.0,9.6,13.5,10.6,112.2,131.4,Home,ATL,45,93,0.484,14,41,0.341,19,24,0.792,19,33,52,28,4,6,13,16,123,0.594,0.559,0.441,0.258,42.2,78.6,59.8,62.2,4.3,11.3,11.2,131.4,112.2,NOP
45,90,0.5,13,30,0.433,13,15,0.867,8,30,38,24,6,2,13,18,116,0.6,0.572,0.333,0.167,19.0,73.2,45.8,53.3,6.0,3.6,11.9,115.2,133.1,Away,DEN,51,95,0.537,15,39,0.385,17,23,0.739,11,34,45,37,6,5,10,16,134,0.637,0.616,0.411,0.242,26.8,81.0,54.2,72.5,6.0,8.3,8.7,133.1,115.2,NOP
36,93,0.387,8,28,0.286,21,22,0.955,11,29,40,23,6,1,17,23,101,0.492,0.43,0.301,0.237,21.6,78.4,45.5,63.9,5.8,2.2,14.2,97.7,118.1,Away,MIN,45,82,0.549,15,37,0.405,17,24,0.708,8,40,48,30,9,7,18,23,122,0.659,0.64,0.451,0.293,21.6,78.4,54.5,66.7,8.7,10.8,16.3,118.1,97.7,NOP
34,75,0.453,8,25,0.32,25,34,0.735,8,41,49,12,6,6,18,26,101,0.561,0.507,0.333,0.453,19.5,82.0,53.8,35.3,6.1,11.3,16.7,102.9,106.0,Away,HOU,36,88,0.409,10,35,0.286,22,28,0.786,9,33,42,20,9,5,9,22,104,0.518,0.466,0.398,0.318,18.0,80.5,46.2,55.6,9.2,10.0,8.2,106.0,102.9,NOP
47,92,0.511,17,36,0.472,13,22,0.591,13,41,54,31,2,3,18,20,124,0.61,0.603,0.391,0.239,27.7,83.7,56.3,66.0,1.9,6.1,15.0,116.5,127.8,Home,DAL,50,102,0.49,20,53,0.377,16,21,0.762,8,34,42,29,7,6,6,19,136,0.611,0.588,0.52,0.206,16.3,72.3,43.8,58.0,6.6,10.7,5.1,127.8,116.5,NOP
