fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,off_rtg,def_rtg,Location,Opponent,opp_fg,opp_fga,opp_fg_pct,opp_fg3,opp_fg3a,opp_fg3_pct,opp_ft,opp_fta,opp_ft_pct,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,opp_pts,opp_ts_pct,opp_efg_pct,opp_fg3a_per_fga_pct,opp_fta_per_fga_pct,opp_orb_pct,opp_drb_pct,opp_trb_pct,opp_ast_pct,opp_stl_pct,opp_blk_pct,opp_tov_pct,opp_off_rtg,opp_def_rtg,opp_Opponent
36,97,0.371,18,41,0.439,14,26,0.538,17,30,47,24,9,0,11,22,104,0.48,0.464,0.423,0.268,30.4,81.1,50.5,66.7,9.4,0.0,9.2,109.0,113.2,Home,BOS,37,77,0.481,12,39,0.308,22,26,0.846,7,39,46,18,6,11,13,22,108,0.611,0.558,0.506,0.338,18.9,69.6,49.5,48.6,6.3,19.6,12.8,113.2,109.0,NYK
43,90,0.478,20,44,0.455,20,28,0.714,12,33,45,30,9,6,16,21,126,0.616,0.589,0.489,0.311,25.5,78.6,50.6,69.8,8.7,10.9,13.5,121.7,115.9,Away,ATL,42,87,0.483,12,32,0.375,24,30,0.8,9,35,44,28,7,6,14,20,120,0.599,0.552,0.368,0.345,21.4,74.5,49.4,66.7,6.8,13.0,12.3,115.9,121.7,NYK
33,90,0.367,7,37,0.189,14,18,0.778,16,43,59,19,7,3,19,17,87,0.444,0.406,0.411,0.2,29.1,91.5,57.8,57.6,7.0,5.6,16.3,86.7,95.7,Away,NOP,40,87,0.46,9,33,0.273,7,16,0.438,4,39,43,20,8,5,13,22,96,0.51,0.511,0.379,0.184,8.5,70.9,42.2,50.0,8.0,9.4,12.1,95.7,86.7,NYK
38,86,0.442,13,34,0.382,20,25,0.8,12,36,48,18,9,1,14,17,109,0.562,0.517,0.395,0.291,27.3,72.0,51.1,47.4,9.4,1.9,12.6,114.1,95.3,Away,CLE,36,92,0.391,10,38,0.263,9,12,0.75,14,32,46,19,6,6,15,19,91,0.468,0.446,0.413,0.13,28.0,72.7,48.9,52.8,6.3,11.5,13.4,95.3,114.1,NYK
32,92,0.348,5,30,0.167,20,30,0.667,16,34,50,18,10,3,14,16,89,0.423,0.375,0.326,0.326,28.6,85.0,52.1,56.3,10.4,7.1,11.7,92.3,98.5,Home,CLE,32,74,0.432,12,32,0.375,19,20,0.95,6,40,46,22,7,5,18,27,95,0.574,0.514,0.432,0.27,15.0,71.4,47.9,68.8,7.3,8.1,17.9,98.5,92.3,NYK
38,96,0.396,10,39,0.256,19,25,0.76,16,40,56,18,6,1,11,22,105,0.491,0.448,0.406,0.26,32.0,85.1,57.7,47.4,6.1,2.3,9.3,106.7,111.8,Away,MIL,35,82,0.427,20,39,0.513,20,28,0.714,7,34,41,24,6,11,14,16,110,0.583,0.549,0.476,0.341,14.9,68.0,42.3,68.6,6.1,19.3,12.9,111.8,106.7,NYK
41,88,0.466,12,31,0.387,17,18,0.944,18,30,48,28,13,1,20,13,111,0.579,0.534,0.352,0.205,42.9,81.1,60.8,68.3,13.9,2.4,17.3,118.4,103.4,Home,LAC,36,73,0.493,11,32,0.344,14,16,0.875,7,24,31,21,8,3,22,15,97,0.606,0.568,0.438,0.219,18.9,57.1,39.2,58.3,8.5,5.3,21.6,103.4,118.4,NYK
46,100,0.46,19,42,0.452,15,22,0.682,13,34,47,28,7,0,4,14,126,0.574,0.555,0.42,0.22,27.1,75.6,50.5,60.9,7.2,0.0,3.5,130.4,108.6,Home,SAS,44,90,0.489,9,34,0.265,8,13,0.615,11,35,46,31,2,7,13,22,105,0.548,0.539,0.378,0.144,24.4,72.9,49.5,70.5,2.1,12.1,12.0,108.6,130.4,NYK
47,87,0.54,15,36,0.417,20,30,0.667,10,30,40,25,8,4,9,18,129,0.644,0.626,0.414,0.345,32.3,66.7,52.6,53.2,8.6,6.8,8.2,138.1,114.6,Home,CHO,44,94,0.468,12,35,0.343,7,11,0.636,15,21,36,21,5,4,12,25,107,0.541,0.532,0.372,0.117,33.3,67.7,47.4,47.7,5.4,7.8,10.8,114.6,138.1,NYK
33,79,0.418,15,35,0.429,17,24,0.708,12,25,37,17,5,2,12,16,98,0.547,0.513,0.443,0.304,29.3,75.8,50.0,51.5,5.8,5.6,11.8,113.6,132.2,Away,BOS,40,79,0.506,19,43,0.442,15,16,0.938,8,29,37,27,3,3,11,22,114,0.662,0.627,0.544,0.203,24.2,70.7,50.0,67.5,3.5,6.8,11.3,132.2,113.6,NYK
