fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,off_rtg,def_rtg,game_id,Location,Win,opp_fg,opp_fga,opp_fg_pct,opp_fg3,opp_fg3a,opp_fg3_pct,opp_ft,opp_fta,opp_ft_pct,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,opp_pts,opp_ts_pct,opp_efg_pct,opp_fg3a_per_fga_pct,opp_fta_per_fga_pct,opp_orb_pct,opp_drb_pct,opp_trb_pct,opp_ast_pct,opp_stl_pct,opp_blk_pct,opp_tov_pct,opp_off_rtg,opp_def_rtg
45,82,0.549,19,39,0.487,15,18,0.833,5,38,43,30,6,4,16,19,124,0.69,0.665,0.476,0.22,14.7,74.5,50.6,66.7,6.0,7.7,15.1,124.9,104.7,5e8282c4-5960-455e-b59f-f79bf6e8b416,Away,1,39,94,0.415,12,42,0.286,14,18,0.778,13,29,42,26,10,3,13,16,104,0.51,0.479,0.447,0.191,25.5,85.3,49.4,66.7,10.1,7.0,11.3,104.7,124.9
40,87,0.46,13,26,0.5,15,19,0.789,6,41,47,22,8,10,18,17,108,0.566,0.534,0.299,0.218,13.0,83.7,49.5,55.0,7.6,21.3,15.9,102.0,99.1,bde10b23-9736-43ca-bf39-40732ccbc83f,Away,1,38,92,0.413,12,45,0.267,17,23,0.739,8,40,48,20,10,8,14,16,105,0.514,0.478,0.489,0.25,16.3,87.0,50.5,52.6,9.4,13.1,12.1,99.1,102.0
37,90,0.411,6,32,0.188,15,18,0.833,7,22,29,22,8,4,10,14,95,0.485,0.444,0.356,0.2,15.6,68.8,37.7,59.5,8.3,6.6,9.3,98.5,132.7,d2586512-1e44-4a31-8aeb-9cf9632151db,Home,0,53,88,0.602,11,27,0.407,11,13,0.846,10,38,48,34,8,5,13,21,128,0.683,0.665,0.307,0.148,31.3,84.4,62.3,64.2,8.3,8.6,12.2,132.7,98.5
44,83,0.53,13,29,0.448,23,28,0.821,6,38,44,21,9,10,15,19,124,0.65,0.608,0.349,0.337,17.6,74.5,51.8,47.7,8.8,15.9,13.6,120.8,109.1,f8d24b4b-76c3-47c6-af19-a251b7db3e4d,Home,1,39,91,0.429,15,28,0.536,19,24,0.792,13,28,41,31,6,5,17,25,112,0.551,0.511,0.308,0.264,25.5,82.4,48.2,79.5,5.8,9.3,14.3,109.1,120.8
38,88,0.432,7,34,0.206,23,25,0.92,6,43,49,23,6,5,15,24,106,0.535,0.472,0.386,0.284,14.3,66.2,45.8,60.5,5.8,8.3,13.2,102.2,106.0,7379862c-b207-45da-9d9a-dc85bb322592,Home,0,40,102,0.392,13,42,0.31,17,29,0.586,22,36,58,23,8,5,11,20,110,0.479,0.456,0.412,0.284,33.8,85.7,54.2,57.5,7.7,9.3,8.7,106.0,102.2
50,83,0.602,15,29,0.517,24,30,0.8,7,25,32,26,3,1,19,20,139,0.722,0.693,0.349,0.361,21.9,65.8,45.7,52.0,2.9,1.9,16.5,132.7,134.6,5a672d1a-6173-42da-a0ed-79701a51c3d3,Home,0,49,92,0.533,18,40,0.45,25,30,0.833,13,25,38,36,9,2,15,25,141,0.67,0.63,0.435,0.326,34.2,78.1,54.3,73.5,8.6,3.7,12.5,134.6,132.7
45,94,0.479,14,35,0.4,22,23,0.957,11,38,49,27,7,7,13,22,126,0.605,0.553,0.372,0.245,24.4,60.3,45.4,60.0,6.8,11.7,11.1,122.3,113.6,b199da22-295b-42ab-9ff5-f3a4901eb61e,Home,1,38,102,0.373,14,42,0.333,27,32,0.844,25,34,59,27,8,3,15,16,117,0.504,0.441,0.412,0.314,39.7,75.6,54.6,71.1,7.8,5.1,11.4,113.6,122.3
44,86,0.512,12,28,0.429,28,30,0.933,12,29,41,23,10,8,14,27,128,0.645,0.581,0.326,0.349,28.6,72.5,50.0,52.3,9.8,14.8,12.4,124.9,117.1,cbd93d90-8120-4efa-a88b-ab4c4a2edf3e,Home,1,42,83,0.506,9,29,0.31,27,37,0.73,11,30,41,26,9,5,20,24,120,0.604,0.56,0.349,0.446,27.5,71.4,50.0,61.9,8.8,8.6,16.8,117.1,124.9
39,87,0.448,7,30,0.233,13,16,0.813,5,33,38,22,9,5,16,15,98,0.521,0.489,0.345,0.184,12.2,67.3,42.2,56.4,8.9,11.4,14.5,97.0,104.0,8a9b8b0b-b02c-462c-915a-58525cb06cf8,Away,0,38,91,0.418,13,47,0.277,16,21,0.762,16,36,52,28,10,9,18,22,105,0.524,0.489,0.516,0.231,32.7,87.8,57.8,73.7,9.9,15.8,15.2,104.0,97.0
40,82,0.488,10,27,0.37,21,25,0.84,6,27,33,23,9,8,9,21,111,0.597,0.549,0.329,0.305,14.6,62.8,39.3,57.5,9.7,14.8,8.8,119.0,106.2,56165f27-cbcb-4e2a-bf65-926acc8105c4,Away,1,32,83,0.386,9,29,0.31,26,31,0.839,16,35,51,20,4,7,17,19,99,0.512,0.44,0.349,0.373,37.2,85.4,60.7,62.5,4.3,12.7,15.0,106.2,119.0
46,89,0.517,15,39,0.385,16,20,0.8,4,36,40,34,19,6,16,17,123,0.629,0.601,0.438,0.225,11.8,73.5,48.2,73.9,17.8,9.5,14.1,115.5,81.7,d84e81e7-670e-45a7-af33-28e73be46afb,Home,1,36,93,0.387,9,30,0.3,6,9,0.667,13,30,43,24,7,6,25,13,87,0.449,0.435,0.323,0.097,26.5,88.2,51.8,66.7,6.6,12.0,20.5,81.7,115.5
