fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,off_rtg,def_rtg,game_id,Location,Opponent,Win,opp_fg,opp_fga,opp_fg_pct,opp_fg3,opp_fg3a,opp_fg3_pct,opp_ft,opp_fta,opp_ft_pct,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,opp_pts,opp_ts_pct,opp_efg_pct,opp_fg3a_per_fga_pct,opp_fta_per_fga_pct,opp_orb_pct,opp_drb_pct,opp_trb_pct,opp_ast_pct,opp_stl_pct,opp_blk_pct,opp_tov_pct,opp_off_rtg,opp_def_rtg,team
42,87,0.483,9,34,0.265,23,26,0.885,17,40,57,19,8,6,16,20,116,0.589,0.534,0.391,0.299,41.5,85.1,64.8,45.2,8.4,13.3,14.0,121.9,90.4,3e1f331f-b87c-426b-b267-ffd4ac9f1dc3,Home,HOU,1,32,79,0.405,12,34,0.353,10,16,0.625,7,24,31,19,6,3,19,24,86,0.5,0.481,0.43,0.203,14.9,58.5,35.2,59.4,6.3,5.7,18.1,90.4,121.9,ORL
36,79,0.456,9,28,0.321,21,32,0.656,10,35,45,22,10,5,14,16,102,0.548,0.513,0.354,0.405,23.8,70.0,48.9,61.1,10.5,8.9,13.1,107.2,102.0,cb1f0ff0-6604-4360-9427-c64c529339d5,Away,POR,1,35,88,0.398,9,32,0.281,18,21,0.857,15,32,47,15,6,1,16,24,97,0.499,0.449,0.364,0.239,30.0,76.2,51.1,42.9,6.3,2.0,14.1,102.0,107.2,ORL
38,95,0.4,14,35,0.4,13,18,0.722,12,32,44,28,10,3,11,22,103,0.5,0.474,0.368,0.189,24.5,91.4,52.4,73.7,10.1,5.8,9.7,104.5,107.6,99768cee-ecf4-4278-81c6-4f657ffc161e,Away,LAL,0,42,79,0.532,8,27,0.296,14,18,0.778,3,37,40,28,7,10,16,17,106,0.61,0.582,0.342,0.228,8.6,75.5,47.6,66.7,7.1,16.7,15.5,107.6,104.5,ORL
38,81,0.469,7,30,0.233,19,33,0.576,7,33,40,23,9,3,16,24,102,0.534,0.512,0.37,0.407,16.7,78.6,47.6,60.5,8.7,5.2,14.3,98.8,114.3,a1a9aad6-284a-4710-a5b5-a40ab69b44cd,Away,LAC,0,44,89,0.494,14,31,0.452,16,23,0.696,9,35,44,29,10,4,16,26,118,0.595,0.573,0.348,0.258,21.4,83.3,52.4,65.9,9.7,7.8,13.9,114.3,98.8,ORL
39,85,0.459,10,29,0.345,27,36,0.75,10,33,43,27,17,9,17,25,115,0.57,0.518,0.341,0.424,22.2,71.7,47.3,69.2,16.2,16.1,14.4,109.3,107.4,aa6a18d7-594e-4a98-9711-20e12b96fd04,Away,UTA,1,41,89,0.461,12,33,0.364,19,26,0.731,13,35,48,27,9,7,20,27,113,0.563,0.528,0.371,0.292,28.3,77.8,52.7,65.9,8.6,12.5,16.6,107.4,109.3,ORL
46,101,0.455,12,33,0.364,16,19,0.842,19,32,51,29,6,9,16,18,120,0.549,0.515,0.327,0.188,38.8,76.2,56.0,63.0,6.0,16.7,12.8,120.5,101.4,47cacf29-0ffc-4d01-ab1a-aa2db9e14bac,Home,LAL,1,37,84,0.44,8,30,0.267,19,21,0.905,10,30,40,17,6,10,17,21,101,0.542,0.488,0.357,0.25,23.8,61.2,44.0,45.9,6.0,14.7,15.4,101.4,120.5,ORL
40,85,0.471,8,27,0.296,14,18,0.778,6,32,38,27,6,4,21,24,102,0.549,0.518,0.318,0.212,18.8,86.5,55.1,67.5,5.8,9.5,18.4,98.8,113.3,f6f2f04e-b4d3-4ff0-a707-09365b6d1ed1,Home,DAL,0,41,82,0.5,15,40,0.375,20,28,0.714,5,26,31,21,9,6,15,20,117,0.62,0.591,0.488,0.341,13.5,81.3,44.9,51.2,8.7,10.3,13.7,113.3,98.8,ORL
42,90,0.467,10,27,0.37,25,35,0.714,18,29,47,19,12,6,19,24,119,0.565,0.522,0.3,0.389,39.1,78.4,56.6,45.2,11.6,13.0,15.3,114.6,115.5,2801ed27-a910-4461-a32d-33bc8289c34c,Home,ATL,0,41,85,0.482,15,39,0.385,23,30,0.767,8,28,36,22,13,7,18,25,120,0.611,0.571,0.459,0.353,21.6,60.9,43.4,53.7,12.5,11.1,15.5,115.5,114.6,ORL
36,84,0.429,10,26,0.385,30,35,0.857,15,28,43,24,9,2,16,17,112,0.563,0.488,0.31,0.417,32.6,84.8,54.4,66.7,9.1,4.2,13.9,113.7,98.5,e7597fe8-23c6-43d0-bae1-6068dbe87e84,Home,MIL,1,38,77,0.494,9,29,0.31,12,25,0.48,5,31,36,25,9,6,19,24,97,0.551,0.552,0.377,0.325,15.2,67.4,45.6,65.8,9.1,10.3,17.8,98.5,113.7,ORL
36,82,0.439,16,46,0.348,16,21,0.762,9,28,37,23,9,4,16,16,104,0.57,0.537,0.561,0.256,22.5,68.3,45.7,63.9,9.4,8.7,14.9,108.8,129.8,10d919b1-edf9-4569-b1a8-73dfa937295b,Away,BRK,0,46,85,0.541,19,39,0.487,13,20,0.65,13,31,44,22,13,3,16,24,124,0.661,0.653,0.459,0.235,31.7,77.5,54.3,47.8,13.6,8.3,14.6,129.8,108.8,ORL
