mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,opp_mp,opp_fg,opp_fga,opp_fg_pct,opp_fg3,opp_fg3a,opp_fg3_pct,opp_ft,opp_fta,opp_ft_pct,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,opp_pts,opp_game_score,opp_plus_minus,opp_ts_pct,opp_efg_pct,opp_fg3a_per_fga_pct,opp_fta_per_fga_pct,opp_orb_pct,opp_drb_pct,opp_trb_pct,opp_ast_pct,opp_stl_pct,opp_blk_pct,opp_tov_pct,opp_usg_pct,opp_off_rtg,opp_def_rtg,opp_bpm
240,45,82,.549,19,39,.487,15,18,.833,5,38,43,30,6,4,16,19,124,,,.690,.665,.476,.220,14.7,74.5,50.6,66.7,6.0,7.7,15.1,100.0,124.9,104.7,,240,39,94,.415,12,42,.286,14,18,.778,13,29,42,26,10,3,13,16,104,,,.510,.479,.447,.191,25.5,85.3,49.4,66.7,10.1,7.0,11.3,100.0,104.7,124.9,
240,40,87,.460,13,26,.500,15,19,.789,6,41,47,22,8,10,18,17,108,,,.566,.534,.299,.218,13.0,83.7,49.5,55.0,7.6,21.3,15.9,100.0,102.0,99.1,,240,38,92,.413,12,45,.267,17,23,.739,8,40,48,20,10,8,14,16,105,,,.514,.478,.489,.250,16.3,87.0,50.5,52.6,9.4,13.1,12.1,100.0,99.1,102.0,
240,37,90,.411,6,32,.188,15,18,.833,7,22,29,22,8,4,10,14,95,,,.485,.444,.356,.200,15.6,68.8,37.7,59.5,8.3,6.6,9.3,100.0,98.5,132.7,,240,53,88,.602,11,27,.407,11,13,.846,10,38,48,34,8,5,13,21,128,,,.683,.665,.307,.148,31.3,84.4,62.3,64.2,8.3,8.6,12.2,100.0,132.7,98.5,
240,44,83,.530,13,29,.448,23,28,.821,6,38,44,21,9,10,15,19,124,,,.650,.608,.349,.337,17.6,74.5,51.8,47.7,8.8,15.9,13.6,100.0,120.8,109.1,,240,39,91,.429,15,28,.536,19,24,.792,13,28,41,31,6,5,17,25,112,,,.551,.511,.308,.264,25.5,82.4,48.2,79.5,5.8,9.3,14.3,100.0,109.1,120.8,
240,38,88,.432,7,34,.206,23,25,.920,6,43,49,23,6,5,15,24,106,,,.535,.472,.386,.284,14.3,66.2,45.8,60.5,5.8,8.3,13.2,100.0,102.2,106.0,,240,40,102,.392,13,42,.310,17,29,.586,22,36,58,23,8,5,11,20,110,,,.479,.456,.412,.284,33.8,85.7,54.2,57.5,7.7,9.3,8.7,100.0,106.0,102.2,
240,50,83,.602,15,29,.517,24,30,.800,7,25,32,26,3,1,19,20,139,,,.722,.693,.349,.361,21.9,65.8,45.7,52.0,2.9,1.9,16.5,100.0,132.7,134.6,,240,49,92,.533,18,40,.450,25,30,.833,13,25,38,36,9,2,15,25,141,,,.670,.630,.435,.326,34.2,78.1,54.3,73.5,8.6,3.7,12.5,100.0,134.6,132.7,
240,45,94,.479,14,35,.400,22,23,.957,11,38,49,27,7,7,13,22,126,,,.605,.553,.372,.245,24.4,60.3,45.4,60.0,6.8,11.7,11.1,100.0,122.3,113.6,,240,38,102,.373,14,42,.333,27,32,.844,25,34,59,27,8,3,15,16,117,,,.504,.441,.412,.314,39.7,75.6,54.6,71.1,7.8,5.1,11.4,100.0,113.6,122.3,
240,44,86,.512,12,28,.429,28,30,.933,12,29,41,23,10,8,14,27,128,,,.645,.581,.326,.349,28.6,72.5,50.0,52.3,9.8,14.8,12.4,100.0,124.9,117.1,,240,42,83,.506,9,29,.310,27,37,.730,11,30,41,26,9,5,20,24,120,,,.604,.560,.349,.446,27.5,71.4,50.0,61.9,8.8,8.6,16.8,100.0,117.1,124.9,
240,39,87,.448,7,30,.233,13,16,.813,5,33,38,22,9,5,16,15,98,,,.521,.489,.345,.184,12.2,67.3,42.2,56.4,8.9,11.4,14.5,100.0,97.0,104.0,,240,38,91,.418,13,47,.277,16,21,.762,16,36,52,28,10,9,18,22,105,,,.524,.489,.516,.231,32.7,87.8,57.8,73.7,9.9,15.8,15.2,100.0,104.0,97.0,
240,40,82,.488,10,27,.370,21,25,.840,6,27,33,23,9,8,9,21,111,,,.597,.549,.329,.305,14.6,62.8,39.3,57.5,9.7,14.8,8.8,100.0,119.0,106.2,,240,32,83,.386,9,29,.310,26,31,.839,16,35,51,20,4,7,17,19,99,,,.512,.440,.349,.373,37.2,85.4,60.7,62.5,4.3,12.7,15.0,100.0,106.2,119.0,
