fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,off_rtg,def_rtg,game_id,Location,Opponent,Win,opp_fg,opp_fga,opp_fg_pct,opp_fg3,opp_fg3a,opp_fg3_pct,opp_ft,opp_fta,opp_ft_pct,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,opp_pts,opp_ts_pct,opp_efg_pct,opp_fg3a_per_fga_pct,opp_fta_per_fga_pct,opp_orb_pct,opp_drb_pct,opp_trb_pct,opp_ast_pct,opp_stl_pct,opp_blk_pct,opp_tov_pct,opp_off_rtg,opp_def_rtg,team
41,80,0.513,16,35,0.457,19,28,0.679,4,35,39,25,8,4,15,28,117,0.634,0.613,0.438,0.35,10.3,81.4,47.6,61.0,7.9,7.8,14.0,115.1,116.1,93a0a1ed-7500-40a1-904e-5019c5313df2,Away,MIL,0,41,81,0.506,11,30,0.367,25,36,0.694,8,35,43,20,9,4,14,23,118,0.609,0.574,0.37,0.444,18.6,89.7,52.4,48.8,8.9,8.9,12.6,116.1,115.1,PHI
43,86,0.5,10,28,0.357,18,21,0.857,9,33,42,25,8,7,11,18,114,0.598,0.558,0.326,0.244,24.3,71.7,50.6,58.1,8.6,12.7,10.4,121.9,114.4,24f72ca9-57e7-48bc-aeb8-3ffff4a7f483,Away,TOR,1,38,87,0.437,17,32,0.531,14,19,0.737,13,28,41,28,5,5,13,19,107,0.561,0.534,0.368,0.218,28.3,75.7,49.4,73.7,5.3,8.6,12.0,114.4,121.9,PHI
40,82,0.488,11,28,0.393,35,40,0.875,11,40,51,28,10,17,16,20,126,0.633,0.555,0.341,0.488,28.2,74.1,54.8,70.0,9.8,27.0,13.8,123.5,96.1,2b45709c-efab-4843-b633-be92ef20c190,Home,POR,1,36,94,0.383,7,31,0.226,19,22,0.864,14,28,42,19,10,9,16,26,98,0.473,0.42,0.33,0.234,25.9,71.8,45.2,52.8,9.8,16.7,13.4,96.1,123.5,PHI
42,92,0.457,9,25,0.36,21,25,0.84,15,31,46,21,12,3,14,19,114,0.553,0.505,0.272,0.272,31.9,77.5,52.9,50.0,12.3,5.9,12.0,117.1,101.7,676422c8-80df-415a-85d1-259c90f00299,Home,TOR,1,38,79,0.481,10,28,0.357,13,19,0.684,9,32,41,30,4,3,19,20,99,0.567,0.544,0.354,0.241,22.5,68.1,47.1,78.9,4.1,4.5,17.9,101.7,117.1,PHI
43,90,0.478,11,30,0.367,15,18,0.833,15,36,51,24,5,6,18,24,112,0.572,0.539,0.333,0.2,35.7,70.6,54.8,55.8,5.2,11.1,15.5,116.4,103.9,344aa743-7ebc-495c-bab7-7c0410f4033b,Home,PHO,1,32,89,0.36,9,35,0.257,27,33,0.818,15,27,42,22,11,12,11,11,100,0.483,0.41,0.393,0.371,29.4,64.3,45.2,68.8,11.4,20.0,9.6,103.9,116.4,PHI
51,91,0.56,12,31,0.387,32,36,0.889,10,35,45,37,12,7,16,15,146,0.683,0.626,0.341,0.396,26.3,77.8,54.2,72.5,10.8,11.3,13.0,131.6,115.3,9ec23165-9c21-4b9e-812f-2465968cea26,Home,WAS,1,49,96,0.51,14,34,0.412,16,20,0.8,10,28,38,31,6,10,19,26,128,0.611,0.583,0.354,0.208,22.2,73.7,45.8,63.3,5.4,16.7,15.3,115.3,131.6,PHI
42,95,0.442,9,34,0.265,13,15,0.867,12,44,56,20,7,7,14,16,106,0.522,0.489,0.358,0.158,26.1,83.0,56.6,47.6,6.9,15.9,12.1,105.0,102.1,1b2ba286-0667-47fb-87f8-c59fa1666f3e,Home,BOS,1,36,91,0.396,15,47,0.319,16,19,0.842,9,34,43,28,8,6,13,13,103,0.518,0.478,0.516,0.209,17.0,73.9,43.4,77.8,7.9,9.8,11.6,102.1,105.0,PHI
35,83,0.422,9,28,0.321,35,41,0.854,11,35,46,23,13,5,9,23,114,0.564,0.476,0.337,0.494,22.9,76.1,48.9,65.7,13.2,8.6,8.2,115.9,107.8,42c761ae-0a88-409e-b6b0-a456aa5cf6d7,Away,DET,1,40,86,0.465,8,28,0.286,18,22,0.818,11,37,48,28,3,5,17,26,106,0.554,0.512,0.326,0.256,23.9,77.1,51.1,70.0,3.1,9.1,15.1,107.8,115.9,PHI
53,105,0.505,14,33,0.424,17,20,0.85,23,31,54,28,5,7,12,15,137,0.602,0.571,0.314,0.19,48.9,79.5,62.8,52.8,5.1,13.7,9.5,139.8,128.6,a6833da5-a5fb-44fe-be22-41d5733c426e,Home,IND,1,47,90,0.522,16,39,0.41,16,19,0.842,8,24,32,31,8,9,10,14,126,0.641,0.611,0.433,0.211,20.5,51.1,37.2,66.0,8.2,12.5,9.2,128.6,139.8,PHI
43,86,0.5,6,22,0.273,34,35,0.971,5,33,38,22,5,3,16,26,126,0.621,0.535,0.256,0.407,13.9,76.7,48.1,51.2,4.6,5.4,13.6,116.9,122.4,17a74764-8774-4ee5-813e-1d2a4725b6f4,Home,IND,0,48,93,0.516,13,37,0.351,23,33,0.697,10,31,41,32,7,5,11,28,132,0.614,0.586,0.398,0.355,23.3,86.1,51.9,66.7,6.5,7.8,9.3,122.4,116.9,PHI
