mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,Location,Opponent,opp_mp,opp_fg,opp_fga,opp_fg_pct,opp_fg3,opp_fg3a,opp_fg3_pct,opp_ft,opp_fta,opp_ft_pct,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,opp_pts,opp_game_score,opp_plus_minus,opp_ts_pct,opp_efg_pct,opp_fg3a_per_fga_pct,opp_fta_per_fga_pct,opp_orb_pct,opp_drb_pct,opp_trb_pct,opp_ast_pct,opp_stl_pct,opp_blk_pct,opp_tov_pct,opp_usg_pct,opp_off_rtg,opp_def_rtg,opp_bpm,opp_Location,opp_Opponent
240,42,95,.442,11,33,.333,13,17,.765,17,43,60,23,5,7,19,22,108,,,.527,.500,.347,.179,35.4,70.5,55.0,54.8,4.9,12.1,15.6,100.0,106.2,102.3,,Away,GSW,240,36,101,.356,10,43,.233,22,28,.786,18,31,49,19,11,6,11,23,104,,,.459,.406,.426,.277,29.5,64.6,45.0,52.8,10.8,9.7,8.8,100.0,102.3,106.2,,Home,PHO
240,34,81,.420,9,31,.290,18,23,.783,10,39,49,16,7,3,24,21,95,,,.521,.475,.383,.284,22.7,83.0,53.8,47.1,6.8,5.5,20.8,100.0,92.4,97.3,,Away,LAL,240,36,84,.429,5,29,.172,23,29,.793,8,34,42,24,14,7,16,23,100,,,.517,.458,.345,.345,17.0,77.3,46.2,66.7,13.6,14.0,14.2,100.0,97.3,92.4,,Home,PHO
240,45,85,.529,10,37,.270,26,28,.929,7,32,39,31,10,7,11,19,126,,,.647,.588,.435,.329,18.9,68.1,46.4,68.9,10.1,13.0,10.2,100.0,127.7,105.4,,Home,UTA,240,40,91,.440,12,37,.324,12,14,.857,15,30,45,26,6,5,19,20,104,,,.535,.505,.407,.154,31.9,81.1,53.6,65.0,6.1,10.4,16.4,100.0,105.4,127.7,,Away,PHO
240,42,83,.506,18,39,.462,12,15,.800,6,37,43,29,8,7,19,18,114,,,.636,.614,.470,.181,17.1,82.2,53.8,69.0,7.9,12.7,17.5,100.0,112.2,113.2,,Home,SAS,240,43,92,.467,14,37,.378,15,20,.750,8,29,37,25,10,9,12,17,115,,,.570,.543,.402,.217,17.8,82.9,46.3,58.1,9.8,20.5,10.6,100.0,113.2,112.2,,Away,PHO
240,43,80,.538,16,32,.500,19,26,.731,5,29,34,26,5,4,14,15,121,,,.662,.638,.400,.325,13.5,76.3,45.3,60.5,5.0,6.6,13.3,100.0,122.0,133.1,,Home,SAS,240,51,98,.520,18,37,.486,12,13,.923,9,32,41,37,7,5,8,21,132,,,.636,.612,.378,.133,23.7,86.5,54.7,72.5,7.1,10.4,7.2,100.0,133.1,122.0,,Away,PHO
240,32,89,.360,9,35,.257,27,33,.818,15,27,42,22,11,12,11,11,100,,,.483,.410,.393,.371,29.4,64.3,45.2,68.8,11.4,20.0,9.6,100.0,103.9,116.4,,Away,PHI,240,43,90,.478,11,30,.367,15,18,.833,15,36,51,24,5,6,18,24,112,,,.572,.539,.333,.200,35.7,70.6,54.8,55.8,5.2,11.1,15.5,100.0,116.4,103.9,,Home,PHO
240,43,86,.500,8,21,.381,26,29,.897,14,29,43,29,8,10,18,13,120,,,.608,.547,.244,.337,37.8,74.4,56.6,67.4,8.2,15.6,15.4,100.0,123.3,108.9,,Away,DET,240,43,87,.494,8,23,.348,12,14,.857,10,23,33,25,7,6,16,23,106,,,.569,.540,.264,.161,25.6,62.2,43.4,58.1,7.2,9.2,14.7,100.0,108.9,123.3,,Home,PHO
265,38,90,.422,19,48,.396,21,25,.840,13,41,54,32,7,10,22,20,116,,,.574,.528,.533,.278,30.2,82.0,58.1,84.2,6.5,15.9,17.9,100.0,108.4,107.5,,Away,CHI,265,42,96,.438,14,33,.424,17,23,.739,9,30,39,30,12,7,14,22,115,,,.542,.510,.344,.240,18.0,69.8,41.9,71.4,11.2,16.7,11.7,100.0,107.5,108.4,,Home,PHO
240,42,94,.447,15,37,.405,20,27,.741,17,35,52,22,9,1,13,24,119,,,.562,.527,.394,.287,33.3,79.5,54.7,52.4,9.1,1.8,10.9,100.0,119.8,122.8,,Home,LAL,240,42,84,.500,12,27,.444,26,34,.765,9,34,43,27,9,7,11,20,122,,,.616,.571,.321,.405,20.5,66.7,45.3,64.3,9.1,12.3,10.0,100.0,122.8,119.8,,Away,PHO
240,32,83,.386,9,29,.310,26,31,.839,16,35,51,20,4,7,17,19,99,,,.512,.440,.349,.373,37.2,85.4,60.7,62.5,4.3,12.7,15.0,100.0,106.2,119.0,,Home,OKC,240,40,82,.488,10,27,.370,21,25,.840,6,27,33,23,9,8,9,21,111,,,.597,.549,.329,.305,14.6,62.8,39.3,57.5,9.7,14.8,8.8,100.0,119.0,106.2,,Away,PHO
