fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,off_rtg,def_rtg,game_id,Location,Opponent,Win,opp_fg,opp_fga,opp_fg_pct,opp_fg3,opp_fg3a,opp_fg3_pct,opp_ft,opp_fta,opp_ft_pct,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,opp_pts,opp_ts_pct,opp_efg_pct,opp_fg3a_per_fga_pct,opp_fta_per_fga_pct,opp_orb_pct,opp_drb_pct,opp_trb_pct,opp_ast_pct,opp_stl_pct,opp_blk_pct,opp_tov_pct,opp_off_rtg,opp_def_rtg,team
44,93,0.473,10,32,0.313,13,17,0.765,15,25,40,20,10,4,18,20,111,0.552,0.527,0.344,0.183,32.6,64.1,47.1,45.5,10.1,7.1,15.2,111.8,123.9,82242a9e-31c5-4eda-89cc-6d3559942051,Away,LAC,0,47,90,0.522,16,34,0.471,13,16,0.813,14,31,45,36,11,7,18,20,123,0.634,0.611,0.378,0.178,35.9,67.4,52.9,76.6,11.1,11.5,15.6,123.9,111.8,POR
35,88,0.398,9,32,0.281,18,21,0.857,15,32,47,15,6,1,16,24,97,0.499,0.449,0.364,0.239,30.0,76.2,51.1,42.9,6.3,2.0,14.1,102.0,107.2,cb1f0ff0-6604-4360-9427-c64c529339d5,Home,ORL,0,36,79,0.456,9,28,0.321,21,32,0.656,10,35,45,22,10,5,14,16,102,0.548,0.513,0.354,0.405,23.8,70.0,48.9,61.1,10.5,8.9,13.1,107.2,102.0,POR
36,94,0.383,7,31,0.226,19,22,0.864,14,28,42,19,10,9,16,26,98,0.473,0.42,0.33,0.234,25.9,71.8,45.2,52.8,9.8,16.7,13.4,96.1,123.5,2b45709c-efab-4843-b633-be92ef20c190,Away,PHI,0,40,82,0.488,11,28,0.393,35,40,0.875,11,40,51,28,10,17,16,20,126,0.633,0.555,0.341,0.488,28.2,74.1,54.8,70.0,9.8,27.0,13.8,123.5,96.1,POR
38,85,0.447,11,35,0.314,12,15,0.8,13,38,51,20,6,7,16,19,99,0.54,0.512,0.412,0.176,28.3,73.1,52.0,52.6,6.4,10.8,14.9,105.0,96.5,a18e55ef-79b3-4514-b382-cdde9de750f5,Away,TOR,1,38,94,0.404,4,29,0.138,11,15,0.733,14,33,47,19,10,4,12,17,91,0.452,0.426,0.309,0.16,26.9,71.7,48.0,50.0,10.6,8.0,10.7,96.5,105.0,POR
38,81,0.469,7,20,0.35,27,33,0.818,7,37,44,23,10,7,17,15,110,0.576,0.512,0.247,0.407,17.9,86.0,53.7,60.5,9.6,11.5,15.1,105.8,97.2,3eac0fa5-c685-4390-b61e-eb6963bcf60e,Away,DET,1,40,90,0.444,11,29,0.379,10,11,0.909,6,32,38,24,12,4,18,31,101,0.532,0.506,0.322,0.122,14.0,82.1,46.3,60.0,11.5,6.6,16.0,97.2,105.8,POR
39,96,0.406,9,32,0.281,28,36,0.778,15,35,50,19,12,7,14,15,115,0.514,0.453,0.333,0.375,26.8,83.3,51.0,48.7,11.0,11.5,11.1,105.7,103.9,ebfdd2ef-f563-40db-9e06-f15badbc74ad,Home,MEM,1,47,96,0.49,10,35,0.286,9,13,0.692,7,41,48,29,8,10,17,25,113,0.555,0.542,0.365,0.135,16.7,73.2,49.0,61.7,7.4,15.6,14.3,103.9,105.7,POR
37,95,0.389,14,45,0.311,12,15,0.8,16,31,47,23,11,5,14,21,100,0.492,0.463,0.474,0.158,29.1,75.6,49.0,62.2,11.2,8.8,12.1,101.7,113.9,a06f8bfb-830e-4852-b49f-b5db4c9006f6,Home,MEM,0,45,89,0.506,13,32,0.406,9,13,0.692,10,39,49,27,6,7,17,18,112,0.591,0.579,0.36,0.146,24.4,70.9,51.0,60.0,6.1,14.0,15.2,113.9,101.7,POR
44,87,0.506,8,22,0.364,22,29,0.759,7,29,36,26,10,5,18,29,118,0.591,0.552,0.253,0.333,16.7,65.9,41.9,59.1,9.2,9.6,15.3,108.9,111.7,9325c006-4967-4b38-bd51-e887ad3fc6d2,Away,SAC,0,41,89,0.461,11,37,0.297,28,38,0.737,15,35,50,32,11,6,21,24,121,0.572,0.522,0.416,0.427,34.1,83.3,58.1,78.0,10.2,9.2,16.6,111.7,108.9,POR
45,90,0.5,13,37,0.351,7,9,0.778,5,33,38,29,2,8,16,25,110,0.585,0.572,0.411,0.1,12.8,82.5,48.1,64.4,2.0,12.3,14.6,108.3,114.2,c7024b82-a956-4d3d-9545-e376361f1ec0,Away,LAL,0,41,84,0.488,4,19,0.211,30,37,0.811,7,34,41,27,8,4,9,11,116,0.578,0.512,0.226,0.44,17.5,87.2,51.9,65.9,7.9,7.5,8.2,114.2,108.3,POR
37,88,0.42,11,35,0.314,14,20,0.7,13,30,43,23,5,6,17,15,99,0.511,0.483,0.398,0.227,26.5,65.2,45.3,62.2,5.2,11.5,14.9,102.3,118.8,e5124049-cd0d-4a74-a0e7-d0c476bde8f3,Away,UTA,0,44,95,0.463,13,43,0.302,14,15,0.933,16,36,52,26,11,6,13,18,115,0.566,0.532,0.453,0.158,34.8,73.5,54.7,59.1,11.4,11.3,11.3,118.8,102.3,POR
