mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,opp_mp,opp_fg,opp_fga,opp_fg_pct,opp_fg3,opp_fg3a,opp_fg3_pct,opp_ft,opp_fta,opp_ft_pct,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,opp_pts,opp_game_score,opp_plus_minus,opp_ts_pct,opp_efg_pct,opp_fg3a_per_fga_pct,opp_fta_per_fga_pct,opp_orb_pct,opp_drb_pct,opp_trb_pct,opp_ast_pct,opp_stl_pct,opp_blk_pct,opp_tov_pct,opp_usg_pct,opp_off_rtg,opp_def_rtg,opp_bpm
240,44,93,.473,10,32,.313,13,17,.765,15,25,40,20,10,4,18,20,111,,,.552,.527,.344,.183,32.6,64.1,47.1,45.5,10.1,7.1,15.2,100.0,111.8,123.9,,240,47,90,.522,16,34,.471,13,16,.813,14,31,45,36,11,7,18,20,123,,,.634,.611,.378,.178,35.9,67.4,52.9,76.6,11.1,11.5,15.6,100.0,123.9,111.8,
240,35,88,.398,9,32,.281,18,21,.857,15,32,47,15,6,1,16,24,97,,,.499,.449,.364,.239,30.0,76.2,51.1,42.9,6.3,2.0,14.1,100.0,102.0,107.2,,240,36,79,.456,9,28,.321,21,32,.656,10,35,45,22,10,5,14,16,102,,,.548,.513,.354,.405,23.8,70.0,48.9,61.1,10.5,8.9,13.1,100.0,107.2,102.0,
240,36,94,.383,7,31,.226,19,22,.864,14,28,42,19,10,9,16,26,98,,,.473,.420,.330,.234,25.9,71.8,45.2,52.8,9.8,16.7,13.4,100.0,96.1,123.5,,240,40,82,.488,11,28,.393,35,40,.875,11,40,51,28,10,17,16,20,126,,,.633,.555,.341,.488,28.2,74.1,54.8,70.0,9.8,27.0,13.8,100.0,123.5,96.1,
240,38,85,.447,11,35,.314,12,15,.800,13,38,51,20,6,7,16,19,99,,,.540,.512,.412,.176,28.3,73.1,52.0,52.6,6.4,10.8,14.9,100.0,105.0,96.5,,240,38,94,.404,4,29,.138,11,15,.733,14,33,47,19,10,4,12,17,91,,,.452,.426,.309,.160,26.9,71.7,48.0,50.0,10.6,8.0,10.7,100.0,96.5,105.0,
240,38,81,.469,7,20,.350,27,33,.818,7,37,44,23,10,7,17,15,110,,,.576,.512,.247,.407,17.9,86.0,53.7,60.5,9.6,11.5,15.1,100.0,105.8,97.2,,240,40,90,.444,11,29,.379,10,11,.909,6,32,38,24,12,4,18,31,101,,,.532,.506,.322,.122,14.0,82.1,46.3,60.0,11.5,6.6,16.0,100.0,97.2,105.8,
265,39,96,.406,9,32,.281,28,36,.778,15,35,50,19,12,7,14,15,115,,,.514,.453,.333,.375,26.8,83.3,51.0,48.7,11.0,11.5,11.1,100.0,105.7,103.9,,265,47,96,.490,10,35,.286,9,13,.692,7,41,48,29,8,10,17,25,113,,,.555,.542,.365,.135,16.7,73.2,49.0,61.7,7.4,15.6,14.3,100.0,103.9,105.7,
240,37,95,.389,14,45,.311,12,15,.800,16,31,47,23,11,5,14,21,100,,,.492,.463,.474,.158,29.1,75.6,49.0,62.2,11.2,8.8,12.1,100.0,101.7,113.9,,240,45,89,.506,13,32,.406,9,13,.692,10,39,49,27,6,7,17,18,112,,,.591,.579,.360,.146,24.4,70.9,51.0,60.0,6.1,14.0,15.2,100.0,113.9,101.7,
265,44,87,.506,8,22,.364,22,29,.759,7,29,36,26,10,5,18,29,118,,,.591,.552,.253,.333,16.7,65.9,41.9,59.1,9.2,9.6,15.3,100.0,108.9,111.7,,265,41,89,.461,11,37,.297,28,38,.737,15,35,50,32,11,6,21,24,121,,,.572,.522,.416,.427,34.1,83.3,58.1,78.0,10.2,9.2,16.6,100.0,111.7,108.9,
240,45,90,.500,13,37,.351,7,9,.778,5,33,38,29,2,8,16,25,110,,,.585,.572,.411,.100,12.8,82.5,48.1,64.4,2.0,12.3,14.6,100.0,108.3,114.2,,240,41,84,.488,4,19,.211,30,37,.811,7,34,41,27,8,4,9,11,116,,,.578,.512,.226,.440,17.5,87.2,51.9,65.9,7.9,7.5,8.2,100.0,114.2,108.3,
240,37,88,.420,11,35,.314,14,20,.700,13,30,43,23,5,6,17,15,99,,,.511,.483,.398,.227,26.5,65.2,45.3,62.2,5.2,11.5,14.9,100.0,102.3,118.8,,240,44,95,.463,13,43,.302,14,15,.933,16,36,52,26,11,6,13,18,115,,,.566,.532,.453,.158,34.8,73.5,54.7,59.1,11.4,11.3,11.3,100.0,118.8,102.3,
240,34,91,.374,13,38,.342,14,16,.875,8,22,30,24,9,3,14,21,95,,,.484,.445,.418,.176,16.7,75.9,39.0,70.6,9.3,6.7,12.5,100.0,97.9,112.3,,240,42,75,.560,9,30,.300,16,21,.762,7,40,47,23,5,9,18,16,109,,,.647,.620,.400,.280,24.1,83.3,61.0,54.8,5.2,17.0,17.6,100.0,112.3,97.9,
240,36,89,.404,10,37,.270,13,18,.722,19,29,48,17,11,2,19,17,95,,,.490,.461,.416,.202,36.5,72.5,52.2,47.2,11.6,3.8,16.4,100.0,99.9,112.5,,240,40,81,.494,12,29,.414,15,22,.682,11,33,44,27,11,6,18,16,107,,,.590,.568,.358,.272,27.5,63.5,47.8,67.5,11.6,11.5,16.6,100.0,112.5,99.9,
240,34,85,.400,9,34,.265,14,21,.667,13,18,31,21,10,2,19,15,91,,,.483,.453,.400,.247,28.3,64.3,41.9,61.8,10.6,4.4,16.8,100.0,96.1,141.5,,240,49,81,.605,22,36,.611,14,14,1.000,10,33,43,28,8,3,18,18,134,,,.769,.741,.444,.173,35.7,71.7,58.1,57.1,8.4,5.9,17.1,100.0,141.5,96.1,
240,38,87,.437,14,31,.452,17,20,.850,12,18,30,20,8,3,13,20,107,,,.558,.517,.356,.230,30.8,62.1,44.1,52.6,8.9,5.1,11.9,100.0,118.4,132.8,,240,43,76,.566,7,17,.412,27,28,.964,11,27,38,26,8,8,15,18,120,,,.679,.612,.224,.368,37.9,69.2,55.9,60.5,8.9,14.3,14.5,100.0,132.8,118.4,
240,47,92,.511,17,39,.436,10,15,.667,14,23,37,31,9,6,14,21,121,,,.614,.603,.424,.163,31.8,62.2,45.7,66.0,9.3,12.5,12.4,100.0,125.3,108.8,,240,37,79,.468,10,31,.323,21,26,.808,14,30,44,25,7,3,24,13,105,,,.580,.532,.392,.329,37.8,68.2,54.3,67.6,7.3,5.7,21.0,100.0,108.8,125.3,
240,37,91,.407,13,32,.406,15,20,.750,11,29,40,21,15,4,20,26,102,,,.511,.478,.352,.220,24.4,61.7,43.5,56.8,14.9,8.5,16.7,100.0,101.2,107.2,,240,35,89,.393,14,42,.333,24,32,.750,18,34,52,19,13,11,17,20,108,,,.524,.472,.472,.360,38.3,75.6,56.5,54.3,12.9,18.6,14.2,100.0,107.2,101.2,
240,40,85,.471,9,18,.500,25,31,.806,9,29,38,20,6,4,16,21,114,,,.578,.524,.212,.365,22.0,74.4,47.5,50.0,5.8,7.3,14.0,100.0,109.7,105.9,,240,42,88,.477,8,33,.242,18,24,.750,10,32,42,26,10,6,20,24,110,,,.558,.523,.375,.273,25.6,78.0,52.5,61.9,9.6,9.0,16.9,100.0,105.9,109.7,
240,39,77,.506,14,35,.400,11,11,1.000,9,31,40,29,10,4,23,17,103,,,.629,.597,.455,.143,30.0,68.9,53.3,74.4,10.6,7.0,21.9,100.0,109.6,101.1,,240,38,89,.427,7,32,.219,12,12,1.000,14,21,35,25,12,2,19,15,95,,,.504,.466,.360,.135,31.1,70.0,46.7,65.8,12.8,4.8,16.8,100.0,101.1,109.6,
265,38,95,.400,13,40,.325,24,27,.889,11,29,40,17,11,5,11,20,113,,,.529,.468,.421,.284,21.6,64.4,41.7,44.7,10.6,8.3,9.3,100.0,109.2,114.0,,265,46,94,.489,7,34,.206,19,24,.792,16,40,56,27,5,11,18,21,118,,,.564,.527,.362,.255,35.6,78.4,58.3,58.7,4.8,20.0,14.7,100.0,114.0,109.2,
240,39,95,.411,16,46,.348,12,16,.750,11,29,40,22,8,3,10,30,106,,,.519,.495,.484,.168,23.9,65.9,44.4,56.4,8.2,5.8,8.9,100.0,108.7,112.8,,240,36,86,.419,10,34,.294,28,33,.848,15,35,50,20,4,3,17,19,110,,,.547,.477,.395,.384,34.1,76.1,55.6,55.6,4.1,6.1,14.5,100.0,112.8,108.7,
240,39,105,.371,18,53,.340,16,18,.889,18,30,48,20,9,1,15,24,112,,,.496,.457,.505,.171,35.3,76.9,53.3,51.3,8.7,1.9,11.7,100.0,108.6,121.2,,240,47,91,.516,12,39,.308,19,22,.864,9,33,42,26,8,5,15,23,125,,,.621,.582,.429,.242,23.1,64.7,46.7,55.3,7.8,9.6,13.0,100.0,121.2,108.6,
240,43,90,.478,19,40,.475,22,26,.846,11,25,36,25,5,4,12,21,127,,,.626,.583,.444,.289,29.7,73.5,50.7,58.1,5.2,7.3,10.6,100.0,131.7,136.8,,240,49,89,.551,13,34,.382,21,22,.955,9,26,35,33,7,9,9,20,132,,,.669,.624,.382,.247,26.5,70.3,49.3,67.3,7.3,18.0,8.4,100.0,136.8,131.7,
240,43,103,.417,16,45,.356,12,18,.667,21,28,49,30,9,4,11,12,114,,,.514,.495,.437,.175,39.6,68.3,52.1,69.8,9.5,6.8,9.0,100.0,120.1,128.6,,240,49,92,.533,11,33,.333,13,14,.929,13,32,45,27,9,9,11,14,122,,,.621,.592,.359,.152,31.7,60.4,47.9,55.1,9.5,15.5,10.1,100.0,128.6,120.1,
240,47,94,.500,7,32,.219,19,22,.864,10,34,44,17,8,2,11,21,120,,,.579,.537,.340,.234,21.7,75.6,48.4,36.2,7.7,4.0,9.6,100.0,115.1,125.7,,240,48,97,.495,16,47,.340,19,21,.905,11,36,47,27,7,2,13,17,131,,,.617,.577,.485,.216,24.4,78.3,51.6,56.3,6.7,3.2,10.9,100.0,125.7,115.1,
240,40,85,.471,13,35,.371,21,23,.913,9,28,37,23,10,4,14,20,114,,,.599,.547,.412,.271,22.0,71.8,46.3,57.5,10.3,8.2,12.8,100.0,117.6,121.7,,240,46,87,.529,13,38,.342,13,19,.684,11,32,43,31,10,4,14,20,118,,,.619,.603,.437,.218,28.2,78.0,53.8,67.4,10.3,8.0,12.8,100.0,121.7,117.6,
240,39,87,.448,14,28,.500,17,19,.895,10,32,42,23,8,4,17,18,109,,,.572,.529,.322,.218,23.3,69.6,47.2,59.0,8.0,5.6,15.1,100.0,108.9,103.9,,240,42,94,.447,5,23,.217,15,21,.714,14,33,47,23,10,6,15,15,104,,,.504,.473,.245,.223,30.4,76.7,52.8,54.8,10.0,10.2,12.7,100.0,103.9,108.9,
240,43,95,.453,14,30,.467,17,23,.739,20,31,51,24,7,6,16,27,117,,,.557,.526,.316,.242,40.0,81.6,58.0,55.8,7.1,11.1,13.2,100.0,117.9,118.9,,240,42,84,.500,12,30,.400,22,32,.688,7,30,37,26,9,6,12,17,118,,,.602,.571,.357,.381,18.4,60.0,42.0,61.9,9.1,9.2,10.9,100.0,118.9,117.9,
