fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,off_rtg,def_rtg,Location,Opponent,opp_fg,opp_fga,opp_fg_pct,opp_fg3,opp_fg3a,opp_fg3_pct,opp_ft,opp_fta,opp_ft_pct,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,opp_pts,opp_ts_pct,opp_efg_pct,opp_fg3a_per_fga_pct,opp_fta_per_fga_pct,opp_orb_pct,opp_drb_pct,opp_trb_pct,opp_ast_pct,opp_stl_pct,opp_blk_pct,opp_tov_pct,opp_off_rtg,opp_def_rtg,opp_Opponent
47,102,0.461,19,51,0.373,17,20,0.85,15,30,45,29,6,8,12,25,130,0.587,0.554,0.5,0.196,28.3,65.2,45.5,61.7,5.9,12.7,9.8,127.4,111.7,Away,UTA,41,91,0.451,9,28,0.321,23,31,0.742,16,38,54,22,6,2,14,20,114,0.545,0.5,0.308,0.341,34.8,71.7,54.5,53.7,5.9,3.9,11.8,111.7,127.4,SAC
41,94,0.436,12,40,0.3,20,29,0.69,10,31,41,24,10,3,14,16,114,0.534,0.5,0.426,0.309,23.8,81.6,51.3,58.5,9.5,5.5,11.6,108.6,116.2,Home,GSW,48,87,0.552,14,32,0.438,12,14,0.857,7,32,39,32,14,3,19,24,122,0.655,0.632,0.368,0.161,18.4,76.2,48.8,66.7,13.3,5.6,16.9,116.2,108.6,SAC
49,104,0.471,17,48,0.354,17,24,0.708,6,41,47,30,6,7,10,28,132,0.576,0.553,0.462,0.231,11.8,83.7,47.0,61.2,5.2,13.2,8.0,114.5,110.1,Home,LAL,43,98,0.439,15,45,0.333,26,34,0.765,8,45,53,27,4,4,12,22,127,0.562,0.515,0.459,0.347,16.3,88.2,53.0,62.8,3.5,7.1,9.6,110.1,114.5,SAC
36,88,0.409,11,35,0.314,18,23,0.783,14,34,48,24,8,4,15,17,101,0.515,0.472,0.398,0.261,32.6,82.9,57.1,66.7,8.4,8.0,13.3,105.5,106.6,Away,GSW,39,81,0.481,11,31,0.355,13,15,0.867,7,29,36,32,5,6,18,17,102,0.582,0.549,0.383,0.185,17.1,67.4,42.9,82.1,5.2,11.3,17.0,106.6,105.5,SAC
32,84,0.381,11,41,0.268,14,19,0.737,8,35,43,20,5,6,11,19,89,0.482,0.446,0.488,0.226,15.7,77.8,44.8,62.5,5.3,11.8,10.6,94.3,113.4,Away,HOU,40,87,0.46,13,36,0.361,14,20,0.7,10,43,53,28,4,3,11,18,107,0.558,0.534,0.414,0.23,22.2,84.3,55.2,70.0,4.2,7.0,10.3,113.4,94.3,SAC
36,81,0.444,14,40,0.35,11,20,0.55,12,22,34,22,5,2,15,22,97,0.54,0.531,0.494,0.247,26.1,81.5,46.6,61.1,5.5,4.5,14.3,106.7,134.1,Away,HOU,43,75,0.573,15,31,0.484,21,27,0.778,5,34,39,28,8,4,11,19,122,0.702,0.673,0.413,0.36,18.5,73.9,53.4,65.1,8.8,9.8,11.2,134.1,106.7,SAC
41,89,0.461,11,37,0.297,28,38,0.737,15,35,50,32,11,6,21,24,121,0.572,0.522,0.416,0.427,34.1,83.3,58.1,78.0,10.2,9.2,16.6,111.7,108.9,Home,POR,44,87,0.506,8,22,0.364,22,29,0.759,7,29,36,26,10,5,18,29,118,0.591,0.552,0.253,0.333,16.7,65.9,41.9,59.1,9.2,9.6,15.3,108.9,111.7,SAC
38,91,0.418,13,47,0.277,16,21,0.762,16,36,52,28,10,9,18,22,105,0.524,0.489,0.516,0.231,32.7,87.8,57.8,73.7,9.9,15.8,15.2,104.0,97.0,Home,OKC,39,87,0.448,7,30,0.233,13,16,0.813,5,33,38,22,9,5,16,15,98,0.521,0.489,0.345,0.184,12.2,67.3,42.2,56.4,8.9,11.4,14.5,97.0,104.0,SAC
49,83,0.59,20,42,0.476,14,22,0.636,8,29,37,32,3,4,10,19,132,0.712,0.711,0.506,0.265,24.2,67.4,48.7,65.3,3.2,7.1,9.7,142.1,129.2,Home,CLE,45,91,0.495,16,35,0.457,14,17,0.824,14,25,39,24,3,1,11,18,120,0.609,0.582,0.385,0.187,32.6,75.8,51.3,53.3,3.2,2.4,10.0,129.2,142.1,SAC
48,96,0.5,16,44,0.364,13,17,0.765,11,34,45,31,20,1,16,20,125,0.604,0.583,0.458,0.177,23.4,82.9,51.1,64.6,18.8,1.9,13.4,117.4,103.3,Away,LAL,42,83,0.506,11,29,0.379,15,19,0.789,7,36,43,25,12,6,23,17,110,0.602,0.572,0.349,0.229,17.1,76.6,48.9,59.5,11.3,11.5,20.1,103.3,117.4,SAC
