fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,off_rtg,def_rtg,Location,Opponent,opp_fg,opp_fga,opp_fg_pct,opp_fg3,opp_fg3a,opp_fg3_pct,opp_ft,opp_fta,opp_ft_pct,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,opp_pts,opp_ts_pct,opp_efg_pct,opp_fg3a_per_fga_pct,opp_fta_per_fga_pct,opp_orb_pct,opp_drb_pct,opp_trb_pct,opp_ast_pct,opp_stl_pct,opp_blk_pct,opp_tov_pct,opp_off_rtg,opp_def_rtg,opp_Opponent
46,89,0.517,11,35,0.314,16,22,0.727,9,36,45,33,8,5,19,23,119,0.603,0.579,0.393,0.247,20.5,73.5,48.4,71.7,7.5,9.6,16.1,111.8,118.4,Home,DAL,47,99,0.475,15,47,0.319,17,23,0.739,13,35,48,24,6,3,12,20,126,0.577,0.551,0.475,0.232,26.5,79.5,51.6,51.1,5.6,5.6,9.9,118.4,111.8,SAS
46,94,0.489,13,42,0.31,21,28,0.75,12,31,43,32,11,4,18,17,126,0.593,0.559,0.447,0.298,27.3,73.8,50.0,69.6,9.9,5.9,14.5,113.6,110.0,Home,HOU,52,100,0.52,8,32,0.25,10,20,0.5,11,32,43,30,7,2,18,26,122,0.561,0.56,0.32,0.2,26.2,72.7,50.0,57.7,6.3,3.8,14.2,110.0,113.6,SAS
30,80,0.375,11,33,0.333,12,16,0.75,6,31,37,21,9,6,25,23,83,0.477,0.444,0.413,0.2,13.3,77.5,43.5,70.0,8.6,12.2,22.3,79.4,117.7,Away,LAC,47,91,0.516,16,42,0.381,13,21,0.619,9,39,48,23,15,5,16,16,123,0.614,0.604,0.462,0.231,22.5,86.7,56.5,48.9,14.3,10.6,13.8,117.7,79.4,SAS
43,92,0.467,14,37,0.378,15,20,0.75,8,29,37,25,10,9,12,17,115,0.57,0.543,0.402,0.217,17.8,82.9,46.3,58.1,9.8,20.5,10.6,113.2,112.2,Away,PHO,42,83,0.506,18,39,0.462,12,15,0.8,6,37,43,29,8,7,19,18,114,0.636,0.614,0.47,0.181,17.1,82.2,53.8,69.0,7.9,12.7,17.5,112.2,113.2,SAS
51,98,0.52,18,37,0.486,12,13,0.923,9,32,41,37,7,5,8,21,132,0.636,0.612,0.378,0.133,23.7,86.5,54.7,72.5,7.1,10.4,7.2,133.1,122.0,Away,PHO,43,80,0.538,16,32,0.5,19,26,0.731,5,29,34,26,5,4,14,15,121,0.662,0.638,0.4,0.325,13.5,76.3,45.3,60.5,5.0,6.6,13.3,122.0,133.1,SAS
48,96,0.5,10,32,0.313,10,13,0.769,9,37,46,30,7,7,17,21,116,0.57,0.552,0.333,0.135,20.9,74.0,49.5,62.5,6.5,14.3,14.3,107.9,114.4,Home,TOR,44,97,0.454,19,48,0.396,16,26,0.615,13,34,47,29,12,6,15,15,123,0.567,0.552,0.495,0.268,26.0,79.1,50.5,65.9,11.2,9.4,12.2,114.4,107.9,SAS
40,94,0.426,8,26,0.308,23,30,0.767,12,24,36,26,7,5,11,15,111,0.518,0.468,0.277,0.319,23.1,72.7,42.4,65.0,6.6,8.8,9.3,105.1,143.9,Away,IND,55,95,0.579,20,38,0.526,22,23,0.957,9,40,49,38,7,4,15,24,152,0.723,0.684,0.4,0.242,27.3,76.9,57.6,69.1,6.6,5.9,12.5,143.9,105.1,SAS
44,90,0.489,9,34,0.265,8,13,0.615,11,35,46,31,2,7,13,22,105,0.548,0.539,0.378,0.144,24.4,72.9,49.5,70.5,2.1,12.1,12.0,108.6,130.4,Away,NYK,46,100,0.46,19,42,0.452,15,22,0.682,13,34,47,28,7,0,4,14,126,0.574,0.555,0.42,0.22,27.1,75.6,50.5,60.9,7.2,0.0,3.5,130.4,108.6,SAS
43,92,0.467,12,34,0.353,12,19,0.632,7,31,38,29,9,8,14,21,110,0.548,0.533,0.37,0.207,15.6,70.5,42.7,67.4,8.7,13.3,12.2,106.1,112.9,Home,MIN,43,87,0.494,10,27,0.37,21,27,0.778,13,38,51,23,6,4,18,19,117,0.592,0.552,0.31,0.31,29.5,84.4,57.3,53.5,5.8,6.9,15.4,112.9,106.1,SAS
42,91,0.462,19,44,0.432,10,12,0.833,11,39,50,35,3,6,17,21,113,0.587,0.566,0.484,0.132,26.8,78.0,54.9,83.3,3.1,10.3,15.0,115.9,121.0,Home,MIA,39,89,0.438,12,31,0.387,28,30,0.933,11,30,41,26,7,3,7,12,118,0.577,0.506,0.348,0.337,22.0,73.2,45.1,66.7,7.2,6.4,6.4,121.0,115.9,SAS
