mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,opp_mp,opp_fg,opp_fga,opp_fg_pct,opp_fg3,opp_fg3a,opp_fg3_pct,opp_ft,opp_fta,opp_ft_pct,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,opp_pts,opp_game_score,opp_plus_minus,opp_ts_pct,opp_efg_pct,opp_fg3a_per_fga_pct,opp_fta_per_fga_pct,opp_orb_pct,opp_drb_pct,opp_trb_pct,opp_ast_pct,opp_stl_pct,opp_blk_pct,opp_tov_pct,opp_usg_pct,opp_off_rtg,opp_def_rtg,opp_bpm
240,47,102,.461,19,51,.373,17,20,.850,15,30,45,29,6,8,12,25,130,,,.587,.554,.500,.196,28.3,65.2,45.5,61.7,5.9,12.7,9.8,100.0,127.4,111.7,,240,41,91,.451,9,28,.321,23,31,.742,16,38,54,22,6,2,14,20,114,,,.545,.500,.308,.341,34.8,71.7,54.5,53.7,5.9,3.9,11.8,100.0,111.7,127.4,
240,41,94,.436,12,40,.300,20,29,.690,10,31,41,24,10,3,14,16,114,,,.534,.500,.426,.309,23.8,81.6,51.3,58.5,9.5,5.5,11.6,100.0,108.6,116.2,,240,48,87,.552,14,32,.438,12,14,.857,7,32,39,32,14,3,19,24,122,,,.655,.632,.368,.161,18.4,76.2,48.8,66.7,13.3,5.6,16.9,100.0,116.2,108.6,
265,49,104,.471,17,48,.354,17,24,.708,6,41,47,30,6,7,10,28,132,,,.576,.553,.462,.231,11.8,83.7,47.0,61.2,5.2,13.2,8.0,100.0,114.5,110.1,,265,43,98,.439,15,45,.333,26,34,.765,8,45,53,27,4,4,12,22,127,,,.562,.515,.459,.347,16.3,88.2,53.0,62.8,3.5,7.1,9.6,100.0,110.1,114.5,
240,36,88,.409,11,35,.314,18,23,.783,14,34,48,24,8,4,15,17,101,,,.515,.472,.398,.261,32.6,82.9,57.1,66.7,8.4,8.0,13.3,100.0,105.5,106.6,,240,39,81,.481,11,31,.355,13,15,.867,7,29,36,32,5,6,18,17,102,,,.582,.549,.383,.185,17.1,67.4,42.9,82.1,5.2,11.3,17.0,100.0,106.6,105.5,
240,32,84,.381,11,41,.268,14,19,.737,8,35,43,20,5,6,11,19,89,,,.482,.446,.488,.226,15.7,77.8,44.8,62.5,5.3,11.8,10.6,100.0,94.3,113.4,,240,40,87,.460,13,36,.361,14,20,.700,10,43,53,28,4,3,11,18,107,,,.558,.534,.414,.230,22.2,84.3,55.2,70.0,4.2,7.0,10.3,100.0,113.4,94.3,
240,36,81,.444,14,40,.350,11,20,.550,12,22,34,22,5,2,15,22,97,,,.540,.531,.494,.247,26.1,81.5,46.6,61.1,5.5,4.5,14.3,100.0,106.7,134.1,,240,43,75,.573,15,31,.484,21,27,.778,5,34,39,28,8,4,11,19,122,,,.702,.673,.413,.360,18.5,73.9,53.4,65.1,8.8,9.8,11.2,100.0,134.1,106.7,
265,41,89,.461,11,37,.297,28,38,.737,15,35,50,32,11,6,21,24,121,,,.572,.522,.416,.427,34.1,83.3,58.1,78.0,10.2,9.2,16.6,100.0,111.7,108.9,,265,44,87,.506,8,22,.364,22,29,.759,7,29,36,26,10,5,18,29,118,,,.591,.552,.253,.333,16.7,65.9,41.9,59.1,9.2,9.6,15.3,100.0,108.9,111.7,
240,38,91,.418,13,47,.277,16,21,.762,16,36,52,28,10,9,18,22,105,,,.524,.489,.516,.231,32.7,87.8,57.8,73.7,9.9,15.8,15.2,100.0,104.0,97.0,,240,39,87,.448,7,30,.233,13,16,.813,5,33,38,22,9,5,16,15,98,,,.521,.489,.345,.184,12.2,67.3,42.2,56.4,8.9,11.4,14.5,100.0,97.0,104.0,
240,49,83,.590,20,42,.476,14,22,.636,8,29,37,32,3,4,10,19,132,,,.712,.711,.506,.265,24.2,67.4,48.7,65.3,3.2,7.1,9.7,100.0,142.1,129.2,,240,45,91,.495,16,35,.457,14,17,.824,14,25,39,24,3,1,11,18,120,,,.609,.582,.385,.187,32.6,75.8,51.3,53.3,3.2,2.4,10.0,100.0,129.2,142.1,
240,48,96,.500,16,44,.364,13,17,.765,11,34,45,31,20,1,16,20,125,,,.604,.583,.458,.177,23.4,82.9,51.1,64.6,18.8,1.9,13.4,100.0,117.4,103.3,,240,42,83,.506,11,29,.379,15,19,.789,7,36,43,25,12,6,23,17,110,,,.602,.572,.349,.229,17.1,76.6,48.9,59.5,11.3,11.5,20.1,100.0,103.3,117.4,
