fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,off_rtg,def_rtg,game_id,Location,Win,opp_fg,opp_fga,opp_fg_pct,opp_fg3,opp_fg3a,opp_fg3_pct,opp_ft,opp_fta,opp_ft_pct,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,opp_pts,opp_ts_pct,opp_efg_pct,opp_fg3a_per_fga_pct,opp_fta_per_fga_pct,opp_orb_pct,opp_drb_pct,opp_trb_pct,opp_ast_pct,opp_stl_pct,opp_blk_pct,opp_tov_pct,opp_off_rtg,opp_def_rtg
36,90,0.4,14,35,0.4,11,16,0.688,8,39,47,27,9,11,14,18,97,0.5,0.478,0.389,0.178,14.8,70.9,43.1,75.0,8.8,15.9,12.6,95.1,92.1,b02a4ed3-a70e-4b0d-bc50-7343da8f3c1b,Home,1,34,100,0.34,8,31,0.258,18,22,0.818,16,46,62,20,8,9,14,14,94,0.429,0.38,0.31,0.22,29.1,85.2,56.9,58.8,7.8,16.4,11.3,92.1,95.1
39,84,0.464,9,36,0.25,16,25,0.64,8,45,53,25,5,2,23,29,103,0.542,0.518,0.429,0.298,17.8,75.0,50.5,64.1,4.6,3.3,19.5,94.0,95.0,88a781a8-2f29-456c-88a7-968bca82a35d,Away,0,37,99,0.374,8,39,0.205,22,28,0.786,15,37,52,18,10,5,17,22,104,0.467,0.414,0.394,0.283,25.0,82.2,49.5,48.6,9.1,10.4,13.2,95.0,94.0
38,87,0.437,17,32,0.531,14,19,0.737,13,28,41,28,5,5,13,19,107,0.561,0.534,0.368,0.218,28.3,75.7,49.4,73.7,5.3,8.6,12.0,114.4,121.9,fce976eb-90d3-4e9e-ae43-9669b05165f1,Home,0,43,86,0.5,10,28,0.357,18,21,0.857,9,33,42,25,8,7,11,18,114,0.598,0.558,0.326,0.244,24.3,71.7,50.6,58.1,8.6,12.7,10.4,121.9,114.4
38,94,0.404,4,29,0.138,11,15,0.733,14,33,47,19,10,4,12,17,91,0.452,0.426,0.309,0.16,26.9,71.7,48.0,50.0,10.6,8.0,10.7,96.5,105.0,6bccb6b4-0be5-4cda-b4be-5e107f0762b5,Home,0,38,85,0.447,11,35,0.314,12,15,0.8,13,38,51,20,6,7,16,19,99,0.54,0.512,0.412,0.176,28.3,73.1,52.0,52.6,6.4,10.8,14.9,105.0,96.5
51,91,0.56,15,38,0.395,13,14,0.929,15,35,50,35,7,6,18,25,130,0.669,0.643,0.418,0.154,40.5,83.3,63.3,68.6,7.2,14.3,15.6,134.6,114.9,6285a50f-ba78-4202-a52e-6d2b8b0df0fd,Home,1,35,76,0.461,13,34,0.382,28,38,0.737,7,22,29,19,9,2,12,17,111,0.599,0.546,0.447,0.5,16.7,59.5,36.7,54.3,9.3,3.8,11.5,114.9,134.6
38,79,0.481,10,28,0.357,13,19,0.684,9,32,41,30,4,3,19,20,99,0.567,0.544,0.354,0.241,22.5,68.1,47.1,78.9,4.1,4.5,17.9,101.7,117.1,7eeebc10-3a53-4e38-9244-ddce1d8f6bec,Away,0,42,92,0.457,9,25,0.36,21,25,0.84,15,31,46,21,12,3,14,19,114,0.553,0.505,0.272,0.272,31.9,77.5,52.9,50.0,12.3,5.9,12.0,117.1,101.7
44,97,0.454,19,48,0.396,16,26,0.615,13,34,47,29,12,6,15,15,123,0.567,0.552,0.495,0.268,26.0,79.1,50.5,65.9,11.2,9.4,12.2,114.4,107.9,b7c5e900-e5eb-47c3-9edd-a50d0896b59c,Away,1,48,96,0.5,10,32,0.313,10,13,0.769,9,37,46,30,7,7,17,21,116,0.57,0.552,0.333,0.135,20.9,74.0,49.5,62.5,6.5,14.3,14.3,107.9,114.4
49,99,0.495,11,36,0.306,18,27,0.667,15,35,50,27,10,4,12,25,127,0.573,0.551,0.364,0.273,31.9,85.4,56.8,55.1,9.5,9.3,9.8,120.8,110.4,5596088a-1a5b-4302-9de6-04f5f95a0aad,Away,1,40,84,0.476,17,41,0.415,19,31,0.613,6,32,38,25,4,6,16,21,116,0.594,0.577,0.488,0.369,14.6,68.1,43.2,62.5,3.8,9.5,14.1,110.4,120.8
35,91,0.385,10,37,0.27,14,16,0.875,7,30,37,25,8,1,9,14,94,0.479,0.44,0.407,0.176,14.6,85.7,44.6,71.4,8.2,2.4,8.4,96.0,119.4,4b8bccef-c1fe-43e2-be02-6443e4be2e77,Away,0,47,86,0.547,15,44,0.341,8,13,0.615,5,41,46,30,1,4,13,14,117,0.638,0.634,0.512,0.151,14.3,85.4,55.4,63.8,1.0,7.4,12.4,119.4,96.0
45,90,0.5,4,20,0.2,17,25,0.68,16,32,48,28,11,4,19,13,111,0.55,0.522,0.222,0.278,34.8,80.0,55.8,62.2,10.8,6.9,15.8,108.7,104.8,e8149821-fd4f-45f8-ab4e-522fe3dbd917,Home,1,43,84,0.512,12,26,0.462,9,12,0.75,8,30,38,32,11,5,22,22,107,0.599,0.583,0.31,0.143,20.0,65.2,44.2,74.4,10.8,7.1,19.8,104.8,108.7
