fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,off_rtg,def_rtg,Location,Opponent,opp_fg,opp_fga,opp_fg_pct,opp_fg3,opp_fg3a,opp_fg3_pct,opp_ft,opp_fta,opp_ft_pct,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,opp_pts,opp_ts_pct,opp_efg_pct,opp_fg3a_per_fga_pct,opp_fta_per_fga_pct,opp_orb_pct,opp_drb_pct,opp_trb_pct,opp_ast_pct,opp_stl_pct,opp_blk_pct,opp_tov_pct,opp_off_rtg,opp_def_rtg,opp_Opponent
41,91,0.451,9,28,0.321,23,31,0.742,16,38,54,22,6,2,14,20,114,0.545,0.5,0.308,0.341,34.8,71.7,54.5,53.7,5.9,3.9,11.8,111.7,127.4,Home,SAC,47,102,0.461,19,51,0.373,17,20,0.85,15,30,45,29,6,8,12,25,130,0.587,0.554,0.5,0.196,28.3,65.2,45.5,61.7,5.9,12.7,9.8,127.4,111.7,UTA
42,96,0.438,16,41,0.39,20,22,0.909,17,28,45,27,7,4,14,24,120,0.568,0.521,0.427,0.229,36.2,82.4,55.6,64.3,7.2,9.5,11.7,122.9,120.8,Home,LAC,41,77,0.532,14,35,0.4,22,28,0.786,6,30,36,17,8,6,16,22,118,0.661,0.623,0.455,0.364,17.6,63.8,44.4,41.5,8.2,10.9,15.2,120.8,122.9,UTA
40,91,0.44,12,37,0.324,12,14,0.857,15,30,45,26,6,5,19,20,104,0.535,0.505,0.407,0.154,31.9,81.1,53.6,65.0,6.1,10.4,16.4,105.4,127.7,Away,PHO,45,85,0.529,10,37,0.27,26,28,0.929,7,32,39,31,10,7,11,19,126,0.647,0.588,0.435,0.329,18.9,68.1,46.4,68.9,10.1,13.0,10.2,127.7,105.4,UTA
42,98,0.429,11,37,0.297,7,15,0.467,17,34,51,30,6,2,13,21,102,0.488,0.485,0.378,0.153,32.1,82.9,54.3,71.4,6.2,3.6,11.1,104.7,112.9,Away,DEN,47,84,0.56,9,28,0.321,7,17,0.412,7,36,43,32,4,8,13,14,110,0.601,0.613,0.333,0.202,17.1,67.9,45.7,68.1,4.1,13.1,12.4,112.9,104.7,UTA
47,87,0.54,22,43,0.512,17,24,0.708,10,40,50,35,7,3,21,22,133,0.682,0.667,0.494,0.276,26.3,74.1,54.3,74.5,6.5,7.1,17.7,124.2,101.8,Home,MEM,35,96,0.365,14,54,0.259,25,32,0.781,14,28,42,25,12,7,16,22,109,0.495,0.438,0.563,0.333,25.9,73.7,45.7,71.4,11.2,15.9,12.7,101.8,124.2,UTA
41,89,0.461,12,33,0.364,19,26,0.731,13,35,48,27,9,7,20,27,113,0.563,0.528,0.371,0.292,28.3,77.8,52.7,65.9,8.6,12.5,16.6,107.4,109.3,Home,ORL,39,85,0.459,10,29,0.345,27,36,0.75,10,33,43,27,17,9,17,25,115,0.57,0.518,0.341,0.424,22.2,71.7,47.3,69.2,16.2,16.1,14.4,109.3,107.4,UTA
35,91,0.385,12,43,0.279,13,17,0.765,17,22,39,20,3,7,18,20,95,0.482,0.451,0.473,0.187,33.3,71.0,47.6,57.1,3.2,12.3,15.5,100.5,130.1,Away,MIN,45,81,0.556,9,24,0.375,24,31,0.774,9,34,43,25,10,11,11,23,123,0.65,0.611,0.296,0.383,29.0,66.7,52.4,55.6,10.6,22.9,10.4,130.1,100.5,UTA
41,86,0.477,16,43,0.372,15,17,0.882,17,35,52,32,1,7,23,20,113,0.604,0.57,0.5,0.198,39.5,77.8,59.1,78.0,1.0,11.9,19.7,116.1,133.6,Away,CHI,48,93,0.516,18,34,0.529,16,19,0.842,10,26,36,26,12,3,8,18,130,0.641,0.613,0.366,0.204,22.2,60.5,40.9,54.2,12.3,7.0,7.3,133.6,116.1,UTA
45,96,0.469,11,27,0.407,17,18,0.944,16,31,47,26,3,5,22,17,118,0.568,0.526,0.281,0.188,33.3,68.9,50.5,57.8,2.8,8.3,17.5,111.5,126.6,Away,IND,52,101,0.515,13,41,0.317,17,20,0.85,14,32,46,26,14,7,12,15,134,0.61,0.579,0.406,0.198,31.1,66.7,49.5,50.0,13.2,10.1,9.9,126.6,111.5,UTA
41,76,0.539,18,37,0.486,27,29,0.931,8,30,38,28,10,12,21,17,127,0.715,0.658,0.487,0.382,25.8,68.2,50.7,68.3,10.1,22.6,19.1,128.7,122.6,Away,MEM,46,101,0.455,19,48,0.396,10,13,0.769,14,23,37,23,5,5,11,23,121,0.567,0.55,0.475,0.129,31.8,74.2,49.3,50.0,5.1,12.8,9.3,122.6,128.7,UTA
44,95,0.463,13,43,0.302,14,15,0.933,16,36,52,26,11,6,13,18,115,0.566,0.532,0.453,0.158,34.8,73.5,54.7,59.1,11.4,11.3,11.3,118.8,102.3,Home,POR,37,88,0.42,11,35,0.314,14,20,0.7,13,30,43,23,5,6,17,15,99,0.511,0.483,0.398,0.227,26.5,65.2,45.3,62.2,5.2,11.5,14.9,102.3,118.8,UTA
43,85,0.506,16,36,0.444,26,31,0.839,10,29,39,27,3,10,8,23,128,0.649,0.6,0.424,0.365,24.4,85.3,52.0,62.8,3.1,18.9,7.5,132.4,135.5,Home,PHO,45,86,0.523,18,33,0.545,23,26,0.885,5,31,36,35,5,4,9,22,131,0.672,0.628,0.384,0.302,14.7,75.6,48.0,77.8,5.2,8.2,8.5,135.5,132.4,UTA
48,115,0.417,15,46,0.326,26,32,0.813,27,32,59,27,11,5,19,27,137,0.531,0.483,0.4,0.278,45.0,74.4,57.3,56.3,9.5,8.8,12.8,118.8,121.4,Home,PHO,50,102,0.49,18,45,0.4,22,26,0.846,11,33,44,36,11,13,18,28,140,0.617,0.578,0.441,0.255,25.6,55.0,42.7,72.0,9.5,18.8,13.7,121.4,118.8,UTA
