mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,opp_mp,opp_fg,opp_fga,opp_fg_pct,opp_fg3,opp_fg3a,opp_fg3_pct,opp_ft,opp_fta,opp_ft_pct,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,opp_pts,opp_game_score,opp_plus_minus,opp_ts_pct,opp_efg_pct,opp_fg3a_per_fga_pct,opp_fta_per_fga_pct,opp_orb_pct,opp_drb_pct,opp_trb_pct,opp_ast_pct,opp_stl_pct,opp_blk_pct,opp_tov_pct,opp_usg_pct,opp_off_rtg,opp_def_rtg,opp_bpm
240,41,91,.451,9,28,.321,23,31,.742,16,38,54,22,6,2,14,20,114,,,.545,.500,.308,.341,34.8,71.7,54.5,53.7,5.9,3.9,11.8,100.0,111.7,127.4,,240,47,102,.461,19,51,.373,17,20,.850,15,30,45,29,6,8,12,25,130,,,.587,.554,.500,.196,28.3,65.2,45.5,61.7,5.9,12.7,9.8,100.0,127.4,111.7,
240,42,96,.438,16,41,.390,20,22,.909,17,28,45,27,7,4,14,24,120,,,.568,.521,.427,.229,36.2,82.4,55.6,64.3,7.2,9.5,11.7,100.0,122.9,120.8,,240,41,77,.532,14,35,.400,22,28,.786,6,30,36,17,8,6,16,22,118,,,.661,.623,.455,.364,17.6,63.8,44.4,41.5,8.2,10.9,15.2,100.0,120.8,122.9,
240,40,91,.440,12,37,.324,12,14,.857,15,30,45,26,6,5,19,20,104,,,.535,.505,.407,.154,31.9,81.1,53.6,65.0,6.1,10.4,16.4,100.0,105.4,127.7,,240,45,85,.529,10,37,.270,26,28,.929,7,32,39,31,10,7,11,19,126,,,.647,.588,.435,.329,18.9,68.1,46.4,68.9,10.1,13.0,10.2,100.0,127.7,105.4,
240,42,98,.429,11,37,.297,7,15,.467,17,34,51,30,6,2,13,21,102,,,.488,.485,.378,.153,32.1,82.9,54.3,71.4,6.2,3.6,11.1,100.0,104.7,112.9,,240,47,84,.560,9,28,.321,7,17,.412,7,36,43,32,4,8,13,14,110,,,.601,.613,.333,.202,17.1,67.9,45.7,68.1,4.1,13.1,12.4,100.0,112.9,104.7,
240,47,87,.540,22,43,.512,17,24,.708,10,40,50,35,7,3,21,22,133,,,.682,.667,.494,.276,26.3,74.1,54.3,74.5,6.5,7.1,17.7,100.0,124.2,101.8,,240,35,96,.365,14,54,.259,25,32,.781,14,28,42,25,12,7,16,22,109,,,.495,.438,.563,.333,25.9,73.7,45.7,71.4,11.2,15.9,12.7,100.0,101.8,124.2,
240,41,89,.461,12,33,.364,19,26,.731,13,35,48,27,9,7,20,27,113,,,.563,.528,.371,.292,28.3,77.8,52.7,65.9,8.6,12.5,16.6,100.0,107.4,109.3,,240,39,85,.459,10,29,.345,27,36,.750,10,33,43,27,17,9,17,25,115,,,.570,.518,.341,.424,22.2,71.7,47.3,69.2,16.2,16.1,14.4,100.0,109.3,107.4,
240,35,91,.385,12,43,.279,13,17,.765,17,22,39,20,3,7,18,20,95,,,.482,.451,.473,.187,33.3,71.0,47.6,57.1,3.2,12.3,15.5,100.0,100.5,130.1,,240,45,81,.556,9,24,.375,24,31,.774,9,34,43,25,10,11,11,23,123,,,.650,.611,.296,.383,29.0,66.7,52.4,55.6,10.6,22.9,10.4,100.0,130.1,100.5,
240,41,86,.477,16,43,.372,15,17,.882,17,35,52,32,1,7,23,20,113,,,.604,.570,.500,.198,39.5,77.8,59.1,78.0,1.0,11.9,19.7,100.0,116.1,133.6,,240,48,93,.516,18,34,.529,16,19,.842,10,26,36,26,12,3,8,18,130,,,.641,.613,.366,.204,22.2,60.5,40.9,54.2,12.3,7.0,7.3,100.0,133.6,116.1,
240,45,96,.469,11,27,.407,17,18,.944,16,31,47,26,3,5,22,17,118,,,.568,.526,.281,.188,33.3,68.9,50.5,57.8,2.8,8.3,17.5,100.0,111.5,126.6,,240,52,101,.515,13,41,.317,17,20,.850,14,32,46,26,14,7,12,15,134,,,.610,.579,.406,.198,31.1,66.7,49.5,50.0,13.2,10.1,9.9,100.0,126.6,111.5,
240,41,76,.539,18,37,.486,27,29,.931,8,30,38,28,10,12,21,17,127,,,.715,.658,.487,.382,25.8,68.2,50.7,68.3,10.1,22.6,19.1,100.0,128.7,122.6,,240,46,101,.455,19,48,.396,10,13,.769,14,23,37,23,5,5,11,23,121,,,.567,.550,.475,.129,31.8,74.2,49.3,50.0,5.1,12.8,9.3,100.0,122.6,128.7,
