fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,off_rtg,def_rtg,game_id,Location,Opponent,Win,opp_fg,opp_fga,opp_fg_pct,opp_fg3,opp_fg3a,opp_fg3_pct,opp_ft,opp_fta,opp_ft_pct,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,opp_pts,opp_ts_pct,opp_efg_pct,opp_fg3a_per_fga_pct,opp_fta_per_fga_pct,opp_orb_pct,opp_drb_pct,opp_trb_pct,opp_ast_pct,opp_stl_pct,opp_blk_pct,opp_tov_pct,opp_off_rtg,opp_def_rtg,team
44,96,0.458,9,24,0.375,23,29,0.793,11,34,45,28,6,9,14,11,120,0.552,0.505,0.25,0.302,21.2,77.3,46.9,63.6,5.4,14.1,11.4,108.5,129.3,6ace0de5-e91b-42a3-9896-ce4b611343cb,Away,IND,0,56,107,0.523,20,43,0.465,11,12,0.917,10,41,51,38,10,8,12,23,143,0.637,0.617,0.402,0.112,22.7,78.8,53.1,67.9,9.0,11.1,9.7,129.3,108.5,WAS
40,93,0.43,16,46,0.348,17,22,0.773,11,34,45,24,9,5,12,15,113,0.55,0.516,0.495,0.237,22.0,85.0,50.0,60.0,8.8,11.4,10.5,109.9,103.1,6dc3fe1c-0ccf-48e9-a15a-c6de67455327,Home,MEM,1,39,91,0.429,19,47,0.404,9,9,1.0,6,39,45,27,7,8,18,21,106,0.558,0.533,0.516,0.099,15.0,78.0,50.0,69.2,6.8,17.0,15.9,103.1,109.9,WAS
39,87,0.448,11,36,0.306,18,26,0.692,11,29,40,26,12,4,15,13,107,0.543,0.511,0.414,0.299,23.4,65.9,44.0,66.7,11.7,8.2,13.2,104.6,123.2,82346601-4b7c-40c7-9f8a-8ad446519705,Home,BOS,0,51,102,0.5,19,53,0.358,5,7,0.714,15,36,51,31,11,6,18,21,126,0.6,0.593,0.52,0.069,34.1,76.6,56.0,60.8,10.8,11.8,14.6,123.2,104.6,WAS
51,101,0.505,10,40,0.25,9,14,0.643,6,29,35,32,14,3,11,25,121,0.565,0.554,0.396,0.139,12.2,67.4,38.0,62.7,12.7,5.0,9.3,109.6,117.7,2f7c7c4a-912f-4023-9558-5eb7b950b9f6,Away,ATL,0,46,92,0.5,9,32,0.281,29,32,0.906,14,43,57,26,8,3,21,16,130,0.613,0.549,0.348,0.348,32.6,87.8,62.0,56.5,7.2,4.9,16.5,117.7,109.6,WAS
46,81,0.568,13,28,0.464,9,17,0.529,4,26,30,33,7,4,20,18,114,0.644,0.648,0.346,0.21,11.8,78.8,44.8,71.7,6.9,7.5,18.4,112.5,119.4,a31785a4-9307-4390-bfdc-8f7f418039d0,Away,MIA,0,48,80,0.6,13,27,0.481,12,14,0.857,7,30,37,35,9,1,21,18,121,0.702,0.681,0.338,0.175,21.2,88.2,55.2,72.9,8.9,1.9,19.6,119.4,112.5,WAS
49,96,0.51,14,34,0.412,16,20,0.8,10,28,38,31,6,10,19,26,128,0.611,0.583,0.354,0.208,22.2,73.7,45.8,63.3,5.4,16.7,15.3,115.3,131.6,9ec23165-9c21-4b9e-812f-2465968cea26,Away,PHI,0,51,91,0.56,12,31,0.387,32,36,0.889,10,35,45,37,12,7,16,15,146,0.683,0.626,0.341,0.396,26.3,77.8,54.2,72.5,10.8,11.3,13.0,131.6,115.3,WAS
47,97,0.485,18,43,0.419,20,25,0.8,13,27,40,26,10,6,11,26,132,0.611,0.577,0.443,0.258,26.5,71.1,46.0,55.3,9.7,11.1,9.2,127.5,112.1,3e41cf21-8a1a-4a20-981d-87455b792557,Away,CHO,1,41,79,0.519,8,25,0.32,26,35,0.743,11,36,47,17,8,5,22,22,116,0.614,0.57,0.316,0.443,28.9,73.5,54.0,41.5,7.7,9.3,18.9,112.1,127.5,WAS
43,88,0.489,14,38,0.368,17,20,0.85,7,29,36,28,4,6,15,23,117,0.604,0.568,0.432,0.227,15.2,50.9,35.0,65.1,3.9,7.3,13.4,115.1,122.0,13e8a8c2-c25a-46cb-b4f3-6a27afb722df,Home,CHO,0,50,110,0.455,6,28,0.214,18,28,0.643,28,39,67,31,10,4,10,19,124,0.507,0.482,0.255,0.255,49.1,84.8,65.0,62.0,9.8,8.0,7.6,122.0,115.1,WAS
33,88,0.375,10,41,0.244,18,25,0.72,7,35,42,20,14,3,12,15,94,0.475,0.432,0.466,0.284,13.2,63.6,38.9,60.6,13.8,6.1,10.8,92.4,100.2,87963d84-ad51-42d3-a01c-5182e87091cc,Away,BRK,0,37,98,0.378,12,49,0.245,16,20,0.8,20,46,66,22,6,6,19,18,102,0.478,0.439,0.5,0.204,36.4,86.8,61.1,59.5,5.9,12.8,15.1,100.2,92.4,WAS
43,84,0.512,12,26,0.462,9,12,0.75,8,30,38,32,11,5,22,22,107,0.599,0.583,0.31,0.143,20.0,65.2,44.2,74.4,10.8,7.1,19.8,104.8,108.7,b3149641-9687-4f9c-8875-c6deb1a4f299,Away,TOR,0,45,90,0.5,4,20,0.2,17,25,0.68,16,32,48,28,11,4,19,13,111,0.55,0.522,0.222,0.278,34.8,80.0,55.8,62.2,10.8,6.9,15.8,108.7,104.8,WAS
43,89,0.483,12,36,0.333,19,23,0.826,8,38,46,23,6,1,12,22,117,0.59,0.551,0.404,0.258,17.8,80.9,50.0,53.5,5.8,2.0,10.8,113.6,126.2,6173d9ca-09e9-4fa3-9887-7d645e78bf0d,Home,DAL,0,48,92,0.522,17,42,0.405,17,29,0.586,9,37,46,32,6,4,10,16,130,0.62,0.614,0.457,0.315,19.1,82.2,50.0,66.7,5.8,7.5,8.7,126.2,113.6,WAS
37,82,0.451,10,32,0.313,15,16,0.938,7,25,32,25,4,4,14,18,99,0.556,0.512,0.39,0.195,17.1,64.1,40.0,67.6,4.3,7.5,13.6,106.2,128.7,1a34af15-4a33-4143-925b-942598611b93,Home,NYK,0,45,91,0.495,16,38,0.421,14,20,0.7,14,34,48,26,5,6,11,21,120,0.601,0.582,0.418,0.22,35.9,82.9,60.0,57.8,5.4,12.0,9.9,128.7,106.2,WAS
55,99,0.556,10,29,0.345,9,11,0.818,5,21,26,29,6,4,4,19,129,0.621,0.606,0.293,0.111,11.4,56.8,32.1,52.7,5.9,6.2,3.7,126.3,139.1,b075400a-2f52-4fcb-8b19-03e196fa2b66,Home,MIL,0,55,94,0.585,11,29,0.379,21,28,0.75,16,39,55,33,3,6,15,13,142,0.668,0.644,0.309,0.298,43.2,88.6,67.9,60.0,2.9,8.6,12.4,139.1,126.3,WAS
44,97,0.454,11,32,0.344,15,18,0.833,11,36,47,26,7,3,10,18,114,0.543,0.51,0.33,0.186,22.4,76.6,49.0,59.1,6.9,5.6,8.7,113.0,115.9,4093f196-4e21-4b1e-b475-99facbb47af0,Away,CHO,0,43,91,0.473,16,37,0.432,15,21,0.714,11,38,49,27,6,4,13,15,117,0.584,0.56,0.407,0.231,23.4,77.6,51.0,62.8,5.9,6.2,11.5,115.9,113.0,WAS
48,100,0.48,15,37,0.405,17,21,0.81,12,34,46,29,3,4,9,24,128,0.586,0.555,0.37,0.21,23.1,77.3,47.9,60.4,2.9,6.6,7.6,123.0,125.9,3c794055-ebe2-41db-b9cc-07cb79b00900,Away,MIL,0,48,92,0.522,9,31,0.29,26,33,0.788,10,40,50,28,6,6,9,22,131,0.615,0.571,0.337,0.359,22.7,76.9,52.1,58.3,5.8,9.5,7.8,125.9,123.0,WAS
